x,y,z,gene_id,Location,gmm,hdbscan,spectral,consensus
9.180581,-20.106647,-6.254059,AT1G01010,GC,19,1,1,5
10.668302,20.700123,-0.8041402,AT1G01020,GC,6,10,0,0
-16.01375,0.38518202,-3.1960611,AT1G01030,GC,20,14,18,4
10.316667,-22.342829,3.2597232,AT1G01040,GC,17,1,19,5
-14.03603,0.81529206,18.93046,AT1G01046,GC,0,16,6,3
7.8030014,-22.72572,1.4442675,AT1G01050,GC,17,1,19,5
7.53648,-9.260884,7.5294724,AT1G01060,GC,13,3,19,12
-0.7514532,-9.584953,-17.169619,AT1G01070,GC,14,2,14,9
11.419035,19.470734,-1.0016022,AT1G01080,GC,6,10,0,0
14.674911,-6.535607,12.562392,AT1G01090,GC,23,0,13,1
10.415342,-2.0420766,14.751822,AT1G01100,GC,16,0,9,8
7.0696754,23.331402,0.07814329,AT1G01110,GC,6,10,0,0
2.746212,-11.62251,2.512503,AT1G01120,GC,4,1,2,6
-7.1861086,-6.3914986,16.944143,AT1G01130,GC,0,16,6,3
12.622089,16.662962,4.1147513,AT1G01140,GC,6,9,0,0
-9.10388,-12.245643,11.357385,AT1G01150,GC,0,16,11,3
-3.694302,-12.500384,-13.242137,AT1G01160,GC,14,1,14,9
2.229458,3.256336,-10.277019,AT1G01170,GC,18,5,3,2
-1.0885266,-5.1067224,-17.901352,AT1G01180,GC,18,2,14,2
-2.9573028,-7.9020486,-17.795076,AT1G01190,GC,14,2,14,9
-1.0136079,19.635422,-14.025623,AT1G01200,GC,20,12,16,4
-0.5668821,4.2572007,-2.4843085,AT1G01210,GC,6,5,3,0
12.02093,-1.2510593,-6.6380296,AT1G01220,GC,18,4,2,2
2.4833193,17.23127,-13.566787,AT1G01225,GC,20,11,10,4
-0.99138314,-9.990746,-10.271259,AT1G01230,GC,14,2,14,9
6.6994214,1.0424794,-13.928224,AT1G01240,GC,18,4,3,2
2.0139995,0.36765227,-15.029133,AT1G01260,GC,18,4,14,2
6.545276,5.909919,8.390808,AT1G01290,GC,6,7,15,0
4.894381,-17.472416,6.2141476,AT1G01300,GC,17,1,19,5
-9.324705,13.013703,6.133167,AT1G01305,GC,0,0,12,3
-9.472443,-8.378218,17.00607,AT1G01310,GC,0,16,6,3
11.514974,-4.9020615,-2.2247515,AT1G01320,GC,4,4,2,2
7.0018144,-20.452038,-7.194633,AT1G01340,GC,19,1,8,5
2.8680623,-8.396608,-15.984089,AT1G01350,GC,14,2,14,9
-18.465965,0.48186806,13.132387,AT1G01355,GC,0,16,17,3
1.3203508,-9.596504,-13.281675,AT1G01360,GC,14,2,14,9
-4.302769,15.742782,-15.875049,AT1G01370,GC,20,12,10,4
-4.121902,22.11351,-8.423857,AT1G01380,GC,20,12,16,4
-10.080468,14.93412,6.7538943,AT1G01390,GC,0,0,12,3
-14.739234,-8.274743,-5.622994,AT1G01420,GC,20,15,18,4
7.4968495,-2.746026,-14.966431,AT1G01430,GC,18,4,14,2
3.3284822,1.1433673,-14.457858,AT1G01440,GC,18,4,3,2
0.010859395,13.990835,5.973584,AT1G01448,GC,6,9,7,0
-10.065405,-6.5447693,-3.920624,AT1G01453,GC,20,15,11,11
-8.360659,14.513446,8.115661,AT1G01460,GC,0,0,12,3
3.6196454,-9.502007,-9.921551,AT1G01470,GC,14,3,2,6
-6.411307,20.823298,-8.843491,AT1G01480,GC,20,13,16,4
13.313961,-20.362488,5.688973,AT1G01490,GC,17,1,19,5
6.6719484,23.26818,1.1565202,AT1G01500,GC,6,10,0,0
10.090259,-22.163918,3.743246,AT1G01510,GC,17,1,19,5
-5.427458,1.1634792,14.1267605,AT1G01520,GC,0,17,6,3
-1.2993109,-10.927554,-3.9239984,AT1G01540,GC,14,1,2,6
16.386015,-5.8338037,11.928391,AT1G01550,GC,22,0,13,1
-3.2368522,-0.67726475,-12.94055,AT1G01560,GC,18,4,14,2
-8.741305,8.311768,-14.445188,AT1G01570,GC,20,13,10,4
5.7722125,-4.464432,12.014247,AT1G01580,GC,21,16,9,8
-11.766326,3.2049794,18.342182,AT1G01590,GC,0,16,6,3
-2.598511,10.1241665,-14.475539,AT1G01600,GC,6,12,10,0
7.598872,-7.5264716,8.2568865,AT1G01610,GC,13,3,19,12
4.352494,-1.4569383,16.520079,AT1G01620,GC,11,0,9,8
-4.1030507,-15.885421,-11.274787,AT1G01630,GC,14,1,8,5
10.70211,-19.4712,-5.6931477,AT1G01640,GC,19,1,1,5
1.360646,-10.138815,-1.091901,AT1G01650,GC,4,3,2,6
7.5683403,15.378934,-8.553079,AT1G01660,GC,6,11,10,0
7.3233423,19.691765,6.451969,AT1G01670,GC,6,9,0,0
-14.373451,10.104969,-9.274042,AT1G01680,GC,20,13,4,4
3.7476227,10.889315,-10.754233,AT1G01690,GC,6,11,10,0
-18.11758,-5.0301614,12.910128,AT1G01695,GC,0,16,5,3
-9.496504,1.9026493,1.8914062,AT1G01700,GC,20,15,18,4
8.165082,-5.063429,-13.503717,AT1G01710,GC,18,3,14,2
-7.1226563,-9.721195,3.8657002,AT1G01715,GC,0,15,11,11
17.577911,-15.960067,-0.28143105,AT1G01720,GC,12,1,1,5
2.0708265,19.818157,3.9253008,AT1G01725,GC,6,9,0,0
-0.8455553,-18.503757,-11.835816,AT1G01730,GC,14,1,8,5
-10.88046,8.615251,-13.597013,AT1G01740,GC,20,13,4,4
9.056424,3.460976,-4.7162175,AT1G01750,GC,18,5,3,2
-14.568357,4.524978,-11.608137,AT1G01760,GC,20,14,10,4
9.571521,2.3198335,-8.964226,AT1G01770,GC,18,4,3,2
-3.2484267,-16.803873,-12.03351,AT1G01780,GC,14,1,8,5
9.890416,2.9121022,-6.452736,AT1G01790,GC,18,5,3,2
12.408811,-16.422949,9.456348,AT1G01800,GC,1,1,19,5
-6.7704744,-9.643035,4.370862,AT1G01810,GC,0,15,11,11
14.820685,-18.225897,-2.8677316,AT1G01820,GC,12,1,1,5
8.760442,13.337112,9.730162,AT1G01830,GC,6,8,15,0
-16.286777,-1.0780807,-4.9781623,AT1G01840,GC,20,14,18,4
