archs4_sample_index	geo_accession	series_id	title	source_name_ch1	characteristics_ch1	library_strategy	library_source	organism_ch1	singlecellprobability	leakage_excluded	matches_liver	matches_kidney	matches_skin	matches_skeletal_muscle	matches_spleen	matches_lung
5704	GSM1249438	GSE51619	Kidney_EC_translatome_1	kidney endothelial cells	age: embryonic day 14.5,genotype: Cdh5CreERT2+/-;Gt(ROSA)26Sor-mCherry-Rpl10a+/-,cell type: kidney endothelial cells	RNA-Seq	transcriptomic	Mus musculus	0.013822135418279397	False	False	True	False	False	False	False
5705	GSM1249439	GSE51619	Kidney_EC_translatome_2	kidney endothelial cells	age: embryonic day 14.5,genotype: Cdh5CreERT2+/-;Gt(ROSA)26Sor-mCherry-Rpl10a+/-,cell type: kidney endothelial cells	RNA-Seq	transcriptomic	Mus musculus	0.009492454539444448	False	False	True	False	False	False	False
5706	GSM1249440	GSE51619	Kidney_EC_translatome_3	kidney endothelial cells	age: embryonic day 14.5,genotype: Cdh5CreERT2+/-;Gt(ROSA)26Sor-mCherry-Rpl10a+/-,cell type: kidney endothelial cells	RNA-Seq	transcriptomic	Mus musculus	0.013742758575724065	False	False	True	False	False	False	False
8245	GSM1370928	GSE56904	M1	Type-1 macrophages	cell type: M1 sorted from in vivo renal tumors,origin: Renca cell line tumor injected intra-kidney at day 14 post-tumor injection,strain: BALB/C	RNA-Seq	transcriptomic	Mus musculus	0.016873529712551974	False	False	True	False	False	False	False
8246	GSM1370929	GSE56904	CD4	CD4 T lymphocytes	cell type: CD4 T cells sorted from in vivo renal tumors,origin: Renca cell line tumor injected intra-kidney at day 14 post-tumor injection,strain: BALB/C	RNA-Seq	transcriptomic	Mus musculus	0.014538859383338532	False	False	True	False	False	False	False
8247	GSM1370930	GSE56904	M2	Type-2 macrophages	cell type: M2 sorted from in vivo renal tumors,origin: Renca cell line tumor injected intra-kidney at day 14 post-tumor injection,strain: BALB/C	RNA-Seq	transcriptomic	Mus musculus	0.015201230293348977	False	False	True	False	False	False	False
8248	GSM1370931	GSE56905	IK_rep1	sub-cutaneous tumors that were growing in the presence of an intra-kidney tumor	cell type: entire tumor composition: tumor cells+ stroma cells,origin: Renca cell line tumor injected sub-cutaneously at day 14 post-tumor injection,strain: BALB/C	RNA-Seq	transcriptomic	Mus musculus	0.006310653679779509	False	False	True	False	False	False	False
8249	GSM1370932	GSE56905	IK_rep2	sub-cutaneous tumors that were growing in the presence of an intra-kidney tumor	cell type: entire tumor composition: tumor cells+ stroma cells,origin: Renca cell line tumor injected sub-cutaneously at day 14 post-tumor injection,strain: BALB/C	RNA-Seq	transcriptomic	Mus musculus	0.008044779299349101	False	False	True	False	False	False	False
8250	GSM1370933	GSE56905	IK_rep3	sub-cutaneous tumors that were growing in the presence of an intra-kidney tumor	cell type: entire tumor composition: tumor cells+ stroma cells,origin: Renca cell line tumor injected sub-cutaneously at day 14 post-tumor injection,strain: BALB/C	RNA-Seq	transcriptomic	Mus musculus	0.008044779299349101	False	False	True	False	False	False	False
8251	GSM1370934	GSE56905	IK_rep4	sub-cutaneous tumors that were growing in the presence of an intra-kidney tumor	cell type: entire tumor composition: tumor cells+ stroma cells,origin: Renca cell line tumor injected sub-cutaneously at day 14 post-tumor injection,strain: BALB/C	RNA-Seq	transcriptomic	Mus musculus	0.006310653679779509	False	False	True	False	False	False	False
8252	GSM1370935	GSE56905	IK_rep5	sub-cutaneous tumors that were growing in the presence of an intra-kidney tumor	cell type: entire tumor composition: tumor cells+ stroma cells,origin: Renca cell line tumor injected sub-cutaneously at day 14 post-tumor injection,strain: BALB/C	RNA-Seq	transcriptomic	Mus musculus	0.005675254606378082	False	False	True	False	False	False	False
8253	GSM1370936	GSE56905	IK_rep6	sub-cutaneous tumors that were growing in the presence of an intra-kidney tumor	cell type: entire tumor composition: tumor cells+ stroma cells,origin: Renca cell line tumor injected sub-cutaneously at day 14 post-tumor injection,strain: BALB/C	RNA-Seq	transcriptomic	Mus musculus	0.008809272841340103	False	False	True	False	False	False	False
8254	GSM1370937	GSE56905	SC_rep1	sub-cutaneous tumors that were growing in the absence of an intra-kidney tumor	cell type: entire tumor composition: tumor cells+ stroma cells,origin: Renca cell line tumor injected sub-cutaneously at day 14 post-tumor injection,strain: BALB/C	RNA-Seq	transcriptomic	Mus musculus	0.005754631448933413	False	False	True	False	False	False	False
8255	GSM1370938	GSE56905	SC_rep2	sub-cutaneous tumors that were growing in the absence of an intra-kidney tumor	cell type: entire tumor composition: tumor cells+ stroma cells,origin: Renca cell line tumor injected sub-cutaneously at day 14 post-tumor injection,strain: BALB/C	RNA-Seq	transcriptomic	Mus musculus	0.007402489285959021	False	False	True	False	False	False	False
8256	GSM1370939	GSE56905	SC_rep3	sub-cutaneous tumors that were growing in the absence of an intra-kidney tumor	cell type: entire tumor composition: tumor cells+ stroma cells,origin: Renca cell line tumor injected sub-cutaneously at day 14 post-tumor injection,strain: BALB/C	RNA-Seq	transcriptomic	Mus musculus	0.005563559785861349	False	False	True	False	False	False	False
8257	GSM1370940	GSE56905	SC_rep4	sub-cutaneous tumors that were growing in the absence of an intra-kidney tumor	cell type: entire tumor composition: tumor cells+ stroma cells,origin: Renca cell line tumor injected sub-cutaneously at day 14 post-tumor injection,strain: BALB/C	RNA-Seq	transcriptomic	Mus musculus	0.007774330793721705	False	False	True	False	False	False	False
8258	GSM1370941	GSE56905	SC_rep5	sub-cutaneous tumors that were growing in the absence of an intra-kidney tumor	cell type: entire tumor composition: tumor cells+ stroma cells,origin: Renca cell line tumor injected sub-cutaneously at day 14 post-tumor injection,strain: BALB/C	RNA-Seq	transcriptomic	Mus musculus	0.00796540245679377	False	False	True	False	False	False	False
8259	GSM1370942	GSE56905	SC_rep6	sub-cutaneous tumors that were growing in the absence of an intra-kidney tumor	cell type: entire tumor composition: tumor cells+ stroma cells,origin: Renca cell line tumor injected sub-cutaneously at day 14 post-tumor injection,strain: BALB/C	RNA-Seq	transcriptomic	Mus musculus	0.00796540245679377	False	False	True	False	False	False	False
17705	GSM1548413	GSE63418,GSE65899	7533 E2-2 deleted	Cultured fetal mouse kidney	strain: C57BL/6,genotype/variation: beta-catenin activated, E2-2 deleted	RNA-Seq	transcriptomic	Mus musculus	0.006538583274154928	False	False	True	False	False	False	False
