archs4_sample_index	geo_accession	series_id	title	source_name_ch1	characteristics_ch1	library_strategy	library_source	organism_ch1	singlecellprobability	leakage_excluded	matches_liver	matches_kidney	matches_skin	matches_skeletal_muscle	matches_spleen	matches_lung
5319	GSM1210231	GSE49932,GSE49934	CD103-CD11b+ cDC, strain B6 Influenza infection at day 3, repeat 1	CD103-CD11b+ cDC, strain B6 Influenza infection at day 3, repeat 1	infection: influenza,time: day 3,cell type: lung dendritic cell,age: 5 weeks,strain: C57BL/6J	RNA-Seq	transcriptomic	Mus musculus	0.46764349677064415	False	False	False	False	False	False	True
5320	GSM1210232	GSE49932,GSE49934	CD103-CD11b+ cDC, strain B6 Influenza infection at day 3, repeat 2	CD103-CD11b+ cDC, strain B6 Influenza infection at day 3, repeat 2	infection: influenza,time: day 3,cell type: lung dendritic cell,age: 5 weeks,strain: C57BL/6J	RNA-Seq	transcriptomic	Mus musculus	0.4449433564517407	False	False	False	False	False	False	True
5322	GSM1210234	GSE49932,GSE49934	CD103+CD11b- cDC, strain B6 uninfected, repeat 1	CD103+CD11b- cDC, strain B6 uninfected, repeat 1	infection: none,cell type: lung dendritic cell,age: 5 weeks,strain: C57BL/6J	RNA-Seq	transcriptomic	Mus musculus	0.4639430319089783	False	False	False	False	False	False	True
5323	GSM1210235	GSE49932,GSE49934	CD103+CD11b- cDC, strain B6 Influenza infection at day 1, repeat 1	CD103+CD11b- cDC, strain B6 Influenza infection at day 1, repeat 1	infection: influenza,time: day 1,cell type: lung dendritic cell,age: 5 weeks,strain: C57BL/6J	RNA-Seq	transcriptomic	Mus musculus	0.37386412927582524	False	False	False	False	False	False	True
5324	GSM1210236	GSE49932,GSE49934	CD103+CD11b- cDC, strain B6 Influenza infection at day 1, repeat 2	CD103+CD11b- cDC, strain B6 Influenza infection at day 1, repeat 2	infection: influenza,time: day 1,cell type: lung dendritic cell,age: 5 weeks,strain: C57BL/6J	RNA-Seq	transcriptomic	Mus musculus	0.3515709447056719	False	False	False	False	False	False	True
5327	GSM1210239	GSE49932,GSE49934	CD103+CD11b- cDC, strain B6 Influenza infection at day 5, repeat 1	CD103+CD11b- cDC, strain B6 Influenza infection at day 5, repeat 1	infection: influenza,time: day 5,cell type: lung dendritic cell,age: 5 weeks,strain: C57BL/6J	RNA-Seq	transcriptomic	Mus musculus	0.4605294065533878	False	False	False	False	False	False	True
5330	GSM1210242	GSE49932,GSE49934	CD8- pDC, strain B6 Influenza infection at day 1, repeat 1	CD8- pDC, strain B6 Influenza infection at day 1, repeat 1	infection: influenza,time: day 1,cell type: lung dendritic cell,age: 5 weeks,strain: C57BL/6J	RNA-Seq	transcriptomic	Mus musculus	0.475183702926878	False	False	False	False	False	False	True
5332	GSM1210244	GSE49932,GSE49934	CD8- pDC, strain B6 Influenza infection at day 3, repeat 1	CD8- pDC, strain B6 Influenza infection at day 3, repeat 1	infection: influenza,time: day 3,cell type: lung dendritic cell,age: 5 weeks,strain: C57BL/6J	RNA-Seq	transcriptomic	Mus musculus	0.491826671089787	False	False	False	False	False	False	True
5340	GSM1210252	GSE49932,GSE49934	CD8+ pDC, strain B6 Influenza infection at day 3, repeat 2	CD8+ pDC, strain B6 Influenza infection at day 3, repeat 2	infection: influenza,time: day 3,cell type: lung dendritic cell,age: 5 weeks,strain: C57BL/6J	RNA-Seq	transcriptomic	Mus musculus	0.3782900298748727	False	False	False	False	False	False	True
5342	GSM1210254	GSE49932,GSE49934	CD8+ pDC, strain B6 Influenza infection at day 5, repeat 2	CD8+ pDC, strain B6 Influenza infection at day 5, repeat 2	infection: influenza,time: day 5,cell type: lung dendritic cell,age: 5 weeks,strain: C57BL/6J	RNA-Seq	transcriptomic	Mus musculus	0.4386504271593178	False	False	False	False	False	False	True
5571	GSM1232658	GSE50932	482N1 shluc empty 1	482N1_shluc_empty	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing control shRNA (shluc) plus empty expression vector (empty)	RNA-Seq	transcriptomic	Mus musculus	0.0	False	False	False	False	False	False	True
5572	GSM1232659	GSE50932	482N1 shluc empty 2	482N1_shluc_empty	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing control shRNA (shluc) plus empty expression vector (empty)	RNA-Seq	transcriptomic	Mus musculus	0.013318814490982283	False	False	False	False	False	False	True
5573	GSM1232660	GSE50932	482N1 shluc empty 3	482N1_shluc_empty	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing control shRNA (shluc) plus empty expression vector (empty)	RNA-Seq	transcriptomic	Mus musculus	0.03929346359848514	False	False	False	False	False	False	True
5574	GSM1232661	GSE50932	482N1 shHmga2 empty 1	482N1_shHmga2_empty	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing shRNA targeting Hmga2 (shHmga2) plus empty expression vector (empty)	RNA-Seq	transcriptomic	Mus musculus	0.008245562675033331	False	False	False	False	False	False	True
5575	GSM1232662	GSE50932	482N1 shHmga2 empty 2	482N1_shHmga2_empty	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing shRNA targeting Hmga2 (shHmga2) plus empty expression vector (empty)	RNA-Seq	transcriptomic	Mus musculus	0.015329480829056571	False	False	False	False	False	False	True
5576	GSM1232663	GSE50932	482N1 shHmga2 empty 3	482N1_shHmga2_empty	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing shRNA targeting Hmga2 (shHmga2) plus empty expression vector (empty)	RNA-Seq	transcriptomic	Mus musculus	0.009963530866073338	False	False	False	False	False	False	True
5577	GSM1232664	GSE50932	482N1 shHmga2 wt 1	482N1_shHmga2_wt	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing shRNA targeting Hmga2 (shHmga2) plus full-length Hmga2 cDNA (wt)	RNA-Seq	transcriptomic	Mus musculus	0.0	False	False	False	False	False	False	True
5578	GSM1232665	GSE50932	482N1 shHmga2 wt 2	482N1_shHmga2_wt	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing shRNA targeting Hmga2 (shHmga2) plus full-length Hmga2 cDNA (wt)	RNA-Seq	transcriptomic	Mus musculus	0.0011960060748912942	False	False	False	False	False	False	True
5579	GSM1232666	GSE50932	482N1 shHmga2 wt 3	482N1_shHmga2_wt	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing shRNA targeting Hmga2 (shHmga2) plus full-length Hmga2 cDNA (wt)	RNA-Seq	transcriptomic	Mus musculus	0.006836876624607296	False	False	False	False	False	False	True
5580	GSM1232667	GSE50932	482N1 shHmga2 m7 1	482N1_shHmga2_m7	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing shRNA targeting Hmga2 (shHmga2) plus full-length let-7 site mutated Hmga2 cDNA (m7)	RNA-Seq	transcriptomic	Mus musculus	0.011037471523377362	False	False	False	False	False	False	True
5581	GSM1232668	GSE50932	482N1 shHmga2 m7 2	482N1_shHmga2_m7	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing shRNA targeting Hmga2 (shHmga2) plus full-length let-7 site mutated Hmga2 cDNA (m7)	RNA-Seq	transcriptomic	Mus musculus	0.0	False	False	False	False	False	False	True
5582	GSM1232669	GSE50932	482N1 shHmga2 m7 3	482N1_shHmga2_m7	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing shRNA targeting Hmga2 (shHmga2) plus full-length let-7 site mutated Hmga2 cDNA (m7)	RNA-Seq	transcriptomic	Mus musculus	0.0	False	False	False	False	False	False	True
5583	GSM1232670	GSE50932	482N1 shHmga2 ATG wt 1	482N1_shHmga2_ATG_wt	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing shRNA targeting Hmga2 (shHmga2) plus full-length start codon mutated Hmga2 cDNA (ATG wt)	RNA-Seq	transcriptomic	Mus musculus	0.0	False	False	False	False	False	False	True
5584	GSM1232671	GSE50932	482N1 shHmga2 ATG wt 2	482N1_shHmga2_ATG_wt	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing shRNA targeting Hmga2 (shHmga2) plus full-length start codon mutated Hmga2 cDNA (ATG wt)	RNA-Seq	transcriptomic	Mus musculus	0.0	False	False	False	False	False	False	True
5585	GSM1232672	GSE50932	482N1 shHmga2 ATG wt 3	482N1_shHmga2_ATG_wt	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing shRNA targeting Hmga2 (shHmga2) plus full-length start codon mutated Hmga2 cDNA (ATG wt)	RNA-Seq	transcriptomic	Mus musculus	0.001171563921964957	False	False	False	False	False	False	True
5586	GSM1232673	GSE50932	482N1 shHmga2 ATG m7 1	482N1_shHmga2_ATG_m7	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing shRNA targeting Hmga2 (shHmga2) plus full-length let-7 site/start codon mutated Hmga2 cDNA (ATG m7)	RNA-Seq	transcriptomic	Mus musculus	0.0	False	False	False	False	False	False	True
5587	GSM1232674	GSE50932	482N1 shHmga2 ATG m7 2	482N1_shHmga2_ATG_m7	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing shRNA targeting Hmga2 (shHmga2) plus full-length let-7 site/start codon mutated Hmga2 cDNA (ATG m7)	RNA-Seq	transcriptomic	Mus musculus	0.010050243352252507	False	False	False	False	False	False	True
5588	GSM1232675	GSE50932	482N1 shHmga2 ATG m7 3	482N1_shHmga2_ATG_m7	cell line: 482N1,cell type: mouse lung cancer cells,genotype/variation: expressing shRNA targeting Hmga2 (shHmga2) plus full-length let-7 site/start codon mutated Hmga2 cDNA (ATG m7)	RNA-Seq	transcriptomic	Mus musculus	0.0060889822083111935	False	False	False	False	False	False	True
6142	GSM1272294	GSE52594	CtrlA1	K-RAS-induced lung tumor	treatment: Untreated,animal no: 1	RNA-Seq	transcriptomic	Mus musculus	0.006285983748244022	False	False	False	False	False	False	True
6143	GSM1272295	GSE52594	CtrlA2	K-RAS-induced lung tumor	treatment: Untreated,animal no: 1	RNA-Seq	transcriptomic	Mus musculus	0.0035964046716989865	False	False	False	False	False	False	True
6144	GSM1272296	GSE52594	CtrlB1	K-RAS-induced lung tumor	treatment: Untreated,animal no: 2	RNA-Seq	transcriptomic	Mus musculus	0.004792232338291053	False	False	False	False	False	False	True
6145	GSM1272297	GSE52594	CtrlB2	K-RAS-induced lung tumor	treatment: Untreated,animal no: 2	RNA-Seq	transcriptomic	Mus musculus	0.007887573297616858	False	False	False	False	False	False	True
6146	GSM1272298	GSE52594	CtrlC1	K-RAS-induced lung tumor	treatment: Untreated,animal no: 3	RNA-Seq	transcriptomic	Mus musculus	0.006241619192288838	False	False	False	False	False	False	True
