archs4_sample_index	geo_accession	series_id	title	source_name_ch1	characteristics_ch1	library_strategy	library_source	organism_ch1	singlecellprobability	leakage_excluded	matches_liver	matches_kidney	matches_skin	matches_skeletal_muscle	matches_thymus	matches_spleen	matches_lung	matches_retina
5732	GSM1255495	GSE51933	FAPs NT1	skeletal muscle	strain: C57Bl6 mdx,cell type: Sca1+a7int-cd45-cd31-ter119- sorted cells,agent: none	RNA-Seq	transcriptomic	Mus musculus	0.023910772908623406	False	False	False	False	True	False	False	False	False
5733	GSM1255496	GSE51933	FAPs NT2	skeletal muscle	strain: C57Bl6 mdx,cell type: Sca1+a7int-cd45-cd31-ter119- sorted cells,agent: none	RNA-Seq	transcriptomic	Mus musculus	0.07864246141267414	False	False	False	False	True	False	False	False	False
5734	GSM1255497	GSE51933	FAPs TSA1	skeletal muscle	strain: C57Bl6 mdx,cell type: Sca1+a7int-cd45-cd31-ter119- sorted cells,agent: Trichostatin A, TSA (0.6 mg/Kg/day)	RNA-Seq	transcriptomic	Mus musculus	0.14076612780227074	False	False	False	False	True	False	False	False	False
5735	GSM1255498	GSE51933	FAPs TSA2	skeletal muscle	strain: C57Bl6 mdx,cell type: Sca1+a7int-cd45-cd31-ter119- sorted cells,agent: Trichostatin A, TSA (0.6 mg/Kg/day)	RNA-Seq	transcriptomic	Mus musculus	0.16995357211413675	False	False	False	False	True	False	False	False	False
49805	GSM2045575	GSE77178	O(-Ex) replicate 1	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 18 months,activity: No Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.05608270975615035	False	False	False	False	True	False	False	False	False
49806	GSM2045576	GSE77178	O(-Ex) replicate 2	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 18 months,activity: No Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.06546833914197574	False	False	False	False	True	False	False	False	False
49807	GSM2045577	GSE77178	O(-Ex) replicate 3	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 18 months,activity: No Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.0822095506242981	False	False	False	False	True	False	False	False	False
49808	GSM2045578	GSE77178	O(-Ex) replicate 4	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 18 months,activity: No Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.08775734991120085	False	False	False	False	True	False	False	False	False
49809	GSM2045579	GSE77178	O(-Ex) replicate 5	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 18 months,activity: No Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.04073596898442552	False	False	False	False	True	False	False	False	False
49810	GSM2045580	GSE77178	O(-Ex) replicate 6	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 18 months,activity: No Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.04569792508400637	False	False	False	False	True	False	False	False	False
49811	GSM2045581	GSE77178	O(-Ex) replicate 7	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 18 months,activity: No Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.042402096919785526	False	False	False	False	True	False	False	False	False
49812	GSM2045582	GSE77178	O(+Ex) replicate 1	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 18 months,activity: Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.044382637473491096	False	False	False	False	True	False	False	False	False
49813	GSM2045583	GSE77178	O(+Ex) replicate 2	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 18 months,activity: Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.0648179872501607	False	False	False	False	True	False	False	False	False
49814	GSM2045584	GSE77178	O(+Ex) replicate 3	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 18 months,activity: Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.052325218607474626	False	False	False	False	True	False	False	False	False
49815	GSM2045585	GSE77178	O(+Ex) replicate 4	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 18 months,activity: Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.039003851763151645	False	False	False	False	True	False	False	False	False
49816	GSM2045586	GSE77178	O(+Ex) replicate 5	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 18 months,activity: Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.05418493657405481	False	False	False	False	True	False	False	False	False
49817	GSM2045587	GSE77178	Y(-Ex) replicate 1	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 3 months,activity: No Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.09999595327314026	False	False	False	False	True	False	False	False	False
49818	GSM2045588	GSE77178	Y(-Ex) replicate 2	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 3 months,activity: No Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.0	False	False	False	False	True	False	False	False	False
49819	GSM2045589	GSE77178	Y(-Ex) replicate 3	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 3 months,activity: No Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.04535259262219195	False	False	False	False	True	False	False	False	False
49820	GSM2045590	GSE77178	Y(-Ex) replicate 4	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 3 months,activity: No Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.020032701601610876	False	False	False	False	True	False	False	False	False
49821	GSM2045591	GSE77178	Y(-Ex) replicate 5	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 3 months,activity: No Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.04569792508400637	False	False	False	False	True	False	False	False	False
49822	GSM2045592	GSE77178	Y(-Ex) replicate 6	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 3 months,activity: No Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.040225994661800706	False	False	False	False	True	False	False	False	False
49823	GSM2045593	GSE77178	Y(+Ex) replicate 1	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 3 months,activity: Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.02340091710332323	False	False	False	False	True	False	False	False	False
49824	GSM2045594	GSE77178	Y(+Ex) replicate 2	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 3 months,activity: Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.021548723889336114	False	False	False	False	True	False	False	False	False
49825	GSM2045595	GSE77178	Y(+Ex) replicate 3	Skeletal muscle stem cells	strain: C56BL/6,gender: male,age: 3 months,activity: Exercise,ccnd1: WT	RNA-Seq	transcriptomic	Mus musculus	0.026228767665718456	False	False	False	False	True	False	False	False	False
57504	GSM2101251	GSE79696	WT_rest_ZT10_rep1_RNAseq	quadriceps muscle	strain: C57B/6,age: 4-months old,gender: male,genotype/variation: HDAC3 Wild-type	RNA-Seq	transcriptomic	Mus musculus	0.005260910061896075	False	False	False	False	True	False	False	False	False
57505	GSM2101252	GSE79696	WT_rest_ZT10_rep2_RNAseq	quadriceps muscle	strain: C57B/6,age: 4-months old,gender: male,genotype/variation: HDAC3 Wild-type	RNA-Seq	transcriptomic	Mus musculus	0.005115641855628595	False	False	False	False	True	False	False	False	False
57506	GSM2101253	GSE79696	WT_rest_ZT10_rep3_RNAseq	quadriceps muscle	strain: C57B/6,age: 4-months old,gender: male,genotype/variation: HDAC3 Wild-type	RNA-Seq	transcriptomic	Mus musculus	0.005024200684208681	False	False	False	False	True	False	False	False	False
57507	GSM2101254	GSE79696	HDAC3-KO_rest_ZT10_rep1_RNAseq	quadriceps muscle	strain: C57B/6,age: 4-months old,gender: male,genotype/variation: HDAC3 Knock-out	RNA-Seq	transcriptomic	Mus musculus	0.0019907474046554005	False	False	False	False	True	False	False	False	False
57508	GSM2101255	GSE79696	HDAC3-KO_rest_ZT10_rep2_RNAseq	quadriceps muscle	strain: C57B/6,age: 4-months old,gender: male,genotype/variation: HDAC3 Knock-out	RNA-Seq	transcriptomic	Mus musculus	0.005258752931588009	False	False	False	False	True	False	False	False	False
57509	GSM2101256	GSE79696	HDAC3-KO_rest_ZT10_rep3_RNAseq	quadriceps muscle	strain: C57B/6,age: 4-months old,gender: male,genotype/variation: HDAC3 Knock-out	RNA-Seq	transcriptomic	Mus musculus	0.001973696949727812	False	False	False	False	True	False	False	False	False
89554	GSM2359422	GSE89136	myoblast_wt_1	skeletal muscle from wild type	strain/background: mixed,cell type: primary myoblast,genotype/variation: wild type	RNA-Seq	transcriptomic	Mus musculus	0.0	False	False	False	False	True	False	False	False	False
89555	GSM2359423	GSE89136	myoblast_wt_2	skeletal muscle from wild type	strain/background: mixed,cell type: primary myoblast,genotype/variation: wild type	RNA-Seq	transcriptomic	Mus musculus	0.0	False	False	False	False	True	False	False	False	False
89556	GSM2359426	GSE89136	myotube_wt_1	skeletal muscle from wild type	strain/background: mixed,cell type: 24-hour differentiated myotube,genotype/variation: wild type	RNA-Seq	transcriptomic	Mus musculus	0.01000900334411678	False	False	False	False	True	False	False	False	False
