archs4_sample_index	geo_accession	series_id	title	source_name_ch1	characteristics_ch1	library_strategy	library_source	organism_ch1	singlecellprobability	leakage_excluded	matches_liver	matches_kidney	matches_skin	matches_skeletal_muscle	matches_thymus	matches_spleen	matches_lung	matches_retina
874	GSM1094252	GSE44942	Fb_RNA-seq	Fb_RNA-seq	cell type: Primary dermal fibroblasts,Sex: Female,strain: FVB/N	RNA-Seq	transcriptomic	Mus musculus	0.0020068475171950385	False	False	False	True	False	False	False	False	False
3077	GSM1179627	GSE48480	Control replicate 1	epidermal progenitors	developmental stage: embryonic day 18.5 (E18.5),strain: C57BL/6,genotype: wild-type	RNA-Seq	transcriptomic	Mus musculus	0.013440287594730038	False	False	False	True	False	False	False	False	False
3078	GSM1179628	GSE48480	Control replicate 2	epidermal progenitors	developmental stage: embryonic day 18.5 (E18.5),strain: C57BL/6,genotype: wild-type	RNA-Seq	transcriptomic	Mus musculus	0.012910963683016011	False	False	False	True	False	False	False	False	False
3079	GSM1179629	GSE48480	Hras-G12V replicate 1	epidermal progenitors	developmental stage: embryonic day 18.5 (E18.5),strain: C57BL/6,genotype: HrasG12V	RNA-Seq	transcriptomic	Mus musculus	0.014939407161409726	False	False	False	True	False	False	False	False	False
3080	GSM1179630	GSE48480	Hras-G12V replicate 2	epidermal progenitors	developmental stage: embryonic day 18.5 (E18.5),strain: C57BL/6,genotype: HrasG12V	RNA-Seq	transcriptomic	Mus musculus	0.019402741784198093	False	False	False	True	False	False	False	False	False
3081	GSM1179631	GSE48480	Hras-G12V Mllt6KD replicate 1	epidermal progenitors	developmental stage: embryonic day 18.5 (E18.5),strain: C57BL/6,genotype: HrasG12V depleted of Mllt6	RNA-Seq	transcriptomic	Mus musculus	0.012993580947691928	False	False	False	True	False	False	False	False	False
3082	GSM1179632	GSE48480	Hras-G12V Mllt6KD replicate 2	epidermal progenitors	developmental stage: embryonic day 18.5 (E18.5),strain: C57BL/6,genotype: HrasG12V depleted of Mllt6	RNA-Seq	transcriptomic	Mus musculus	0.014170023422245881	False	False	False	True	False	False	False	False	False
3083	GSM1179633	GSE48480	Hras-G12V Ctnnb1KD replicate 1	epidermal progenitors	developmental stage: embryonic day 18.5 (E18.5),strain: C57BL/6,genotype: HrasG12V depleted of Ctnnb1	RNA-Seq	transcriptomic	Mus musculus	0.011148396694476861	False	False	False	True	False	False	False	False	False
3084	GSM1179634	GSE48480	Hras-G12V Ctnnb1KD replicate 2	epidermal progenitors	developmental stage: embryonic day 18.5 (E18.5),strain: C57BL/6,genotype: HrasG12V depleted of Ctnnb1	RNA-Seq	transcriptomic	Mus musculus	0.014711156462905876	False	False	False	True	False	False	False	False	False
25231	GSM1681444	GSE68789	Skin_Langerhans_cells_Rep1	Skin LCs	strain: C57BL/6,cell type: Skin LC	RNA-Seq	transcriptomic	Mus musculus	0.12078320190153612	False	False	False	True	False	False	False	False	False
