archs4_sample_index	geo_accession	series_id	title	source_name_ch1	characteristics_ch1	library_strategy	library_source	organism_ch1	singlecellprobability	leakage_excluded	matches_liver	matches_kidney	matches_skin	matches_skeletal_muscle	matches_thymus	matches_spleen	matches_lung	matches_retina
600	GSM1064517	GSE43504	NT_WT_RNAseq_rep1	Splenic B Cells	cell type: In vitro activated B Cells,strain: 129/Sv x C57BL/6,genotype: wildtype,growth duration: 28 hr,treatment protocol: 0 mM hydroxyurea for 6 hrs	RNA-Seq	transcriptomic	Mus musculus	0.01642205881385687	False	False	False	False	False	False	True	False	False
601	GSM1064518	GSE43504	NT_WT_RNAseq_rep2	Splenic B Cells	cell type: In vitro activated B Cells,strain: 129/Sv x C57BL/6,genotype: wildtype,growth duration: 28 hr,treatment protocol: 0 mM hydroxyurea for 6 hrs	RNA-Seq	transcriptomic	Mus musculus	0.014490004594684707	False	False	False	False	False	False	True	False	False
602	GSM1064519	GSE43504	HU_WT_RNAseq_rep1	Splenic B Cells	cell type: In vitro activated B Cells,strain: 129/Sv x C57BL/6,genotype: wildtype,growth duration: 28 hr,treatment protocol: 10 mM hydroxyurea for 6 hrs	RNA-Seq	transcriptomic	Mus musculus	0.011256041997593865	False	False	False	False	False	False	True	False	False
603	GSM1064520	GSE43504	HU_WT_RNAseq_rep2	Splenic B Cells	cell type: In vitro activated B Cells,strain: 129/Sv x C57BL/6,genotype: wildtype,growth duration: 28 hr,treatment protocol: 10 mM hydroxyurea for 6 hrs	RNA-Seq	transcriptomic	Mus musculus	0.012282418500892333	False	False	False	False	False	False	True	False	False
2149	GSM1120730	GSE45975	mRNA-naÃ¯ve	primary CD4+ T cells from spleen and lymph nodes	strain: C57BL/6J,genotype/variation: wild type,cell type: freshly isolated naive CD4+ T cells,passages: FACS sorted naive CD4+T cells	RNA-Seq	transcriptomic	Mus musculus	0.019340000932989022	False	False	False	False	False	False	True	False	False
2150	GSM1120731	GSE45975	mRNA-Th1	primary CD4+ T cells from spleen and lymph nodes	strain: C57BL/6J,genotype/variation: wild type,cell type: in vitro polarized T helper1 cells for 3 days,passages: FACS sorted naive CD4+T cells cultured in vitro for 3 days under Th1 condition	RNA-Seq	transcriptomic	Mus musculus	0.007490336576454049	False	False	False	False	False	False	True	False	False
2151	GSM1120732	GSE45975	mRNA-Th2	primary CD4+ T cells from spleen and lymph nodes	strain: C57BL/6J,genotype/variation: wild type,cell type: in vitro polarized T helper2 cells for 3 days,passages: FACS sorted naive CD4+T cells cultured in vitro for 3 days under Th2 condition	RNA-Seq	transcriptomic	Mus musculus	0.011277698315459226	False	False	False	False	False	False	True	False	False
2152	GSM1120733	GSE45975	mRNA-Th17	primary CD4+ T cells from spleen and lymph nodes	strain: C57BL/6J,genotype/variation: wild type,cell type: in vitro polarized T helper17 cells for 3 days,passages: FACS sorted naive CD4+T cells cultured in vitro for 3 days under Th17 condition	RNA-Seq	transcriptomic	Mus musculus	0.010672137436118986	False	False	False	False	False	False	True	False	False
2153	GSM1120734	GSE45975	mRNA-iTreg WT1	primary CD4+ T cells from spleen and lymph nodes	strain: C57BL/6J,genotype/variation: wild type,cell type: in vitro polarized inducible regulatory cells for 3 days,passages: FACS sorted naive CD4+T cells cultured in vitro for 3 days under iTreg condition	RNA-Seq	transcriptomic	Mus musculus	0.018815003903120554	False	False	False	False	False	False	True	False	False
2154	GSM1120735	GSE45975	mRNA-iTreg WT2	primary CD4+ T cells from spleen and lymph nodes	strain: C57BL/6J,genotype/variation: wild type,cell type: in vitro polarized inducible regulatory cells for 3 days,passages: FACS sorted naive CD4+T cells cultured in vitro for 3 days under iTreg condition	RNA-Seq	transcriptomic	Mus musculus	0.0180135652467773	False	False	False	False	False	False	True	False	False
