tissue_final	flight_samples	ground_control_samples	total_samples	accessions	accessions_with_both_conditions	min_condition_samples	direct_training_viable_min3_each	accession_list
liver	125	118	243	12	12	118	True	OSD-137;OSD-164;OSD-168;OSD-173;OSD-242;OSD-245;OSD-379;OSD-457;OSD-463;OSD-47;OSD-48;OSD-686
skeletal_muscle	95	96	191	13	13	95	True	OSD-101;OSD-103;OSD-104;OSD-105;OSD-326;OSD-401;OSD-419;OSD-576;OSD-665;OSD-666;OSD-714;OSD-770;OSD-99
skin	80	71	151	6	6	71	True	OSD-238;OSD-239;OSD-240;OSD-241;OSD-243;OSD-254
kidney	68	67	135	6	6	67	True	OSD-102;OSD-163;OSD-253;OSD-457;OSD-513;OSD-771
thymus	63	54	117	5	5	54	True	OSD-244;OSD-289;OSD-421;OSD-457;OSD-515
spleen	55	54	109	6	6	54	True	OSD-164;OSD-246;OSD-288;OSD-420;OSD-457;OSD-506
lung	40	38	78	3	3	38	True	OSD-248;OSD-464;OSD-900
retina	45	31	76	4	4	31	True	OSD-194;OSD-255;OSD-397;OSD-758
brain	28	29	57	4	4	28	True	OSD-352;OSD-457;OSD-612;OSD-613
cerebellum	29	27	56	3	3	27	True	OSD-525;OSD-561;OSD-563
colon	28	27	55	2	2	27	True	OSD-247;OSD-667
heart	26	25	51	3	3	25	True	OSD-270;OSD-580;OSD-599
adrenal_gland	21	20	41	3	3	20	True	OSD-161;OSD-512;OSD-98
hippocampus	20	17	37	2	2	17	True	OSD-562;OSD-564
bone	18	18	36	1	1	18	True	OSD-457
optic_nerve	23	12	35	1	1	12	True	OSD-759
mammary_gland	10	15	25	1	1	10	True	OSD-511
bone_marrow	12	12	24	1	1	12	True	OSD-690
brown_adipose_tissue	12	12	24	1	1	12	True	OSD-457
white_adipose_tissue	12	12	24	1	1	12	True	OSD-457
eye	11	11	22	2	2	11	True	OSD-100;OSD-162
cecum	10	10	20	1	1	10	True	OSD-899
cells	12	6	18	1	1	6	True	OSD-426
cultured_cells	3	3	6	1	1	3	True	OSD-901
