method	analysis_scope	tissue	gene_id	gene_symbol	comparison_role	independently_selected_gene	n_retained_pathways	retained_pathway_ids	retained_pathway_terms	retained_pathway_labels	n_concordant_pathways	n_discordant_pathways	any_concordant_bh_fdr	minimum_gene_fdr	project_balanced_gene_log2cpm_effect	gene_flt_gc_direction	analysis_roles	pathway_robustness_statuses
expiMap	canonical_tissue	liver	ENSMUSG00000037649	H2-DMa	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.1390023235969076	-0.5702545685437019	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000079547	H2-DMb1	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.1390023235969076	-0.5348973560852215	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000036594	H2-Aa	member_of_retained_expimap_pathway	False	2	R-MMU-202403;R-MMU-2132295	R-MMU-202403_TCR_SIGNALING;R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation;T-cell receptor signaling	2	0	False	0.1420565951642209	-0.6082635723122992	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000024610	Cd74	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.1441339492246389	-0.6462108310963541	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000060586	H2-Eb1	member_of_retained_expimap_pathway	False	2	R-MMU-202403;R-MMU-2132295	R-MMU-202403_TCR_SIGNALING;R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation;T-cell receptor signaling	2	0	False	0.1441339492246389	-0.6171867976610891	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000073421	H2-Ab1	member_of_retained_expimap_pathway	False	2	R-MMU-202403;R-MMU-2132295	R-MMU-202403_TCR_SIGNALING;R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation;T-cell receptor signaling	2	0	False	0.1500905453769624	-0.6130032957882562	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000038642	Ctss	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	1	0	False	0.1591265600907747	-0.4292562449935054	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000030137	Tuba8	member_of_retained_expimap_pathway	False	1	R-MMU-2132295	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	0	1	False	0.1654635672138117	0.3822662229170424	FLT_higher	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000023274	Cd4	member_of_retained_expimap_pathway	False	1	R-MMU-202403	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	1	0	False	0.17725780646366	-0.5976144946627759	FLT_lower	main	triangulated
expiMap	canonical_tissue	liver	ENSMUSG00000026395	Ptprc	member_of_retained_expimap_pathway	False	1	R-MMU-202403	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	1	0	False	0.17725780646366	-0.4699494380983866	FLT_lower	main	triangulated
