analysis_scope	tissue	gene_id	gene_symbol	expimap_pathway_member	n_retained_pathways	retained_pathway_ids	retained_pathway_terms	retained_pathway_labels	n_concordant_pathways	any_concordant_bh_fdr	minimum_gene_fdr	expimap_gene_effect	expimap_flt_gc_direction	analysis_roles	generative_any_arm_real_stable	generative_stable_synthetic_arms	generative_all_compared_arms	generative_all_arm_patterns	generative_max_arm_real_permutation_roc_auc	generative_max_arm_minus_real_permutation_roc_auc	generative_any_arm_stable_feature	generative_selected_arm_stable_feature	generative_selected_arm	generative_selection_pattern	real_stable	arm_stable	real_selection_frequency	arm_selection_frequency	real_permutation_roc_auc	arm_real_permutation_roc_auc	arm_minus_real_permutation_roc_auc	selected_arm_importance_rank	real_linear_shap_flight_minus_ground	selected_linear_shap_flight_minus_ground	matched_primary	consensus_secondary	generative_real_meta_effect	generative_real_meta_fdr	generative_flt_gc_direction
canonical_tissue	adrenal_gland	ENSMUSG00000024338	Psmb8	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	generated_only;real_plus_generated	generated_only;real_plus_generated	synthetic_domain_only	0.015625	0.0375	True	True	generated_only	synthetic_domain_only	False	True	0.125	1.0	-0.021875	0.015625	0.0375	23.0	0.1015759917509462	0.1450492589706044	False	True	-0.0037952402628091	0.0182849971007691	FLT_lower
canonical_tissue	adrenal_gland	ENSMUSG00000025511	Tspan4	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True	generated_only;guided_low_weight;guided_real_only;real_plus_generated	generated_only;guided_low_weight;guided_real_only;real_plus_generated	shared_attenuated;shared_reinforced	0.033984375	0.0040736607142857	True	True	generated_only	shared_reinforced	True	True	0.875	1.0	0.0299107142857142	0.033984375	0.0040736607142857	11.0	0.1332476012788174	0.4404811541578076	False	True	-0.0069320174967941	0.0168006876355464	FLT_lower
canonical_tissue	adrenal_gland	ENSMUSG00000021835	Bmp4	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True	generated_only;real_plus_generated	generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only;shared_attenuated;shared_no_positive_importance	0.0260416666666666	0.0119791666666666	True	True	generated_only	shared_attenuated	True	True	0.75	0.5	0.0140624999999999	0.00234375	-0.0117187499999999	51.0	0.0909398623252129	0.1072900976321975	False	False	NA	NA	NA
canonical_tissue	adrenal_gland	ENSMUSG00000023067	Cdkn1a	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	generated_only	generated_only	synthetic_emergent_real_transfer	0.0475	0.0475	True	True	generated_only	synthetic_emergent_real_transfer	False	True	0.0	0.625	0.0	0.0475	0.0475	6.0	NA	0.2570171336533186	False	False	NA	NA	NA
canonical_tissue	adrenal_gland	ENSMUSG00000037242	Clic4	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True	generated_only;real_plus_generated	generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only;shared_reinforced	0.059375	0.0464285714285714	True	True	generated_only	shared_reinforced	True	True	0.875	0.5	0.0129464285714285	0.021875	0.0089285714285714	17.0	0.0620764608814213	0.2752885165815613	False	False	NA	NA	NA
canonical_tissue	adrenal_gland	ENSMUSG00000023272	Creld2	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True	generated_only	generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only;shared_no_positive_importance	0.0333333333333333	0.0278645833333333	True	True	generated_only	shared_no_positive_importance	True	True	0.5	0.75	0.00546875	0.0072916666666666	0.0018229166666666	40.0	0.0594515223341237	0.1398766794299647	False	False	NA	NA	NA
canonical_tissue	adrenal_gland	ENSMUSG00000005483	Dnajb1	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	guided_low_weight;guided_real_only;real_plus_generated	guided_low_weight;guided_real_only;real_plus_generated	synthetic_domain_only;synthetic_emergent_real_transfer	0.0119791666666666	0.0130208333333333	True	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	adrenal_gland	ENSMUSG00000026203	Dnajb2	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True	generated_only;guided_low_weight;guided_real_only;real_plus_generated	generated_only;guided_low_weight;guided_real_only;real_plus_generated	shared_attenuated;shared_no_positive_importance;shared_synthetic_domain_only	0.003125	-0.01875	True	True	generated_only	shared_no_positive_importance	True	True	0.5	1.0	0.021875	0.002734375	-0.0191406249999999	49.0	0.036740573607386	0.044531108049457	False	False	NA	NA	NA
canonical_tissue	adrenal_gland	ENSMUSG00000019960	Dusp6	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	generated_only	generated_only	synthetic_emergent_no_positive_importance	0.0	0.0	True	True	generated_only	synthetic_emergent_no_positive_importance	False	True	0.0	0.625	0.0	0.0	0.0	58.0	NA	0.014647914829589	False	False	NA	NA	NA
canonical_tissue	adrenal_gland	ENSMUSG00000082815	Gm5678	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	generated_only	generated_only	synthetic_domain_only	0.00125	0.00125	True	True	generated_only	synthetic_domain_only	False	True	0.0	0.625	0.0	0.00125	0.00125	55.0	NA	0.0784334710987932	False	False	NA	NA	NA
