analysis_scope	scope	tissue	selected_arm	generated_arm_eligible_all_metrics	selected_arm_feature_comparison_available	feature_comparison_status	all_arm_stable_feature_row_count	all_arm_stable_unique_gene_count	full_selected_arm_feature_count	stable_selected_feature_count	matched_primary_gene_count	consensus_secondary_gene_count	grouped_pathway_count
canonical_tissue	tissue	adrenal_gland	generated_only	True	True	selected synthetic-supported arm compared with real-only	66	25	213	18	0	2	0
canonical_tissue	tissue	bone	guided_real_only	True	True	selected synthetic-supported arm compared with real-only	83	36	102	14	0	0	0
canonical_tissue	tissue	bone_marrow	generated_only	True	True	selected synthetic-supported arm compared with real-only	61	22	56	19	0	0	0
canonical_tissue	tissue	brain	generated_only	True	True	selected synthetic-supported arm compared with real-only	152	48	249	41	0	0	0
canonical_tissue	tissue	brown_adipose_tissue	generated_only	True	True	selected synthetic-supported arm compared with real-only	59	28	46	19	0	0	0
canonical_tissue	tissue	cecum	real_only	False	False	real-only retained; no selected synthetic-arm comparison	84	32	0	0	0	0	0
canonical_tissue	tissue	cerebellum	generated_only	True	True	selected synthetic-supported arm compared with real-only	98	38	374	29	0	0	0
canonical_tissue	tissue	colon	real_only	False	False	real-only retained; no selected synthetic-arm comparison	150	59	0	0	0	0	0
canonical_tissue	tissue	eye	generated_only	True	True	selected synthetic-supported arm compared with real-only	75	26	178	24	0	1	0
canonical_tissue	tissue	heart	generated_only	True	True	selected synthetic-supported arm compared with real-only	79	28	257	21	0	0	0
canonical_tissue	tissue	hippocampus	generated_only	True	True	selected synthetic-supported arm compared with real-only	53	28	183	15	0	0	0
canonical_tissue	tissue	kidney	guided_low_weight	True	True	selected synthetic-supported arm compared with real-only	190	90	303	43	0	2	0
canonical_tissue	tissue	liver	real_only	False	False	real-only retained; no selected synthetic-arm comparison	225	92	0	0	4	0	0
canonical_tissue	tissue	lung	generated_only	True	True	selected synthetic-supported arm compared with real-only	177	69	430	45	0	0	0
canonical_tissue	tissue	mammary_gland	generated_only	True	True	selected synthetic-supported arm compared with real-only	50	21	97	15	0	0	0
canonical_tissue	tissue	optic_nerve	guided_low_weight	True	True	selected synthetic-supported arm compared with real-only	72	26	175	14	0	0	0
canonical_tissue	tissue	retina	guided_low_weight	True	True	selected synthetic-supported arm compared with real-only	162	70	262	50	0	0	0
canonical_tissue	tissue	skeletal_muscle	guided_real_only	True	True	selected synthetic-supported arm compared with real-only	358	136	301	98	0	12	0
canonical_tissue	tissue	skin	real_plus_generated	True	True	selected synthetic-supported arm compared with real-only	193	91	241	46	1	1	2
canonical_tissue	tissue	spleen	real_plus_generated	True	True	selected synthetic-supported arm compared with real-only	141	70	245	50	1	4	1
canonical_tissue	tissue	thymus	guided_low_weight	True	True	selected synthetic-supported arm compared with real-only	189	86	227	45	15	16	7
canonical_tissue	tissue	white_adipose_tissue	generated_only	True	True	selected synthetic-supported arm compared with real-only	62	25	28	16	0	0	0
skeletal_muscle_group	muscle_group	edl	real_only	False	False	real-only retained; no selected synthetic-arm comparison	76	24	0	0	0	0	0
skeletal_muscle_group	muscle_group	gastrocnemius	guided_low_weight	True	True	selected synthetic-supported arm compared with real-only	68	28	257	21	0	2	0
skeletal_muscle_group	muscle_group	quadriceps	real_only	False	False	real-only retained; no selected synthetic-arm comparison	192	63	0	0	0	0	0
skeletal_muscle_group	muscle_group	soleus	real_plus_generated	True	True	selected synthetic-supported arm compared with real-only	93	29	149	22	0	5	0
skeletal_muscle_group	muscle_group	tibialis_anterior	real_plus_generated	True	True	selected synthetic-supported arm compared with real-only	54	17	102	14	0	4	0
