scope	tissue	term	description	url	genes	symbols	n_accessions	meta_effect	meta_fdr	flt_gc_direction	supporting_arms	group_importance_patterns	real_only_group_auroc_permutation_loss_mean	synthetic_arm_group_auroc_permutation_loss_mean	synthetic_arm_group_auroc_permutation_loss_max	synthetic_arm_group_shap_flt_minus_gc_mean	joint_utility_nonworse_all_arms	group_shap_supports_flt_gc_all_arms	is_nonredundant_pathway	literature_classification	interpretive_role	evidence_scope	evidence_relationship	source_ids	literature_summary	interpretation	annotation_origin	literature_search_date
tissue	skin	R-MMU-5213460_RIPK1_MEDIATED_REGULATED_NECROSIS	RIPK1-mediated regulated necrosis	https://reactome.org/PathwayBrowser/#/R-MMU-5213460	ENSMUSG00000026031,ENSMUSG00000024778,ENSMUSG00000057367,ENSMUSG00000039615	Cflar,Fas,Birc2,Stub1	6	0.4102598378866179	0.0145112089556034	FLT_higher	generated_only;real_plus_generated	generated_only:synthetic_promoted_group;real_plus_generated:synthetic_promoted_group	0.0005580357142857	0.0011439732142856	0.0012834821428571	0.0049539662876615	True	True	True	complementary	mechanistic_or_process_hypothesis_extension	same_tissue_spaceflight_process_and_pathway_mechanism	The skin study uses public OSDR cohorts; the necroptosis study is a skin mechanism rather than a flight replication.	cope_2024_skin;kumari_2021_skin_necroptosis	Spaceflight skin studies report immune, barrier, mitochondrial, and damage responses. RIPK1-mediated necroptosis can drive keratinocyte death and skin inflammation, but direct spaceflight-necroptosis evidence was not found.	The flight-higher group provides a testable regulated-cell-death mechanism for the broader skin response.	grouped_pathway_review	2026-08-05
tissue	skin	R-MMU-5675482_REGULATION_OF_NECROPTOTIC_CELL_DEATH	Regulation of necroptotic cell death	https://reactome.org/PathwayBrowser/#/R-MMU-5675482	ENSMUSG00000026031,ENSMUSG00000024778,ENSMUSG00000057367,ENSMUSG00000039615	Cflar,Fas,Birc2,Stub1	6	0.4102598378866179	0.0145112089556034	FLT_higher	generated_only;real_plus_generated	generated_only:synthetic_promoted_group;real_plus_generated:synthetic_promoted_group	0.0009486607142857	0.0012276785714285	0.0012834821428571	0.0049539662876615	True	True	True	complementary	mechanistic_or_process_hypothesis_extension	same_tissue_spaceflight_process_and_pathway_mechanism	The skin study uses public OSDR cohorts; the necroptosis study is a skin mechanism rather than a flight replication.	cope_2024_skin;kumari_2021_skin_necroptosis	Spaceflight skin studies report immune, barrier, mitochondrial, and damage responses. RIPK1-dependent necroptosis can produce inflammatory keratinocyte loss, but direct spaceflight-necroptosis evidence was not found.	This overlapping flight-higher pathway adds regulated necroptotic death as a testable skin hypothesis.	grouped_pathway_review	2026-08-05
tissue	spleen	R-MMU-450341_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	Activation of the AP-1 family of transcription factors	https://reactome.org/PathwayBrowser/#/R-MMU-450341	ENSMUSG00000052684,ENSMUSG00000020366,ENSMUSG00000021250	Jun,Mapk9,Fos	6	0.4654541843237898	0.0069530311840857	FLT_higher	real_plus_generated	real_plus_generated:shared_reinforced_group	0.0013429752066115	0.0017561983471074	0.0017561983471074	0.013057647529561	True	True	True	ambiguous	context_dependent_or_mixed_prior_evidence	mixed_same_system_process_evidence	Prior evidence comes from a mouse shuttle mission and human T-cell activation; neither is an exact whole-spleen RNA-seq replication.	gridley_2013_thymus_spleen;hughes_fulford_2015_tcell	The current whole-spleen group is flight higher, whereas prior spaceflight work often reports impaired T-cell activation and lower AP-1-related signaling. Mission, cell composition, and activation context differ.	The AP-1 result is biologically relevant but directionally context dependent and should not be described as straightforward replication.	grouped_pathway_review	2026-08-05
tissue	thymus	R-MMU-176408_REGULATION_OF_APC_C_ACTIVATORS_BETWEEN_G1_S_AND_EARLY_ANAPHASE	Regulation of APC/C activators between G1/S and early anaphase	https://reactome.org/PathwayBrowser/#/R-MMU-176408	ENSMUSG00000006398,ENSMUSG00000027715,ENSMUSG00000041431,ENSMUSG00000036309,ENSMUSG00000019942,ENSMUSG00000025358,ENSMUSG00000027793,ENSMUSG00000040084,ENSMUSG00000030867,ENSMUSG00000001403	Cdc20,Ccna2,Ccnb1,Skp1,Cdk1,Cdk2,Ccna1,Bub1b,Plk1,Ube2c	5	-0.8938824779465686	6.714024327262649e-05	FLT_lower	real_plus_generated	real_plus_generated:shared_reinforced_group	0.0102272727272726	0.0113636363636362	0.0113636363636362	0.2142522054232623	True	True	True	aligning	recovery_of_prior_evidence	same_tissue_process_same_direction	One source may overlap public OSDR cohorts and one is an independent shuttle mission; agreement is at the pathway level.	horie_2019_thymus;gridley_2013_thymus_spleen	Independent mouse flight studies report lower thymic cell-cycle progression and proliferation. The current APC/C, chromosome-condensation, or G2/M group is flight lower in the same tissue.	This pathway reinforces the established flight-lower thymic mitotic program while identifying a more specific regulatory module.	grouped_pathway_review	2026-08-05
tissue	thymus	R-MMU-69478_G2_M_DNA_REPLICATION_CHECKPOINT	G2/M DNA replication checkpoint	https://reactome.org/PathwayBrowser/#/R-MMU-69478	ENSMUSG00000027715,ENSMUSG00000041431,ENSMUSG00000019942,ENSMUSG00000027793,ENSMUSG00000032218	Ccna2,Ccnb1,Cdk1,Ccna1,Ccnb2	5	-0.905663314916951	9.782591323289598e-05	FLT_lower	real_plus_generated	real_plus_generated:shared_reinforced_group	0.0042613636363636	0.0049242424242423	0.0049242424242423	0.140014758444987	True	True	True	aligning	recovery_of_prior_evidence	same_tissue_process_same_direction	One source may overlap public OSDR cohorts and one is an independent shuttle mission; agreement is at the pathway level.	horie_2019_thymus;gridley_2013_thymus_spleen	Independent mouse flight studies report lower thymic cell-cycle progression and proliferation. The current APC/C, chromosome-condensation, or G2/M group is flight lower in the same tissue.	This pathway reinforces the established flight-lower thymic mitotic program while identifying a more specific regulatory module.	grouped_pathway_review	2026-08-05
tissue	thymus	R-MMU-2299718_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Condensation of Prophase Chromosomes	https://reactome.org/PathwayBrowser/#/R-MMU-2299718	ENSMUSG00000034349,ENSMUSG00000041431,ENSMUSG00000041126,ENSMUSG00000019942,ENSMUSG00000022105,ENSMUSG00000030867	Smc4,Ccnb1,H2az2,Cdk1,Rb1,Plk1	5	-0.894176549412594	0.0002110756499307	FLT_lower	real_plus_generated	real_plus_generated:shared_reinforced_group	0.0051136363636363	0.0072916666666665	0.0072916666666665	0.160002379308389	True	True	True	aligning	recovery_of_prior_evidence	same_tissue_process_same_direction	One source may overlap public OSDR cohorts and one is an independent shuttle mission; agreement is at the pathway level.	horie_2019_thymus;gridley_2013_thymus_spleen	Independent mouse flight studies report lower thymic cell-cycle progression and proliferation. The current APC/C, chromosome-condensation, or G2/M group is flight lower in the same tissue.	This pathway reinforces the established flight-lower thymic mitotic program while identifying a more specific regulatory module.	grouped_pathway_review	2026-08-05
tissue	thymus	R-MMU-174184_CDC20_PHOSPHO_APC_C_MEDIATED_DEGRADATION_OF_CYCLIN_A	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	https://reactome.org/PathwayBrowser/#/R-MMU-174184	ENSMUSG00000006398,ENSMUSG00000006998,ENSMUSG00000027715,ENSMUSG00000019942,ENSMUSG00000027793,ENSMUSG00000040084,ENSMUSG00000001403	Cdc20,Psmd2,Ccna2,Cdk1,Ccna1,Bub1b,Ube2c	5	-0.7752816849331664	0.0013731895922783	FLT_lower	real_plus_generated	real_plus_generated:shared_reinforced_group	0.0047348484848484	0.0064393939393938	0.0064393939393938	0.1463658687494172	True	True	False	aligning	recovery_of_prior_evidence	same_tissue_process_same_direction	One source may overlap public OSDR cohorts and one is an independent shuttle mission; agreement is at the pathway level.	horie_2019_thymus;gridley_2013_thymus_spleen	Independent mouse flight studies report lower thymic cell-cycle progression and proliferation. The current APC/C, chromosome-condensation, or G2/M group is flight lower in the same tissue.	This pathway reinforces the established flight-lower thymic mitotic program while identifying a more specific regulatory module.	grouped_pathway_review	2026-08-05
tissue	thymus	R-MMU-179419_APC_CDC20_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS_PRIOR_TO_SATISFATION_OF_THE_CELL_CYCLE_CHECKPOINT	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	https://reactome.org/PathwayBrowser/#/R-MMU-179419	ENSMUSG00000006398,ENSMUSG00000006998,ENSMUSG00000027715,ENSMUSG00000019942,ENSMUSG00000027793,ENSMUSG00000040084,ENSMUSG00000001403	Cdc20,Psmd2,Ccna2,Cdk1,Ccna1,Bub1b,Ube2c	5	-0.7752816849331664	0.0013731895922783	FLT_lower	real_plus_generated	real_plus_generated:synthetic_promoted_group	0.0056818181818181	0.0069128787878787	0.0069128787878787	0.1463658687494172	True	True	True	aligning	recovery_of_prior_evidence	same_tissue_process_same_direction	One source may overlap public OSDR cohorts and one is an independent shuttle mission; agreement is at the pathway level.	horie_2019_thymus;gridley_2013_thymus_spleen	Independent mouse flight studies report lower thymic cell-cycle progression and proliferation. The current APC/C, chromosome-condensation, or G2/M group is flight lower in the same tissue.	This pathway reinforces the established flight-lower thymic mitotic program while identifying a more specific regulatory module.	grouped_pathway_review	2026-08-05
tissue	thymus	R-MMU-8847993_ERBB2_ACTIVATES_PTK6_SIGNALING	ERBB2 Activates PTK6 Signaling	https://reactome.org/PathwayBrowser/#/R-MMU-8847993	ENSMUSG00000028017,ENSMUSG00000020122,ENSMUSG00000018166,ENSMUSG00000062312	Egf,Egfr,Erbb3,Erbb2	5	0.7914238465908524	0.0040765011258452	FLT_higher	generated_only	generated_only:synthetic_promoted_group	-0.0003787878787879	0.0013257575757575	0.0013257575757575	0.0078025338243422	True	True	True	ambiguous	context_dependent_or_mixed_prior_evidence	mixed_same_tissue_growth_signaling_evidence	One source is an independent shuttle mission and one may overlap OSDR cohorts; evidence concerns related growth signaling rather than this exact Reactome term.	gridley_2013_thymus_spleen;horie_2019_thymus	STS-135 thymus showed a nominal flight-higher Egfr signal, while longer-duration mouse studies emphasized reduced thymic proliferation. Evidence for flight-higher ERBB-family signaling is therefore limited and context dependent.	The pathway is a growth-signaling hypothesis, not a settled counterpart to the flight-lower mitotic program.	grouped_pathway_review	2026-08-05
tissue	thymus	R-MMU-174154_APC_C_CDC20_MEDIATED_DEGRADATION_OF_SECURIN	APC/C:Cdc20 mediated degradation of Securin	https://reactome.org/PathwayBrowser/#/R-MMU-174154	ENSMUSG00000006398,ENSMUSG00000006998,ENSMUSG00000001403	Cdc20,Psmd2,Ube2c	5	-0.711852186077856	0.0223000981637889	FLT_lower	real_plus_generated	real_plus_generated:shared_reinforced_group	0.0033143939393938	0.0035984848484847	0.0035984848484847	0.0526740518429652	True	True	True	aligning	recovery_of_prior_evidence	same_tissue_process_same_direction	One source may overlap public OSDR cohorts and one is an independent shuttle mission; agreement is at the pathway level.	horie_2019_thymus;gridley_2013_thymus_spleen	Independent mouse flight studies report lower thymic cell-cycle progression and proliferation. The current APC/C, chromosome-condensation, or G2/M group is flight lower in the same tissue.	This pathway reinforces the established flight-lower thymic mitotic program while identifying a more specific regulatory module.	grouped_pathway_review	2026-08-05
