tissue	term	heldout_project_direction_concordance	heldout_projects	heldout_top_decile_selection_fraction	heldout_selected_direction_concordance	heldout_selected_folds
kidney	R-MMU-109581_APOPTOSIS	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-109582_HEMOSTASIS	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-110330_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	0.0	6	0.0	NA	NA
kidney	R-MMU-110331_CLEAVAGE_OF_THE_DAMAGED_PURINE	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-111465_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-111885_OPIOID_SIGNALLING	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-112314_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-112315_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.8333333333333334	6	0.3333333333333333	0.5	2.0
kidney	R-MMU-112316_NEURONAL_SYSTEM	0.5	6	0.0	NA	NA
kidney	R-MMU-114608_PLATELET_DEGRANULATION	0.8333333333333334	6	1.0	0.8333333333333334	6.0
kidney	R-MMU-1169410_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-1222556_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	0.5	6	0.0	NA	NA
kidney	R-MMU-1236975_ANTIGEN_PROCESSING_CROSS_PRESENTATION	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING	0.0	6	0.0	NA	NA
kidney	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	1.0	6	1.0	1.0	6.0
kidney	R-MMU-1280215_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-1280218_ADAPTIVE_IMMUNE_SYSTEM	0.8333333333333334	6	0.8333333333333334	0.8	5.0
kidney	R-MMU-1296071_POTASSIUM_CHANNELS	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-1428517_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.0	6	0.0	NA	NA
kidney	R-MMU-1430728_METABOLISM	0.6666666666666666	6	1.0	0.6666666666666666	6.0
kidney	R-MMU-1442490_COLLAGEN_DEGRADATION	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.8333333333333334	6	1.0	0.8333333333333334	6.0
kidney	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	0.5	6	0.0	NA	NA
kidney	R-MMU-1474290_COLLAGEN_FORMATION	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-1483206_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-1483257_PHOSPHOLIPID_METABOLISM	1.0	6	0.0	NA	NA
kidney	R-MMU-1500931_CELL_CELL_COMMUNICATION	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	0.0	6	0.0	NA	NA
kidney	R-MMU-156588_GLUCURONIDATION	0.8333333333333334	6	0.1666666666666666	1.0	1.0
kidney	R-MMU-156590_GLUTATHIONE_CONJUGATION	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-1566948_ELASTIC_FIBRE_FORMATION	0.6666666666666666	6	0.1666666666666666	0.0	1.0
kidney	R-MMU-156827_L13A_MEDIATED_TRANSLATIONAL_SILENCING_OF_CERULOPLASMIN_EXPRESSION	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-157579_TELOMERE_MAINTENANCE	0.5	6	0.0	NA	NA
kidney	R-MMU-157858_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	0.5	6	0.0	NA	NA
kidney	R-MMU-15869_METABOLISM_OF_NUCLEOTIDES	1.0	6	0.0	NA	NA
kidney	R-MMU-1592389_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	0.5	6	0.0	NA	NA
kidney	R-MMU-162582_SIGNAL_TRANSDUCTION	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-1630316_GLYCOSAMINOGLYCAN_METABOLISM	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-163125_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-163685_INTEGRATION_OF_ENERGY_METABOLISM	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-1638091_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	0.0	6	0.0	NA	NA
kidney	R-MMU-1640170_CELL_CYCLE	0.5	6	0.0	NA	NA
kidney	R-MMU-1650814_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	0.8333333333333334	6	0.1666666666666666	0.0	1.0
