tissue	term	effect_seed2020	effect_seed2021	effect_seed2022	all_three_seeds_available	all_three_direction_concordant	seed_effect_median	seed_effect_minimum	seed_effect_maximum	primary_absolute_percentile
kidney	R-MMU-109581_APOPTOSIS	0.0355088042002923	0.0372192817643274	0.1111709899999999	True	True	0.0372192817643274	0.0355088042002923	0.1111709899999999	0.7105263157894737
kidney	R-MMU-109582_HEMOSTASIS	0.0173999371491229	0.0141865696052633	-0.0368472225146199	True	False	0.0141865696052633	-0.0368472225146199	0.0173999371491229	0.5361842105263158
kidney	R-MMU-110330_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	-6.667256479093336e-05	0.0006786715666081	-0.0002177752086827	True	False	-6.667256479093336e-05	-0.0002177752086827	0.0006786715666081	0.0131578947368421
kidney	R-MMU-110331_CLEAVAGE_OF_THE_DAMAGED_PURINE	-0.0002277548825102	NA	0.0008907743209473	False	False	0.0003315097192185	-0.0002277548825102	0.0008907743209473	0.0361842105263157
kidney	R-MMU-111465_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	-0.0287463355732456	0.103108640733918	NA	False	False	0.0371811525803362	-0.0287463355732456	0.103108640733918	0.6381578947368421
kidney	R-MMU-111885_OPIOID_SIGNALLING	0.0014190849393742	NA	NA	False	False	0.0014190849393742	0.0014190849393742	0.0014190849393742	0.1842105263157894
kidney	R-MMU-112314_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	-0.0045087742295321	0.0151853100292395	-0.0149095668918127	True	False	-0.0045087742295321	-0.0149095668918127	0.0151853100292395	0.3848684210526316
kidney	R-MMU-112315_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	-0.0696307578362574	-0.0793705640497075	-0.086575723362573	True	True	-0.0793705640497075	-0.086575723362573	-0.0696307578362574	0.9046052631578948
kidney	R-MMU-112316_NEURONAL_SYSTEM	-0.0270541414912281	-0.0008685842982454	-0.026517922982456	True	True	-0.026517922982456	-0.0270541414912281	-0.0008685842982454	0.6282894736842105
kidney	R-MMU-114608_PLATELET_DEGRANULATION	0.1431583571038011	0.0517811723976604	0.2066134147049707	True	True	0.1431583571038011	0.0517811723976604	0.2066134147049707	1.0
kidney	R-MMU-1169410_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	-0.000695202251562	-0.0030145461539473	NA	False	False	-0.0018548742027546	-0.0030145461539473	-0.000695202251562	0.1019736842105263
kidney	R-MMU-1222556_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	-0.0097465064567251	NA	NA	False	False	-0.0097465064567251	-0.0097465064567251	-0.0097465064567251	0.4440789473684211
kidney	R-MMU-1236975_ANTIGEN_PROCESSING_CROSS_PRESENTATION	-0.0001079132262748	NA	NA	False	False	-0.0001079132262748	-0.0001079132262748	-0.0001079132262748	0.0164473684210526
kidney	R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING	-0.0025791454035087	-0.037141036111111	-0.0176045418216373	True	True	-0.0176045418216373	-0.037141036111111	-0.0025791454035087	0.3026315789473684
kidney	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	0.0967190057748541	0.0325783879093568	0.0476093478801171	True	True	0.0476093478801171	0.0325783879093568	0.0967190057748541	0.9539473684210528
kidney	R-MMU-1280215_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	-0.0361623448245611	-0.0683274993567254	-0.0414863719298247	True	True	-0.0414863719298247	-0.0683274993567254	-0.0361623448245611	0.7171052631578947
kidney	R-MMU-1280218_ADAPTIVE_IMMUNE_SYSTEM	-0.0914697839254385	-0.1551083951754387	-0.0449498505263159	True	True	-0.0914697839254385	-0.1551083951754387	-0.0449498505263159	0.944078947368421
kidney	R-MMU-1296071_POTASSIUM_CHANNELS	-0.0332830468421054	-0.0366309123099415	-0.0442266275730993	True	True	-0.0366309123099415	-0.0442266275730993	-0.0332830468421054	0.6875
kidney	R-MMU-1428517_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	-0.0351437695614034	-0.0165635168713452	-0.0050249772368421	True	True	-0.0165635168713452	-0.0351437695614034	-0.0050249772368421	0.7039473684210527
kidney	R-MMU-1430728_METABOLISM	0.1124969715058479	0.1396940137573099	0.1276492997807013	True	True	0.1276492997807013	0.1124969715058479	0.1396940137573099	0.993421052631579
kidney	R-MMU-1442490_COLLAGEN_DEGRADATION	-0.0364067727777777	-0.0313262553947369	0.0264087081432748	True	False	-0.0313262553947369	-0.0364067727777777	0.0264087081432748	0.7236842105263158
kidney	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.0928780325766813	0.088342858099415	0.0181256317982455	True	True	0.088342858099415	0.0181256317982455	0.0928780325766813	0.950657894736842
kidney	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	-0.0036780117105263	0.0548002584502921	0.0559979190935669	True	False	0.0548002584502921	-0.0036780117105263	0.0559979190935669	0.3618421052631579
kidney	R-MMU-1474290_COLLAGEN_FORMATION	0.0189894201725145	0.0875481579985379	0.0090907597514618	True	True	0.0189894201725145	0.0090907597514618	0.0875481579985379	0.5394736842105263
kidney	R-MMU-1483206_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	0.0417813221733918	0.0398751607975146	0.0517731671752923	True	True	0.0417813221733918	0.0398751607975146	0.0517731671752923	0.7828947368421053
kidney	R-MMU-1483257_PHOSPHOLIPID_METABOLISM	-0.0248264495365497	-0.0673376987138888	-0.0625495196535087	True	True	-0.0625495196535087	-0.0673376987138888	-0.0248264495365497	0.6085526315789473
kidney	R-MMU-1500931_CELL_CELL_COMMUNICATION	0.035364710959649	0.1002269489327485	0.0049930382985847	True	True	0.035364710959649	0.0049930382985847	0.1002269489327485	0.7072368421052632
kidney	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	-0.005860264619883	-0.0272985602192982	-0.0389948980891813	True	True	-0.0272985602192982	-0.0389948980891813	-0.005860264619883	0.4144736842105263
kidney	R-MMU-156588_GLUCURONIDATION	-0.0585556107365497	-0.0858010197447367	-0.0811476544061403	True	True	-0.0811476544061403	-0.0858010197447367	-0.0585556107365497	0.8618421052631579
kidney	R-MMU-156590_GLUTATHIONE_CONJUGATION	-0.0003281373238889	0.0365851308061403	0.0339657302182748	True	False	0.0339657302182748	-0.0003281373238889	0.0365851308061403	0.0394736842105263
kidney	R-MMU-1566948_ELASTIC_FIBRE_FORMATION	0.0630813898230994	0.0698054224488303	0.06173076122807	True	True	0.0630813898230994	0.06173076122807	0.0698054224488303	0.8848684210526315
