tissue	term	expimap_accession_balanced_effect	expimap_n_accessions	expimap_accessions_positive	expimap_accessions_negative	expimap_project_balanced_effect	expimap_n_projects	expimap_projects_positive	expimap_projects_negative	ssgsea_accession_balanced_effect	ssgsea_n_accessions	ssgsea_accessions_positive	ssgsea_accessions_negative	ssgsea_project_balanced_effect	ssgsea_n_projects	ssgsea_projects_positive	ssgsea_projects_negative	gsea_nes	gsea_nominal_p	gsea_fdr	gsea_leading_edge_genes	expimap_ssgsea_direction_match	expimap_gsea_direction_match	heldout_project_direction_concordance	heldout_projects	heldout_top_decile_selection_fraction	heldout_selected_direction_concordance	heldout_selected_folds	effect_seed2020	effect_seed2021	effect_seed2022	seed_effect_median	seed_effect_minimum	seed_effect_maximum	primary_absolute_percentile	all_three_seeds_available	all_three_direction_concordant	within_accession_unadjusted_effect	composition_proxy_adjusted_effect	adjusted_direction_matches_unadjusted	absolute_effect_ratio_adjusted_to_unadjusted	display_term	primary_top_decile	ssgsea_direction_support	preranked_gsea_direction_support	heldout_direction_support	seed_direction_support	composition_proxy_support	robustness_support_count	robustness_status	process_family	manual_category	decision	manual_rationale	literature_keys
kidney	R-MMU-8978868_FATTY_ACID_METABOLISM	0.1000384732815789	6	4	2	0.1000384732815789	6	4	2	0.0038663839975093	6.0	3.0	3.0	0.0038663839975093	6.0	3.0	3.0	1.3390537574878048	0.036144578313253	0.5658264568712	ENSMUSG00000028715;ENSMUSG00000066072;ENSMUSG00000035686;ENSMUSG00000025153;ENSMUSG00000038754;ENSMUSG00000032487;ENSMUSG00000021884;ENSMUSG00000024087;ENSMUSG00000015090;ENSMUSG00000051483;ENSMUSG00000018924;ENSMUSG00000032281;ENSMUSG00000050737;ENSMUSG00000072949;ENSMUSG00000017969;ENSMUSG00000028712;ENSMUSG00000021226;ENSMUSG00000021228;ENSMUSG00000078597;ENSMUSG00000041220;ENSMUSG00000076435;ENSMUSG00000008035;ENSMUSG00000021214;ENSMUSG00000034853;ENSMUSG00000019278;ENSMUSG00000056220	True	True	0.6666666666666666	6	0.8333333333333334	0.6	5.0	0.1000384732815788	-0.1239703659049707	-0.1106688202046784	-0.1106688202046784	-0.1239703659049707	0.1000384732815788	0.9671052631578948	True	False	0.112304004081117	0.0723970984008678	True	0.6446528687309809	Fatty Acid Metabolism	True	True	True	True	False	True	4	method-supported, model-sensitive	metabolic	seed_inconsistent	exclude	The primary positive direction becomes negative in both added seeds, matching known strain-dependent lipid heterogeneity rather than one pooled direction.	Finch2025
kidney	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	0.0967190057748541	6	6	0	0.0967190057748541	6	6	0	0.0001420308154625	6.0	3.0	3.0	0.0001420308154625	6.0	3.0	3.0	1.2221748094702272	0.064	0.7284515084861853	ENSMUSG00000023067;ENSMUSG00000004098;ENSMUSG00000018604;ENSMUSG00000031503;ENSMUSG00000031502;ENSMUSG00000026837;ENSMUSG00000039115;ENSMUSG00000006445;ENSMUSG00000001119;ENSMUSG00000020241;ENSMUSG00000030110;ENSMUSG00000031217;ENSMUSG00000020689;ENSMUSG00000021493;ENSMUSG00000020911;ENSMUSG00000031740;ENSMUSG00000022048;ENSMUSG00000054364;ENSMUSG00000058672;ENSMUSG00000038264;ENSMUSG00000006777;ENSMUSG00000014599;ENSMUSG00000022623;ENSMUSG00000023043;ENSMUSG00000048126;ENSMUSG00000000555;ENSMUSG00000045136;ENSMUSG00000034220;ENSMUSG00000035775;ENSMUSG00000056427;ENSMUSG00000001473;ENSMUSG00000026413;ENSMUSG00000063531;ENSMUSG00000030123;ENSMUSG00000029622;ENSMUSG00000072235;ENSMUSG00000000782;ENSMUSG00000024501;ENSMUSG00000049382;ENSMUSG00000037185;ENSMUSG00000025789;ENSMUSG00000039952;ENSMUSG00000039457;ENSMUSG00000023004;ENSMUSG00000041417;ENSMUSG00000025810;ENSMUSG00000039252;ENSMUSG00000038894;ENSMUSG00000034282;ENSMUSG00000001300;ENSMUSG00000031284;ENSMUSG00000062380;ENSMUSG00000039116;ENSMUSG00000020176;ENSMUSG00000023039;ENSMUSG00000030616;ENSMUSG00000038119;ENSMUSG00000040606;ENSMUSG00000034957	True	True	1.0	6	1.0	1.0	6.0	0.0967190057748541	0.0325783879093568	0.0476093478801171	0.0476093478801171	0.0325783879093568	0.0967190057748541	0.9539473684210528	True	True	0.1021207208206687	0.0159848594213653	True	0.1565290500586642	Developmental Biology	True	True	True	True	True	False	4	method-supported, model-sensitive	growth_repair	broad_redundant	exclude	The label combines unrelated developmental systems and its median effect is substantially smaller than the primary estimate.	NA
kidney	R-MMU-445355_SMOOTH_MUSCLE_CONTRACTION	0.0839337876619883	6	4	2	0.0839337876619883	6	4	2	0.0134302860649773	6.0	5.0	1.0	0.0134302860649773	6.0	5.0	1.0	1.5541759040696606	0.014623172103487	0.1826923984631408	ENSMUSG00000018830;ENSMUSG00000033910;ENSMUSG00000035783;ENSMUSG00000028464;ENSMUSG00000028005;ENSMUSG00000029761;ENSMUSG00000022836;ENSMUSG00000117098;ENSMUSG00000022091;ENSMUSG00000059430;ENSMUSG00000067818;ENSMUSG00000032366	True	True	0.6666666666666666	6	0.8333333333333334	0.6	5.0	0.0839337876619882	0.0703536925030993	0.0877253140647368	0.0839337876619882	0.0703536925030993	0.0877253140647368	0.9342105263157896	True	True	0.1088609284304711	0.0204309600838829	True	0.1876794583552733	Smooth Muscle Contraction	True	True	True	True	True	False	4	method-supported, model-sensitive	vascular_hemostatic	composition_sensitive	exclude	Likely reflects renal vascular or stromal content and falls below the retained-magnitude threshold after composition adjustment.	Siew2024
kidney	R-MMU-392499_METABOLISM_OF_PROTEINS	0.083896327631578	6	4	2	0.083896327631578	6	4	2	0.0006099336011647	6.0	3.0	3.0	0.0006099336011647	6.0	3.0	3.0	1.051133516578273	0.307	1.0	ENSMUSG00000033860;ENSMUSG00000038156;ENSMUSG00000027875;ENSMUSG00000023885;ENSMUSG00000028001;ENSMUSG00000070645;ENSMUSG00000022868;ENSMUSG00000036040;ENSMUSG00000032083;ENSMUSG00000034040;ENSMUSG00000028364;ENSMUSG00000006403;ENSMUSG00000004328;ENSMUSG00000003411;ENSMUSG00000027204;ENSMUSG00000039323;ENSMUSG00000026185;ENSMUSG00000039911;ENSMUSG00000021614;ENSMUSG00000024164;ENSMUSG00000066113;ENSMUSG00000026193;ENSMUSG00000022894;ENSMUSG00000022598;ENSMUSG00000036545;ENSMUSG00000062727;ENSMUSG00000056091;ENSMUSG00000030107;ENSMUSG00000037035;ENSMUSG00000029070;ENSMUSG00000042784;ENSMUSG00000030217;ENSMUSG00000029309;ENSMUSG00000003617;ENSMUSG00000017677;ENSMUSG00000047497;ENSMUSG00000032625;ENSMUSG00000013846;ENSMUSG00000021062;ENSMUSG00000072949;ENSMUSG00000024299;ENSMUSG00000020303;ENSMUSG00000021125;ENSMUSG00000030022;ENSMUSG00000020427;ENSMUSG00000021025;ENSMUSG00000079015;ENSMUSG00000058672;ENSMUSG00000027792;ENSMUSG00000024140;ENSMUSG00000014599;ENSMUSG00000045573;ENSMUSG00000022893;ENSMUSG00000040296;ENSMUSG00000020027;ENSMUSG00000058756;ENSMUSG00000051236;ENSMUSG00000024736;ENSMUSG00000021226;ENSMUSG00000032578;ENSMUSG00000037306;ENSMUSG00000035638;ENSMUSG00000030605;ENSMUSG00000046223;ENSMUSG00000054385;ENSMUSG00000018909;ENSMUSG00000045136;ENSMUSG00000032786;ENSMUSG00000061991;ENSMUSG00000015850;ENSMUSG00000073530;ENSMUSG00000001473;ENSMUSG00000033453;ENSMUSG00000025509;ENSMUSG00000063011;ENSMUSG00000024810;ENSMUSG00000021228;ENSMUSG00000049538;ENSMUSG00000024660;ENSMUSG00000053113;ENSMUSG00000072235;ENSMUSG00000021556;ENSMUSG00000001870;ENSMUSG00000032068;ENSMUSG00000048583;ENSMUSG00000030055;ENSMUSG00000025789;ENSMUSG00000029368;ENSMUSG00000039952;ENSMUSG00000043099;ENSMUSG00000034634;ENSMUSG00000025403;ENSMUSG00000023004;ENSMUSG00000029223;ENSMUSG00000057346;ENSMUSG00000025650;ENSMUSG00000030091;ENSMUSG00000056492;ENSMUSG00000021835;ENSMUSG00000024697;ENSMUSG00000037379;ENSMUSG00000036256;ENSMUSG00000022816;ENSMUSG00000046841;ENSMUSG00000071516;ENSMUSG00000000142;ENSMUSG00000022475;ENSMUSG00000069302;ENSMUSG00000027249;ENSMUSG00000060981;ENSMUSG00000068220;ENSMUSG00000022579;ENSMUSG00000002985;ENSMUSG00000022912;ENSMUSG00000112449;ENSMUSG00000062380;ENSMUSG00000022479;ENSMUSG00000094338;ENSMUSG00000033684;ENSMUSG00000061615;ENSMUSG00000025225;ENSMUSG00000031444;ENSMUSG00000026110;ENSMUSG00000020183;ENSMUSG00000074272;ENSMUSG00000032000;ENSMUSG00000069301;ENSMUSG00000061878;ENSMUSG00000025007;ENSMUSG00000001827;ENSMUSG00000032079;ENSMUSG00000041445;ENSMUSG00000040434;ENSMUSG00000028766;ENSMUSG00000051650;ENSMUSG00000047638;ENSMUSG00000025854;ENSMUSG00000006517;ENSMUSG00000031490;ENSMUSG00000020642	True	True	0.6666666666666666	6	0.8333333333333334	0.6	5.0	0.083896327631578	0.136244265058479	0.1440220199561406	0.136244265058479	0.083896327631578	0.1440220199561406	0.930921052631579	True	True	0.1179496854863221	-0.0205548753749362	False	0.174268166042035	Metabolism Of Proteins	True	True	True	True	True	False	4	method-supported, model-sensitive	metabolic	broad_redundant	exclude	The broad protein-metabolism parent is composition-sensitive and does not resolve a specific process.	Finch2025
kidney	R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	-0.1007964916374269	6	1	5	-0.1007964916374269	6	1	5	-0.0023960342910992	6.0	2.0	4.0	-0.0023960342910992	6.0	2.0	4.0	0.6975870948335785	0.9458917835671342	1.0	ENSMUSG00000036437;ENSMUSG00000067586;ENSMUSG00000074715;ENSMUSG00000024164;ENSMUSG00000059810;ENSMUSG00000024659;ENSMUSG00000045573;ENSMUSG00000038668;ENSMUSG00000026678;ENSMUSG00000094686;ENSMUSG00000029380;ENSMUSG00000042770;ENSMUSG00000042429;ENSMUSG00000031778;ENSMUSG00000002997;ENSMUSG00000029819;ENSMUSG00000021070;ENSMUSG00000029372;ENSMUSG00000024697;ENSMUSG00000056220	True	False	0.8333333333333334	6	0.8333333333333334	0.8	5.0	-0.1007964916374269	-0.0933322681286549	-0.0454831498194444	-0.0933322681286549	-0.1007964916374269	-0.0454831498194444	0.9703947368421052	True	True	-0.11060417931231	-0.0491791255266891	True	0.4446407525688826	G Alpha I Signalling Events	True	True	False	True	True	True	4	internally robust, incomplete conventional support	gpcr	broad_redundant	exclude	A broad signaling child without a kidney-specific ligand or downstream process and with incomplete GSEA support.	NA
kidney	R-MMU-6805567_KERATINIZATION	0.0793630617546783	6	6	0	0.0793630617546783	6	6	0	-0.0005502149158599	6.0	3.0	3.0	-0.0005502149158599	6.0	3.0	3.0	1.2477063168545872	0.1754010695187166	0.7381656497509369	ENSMUSG00000020911;ENSMUSG00000006777;ENSMUSG00000023043;ENSMUSG00000035775;ENSMUSG00000026413;ENSMUSG00000049382;ENSMUSG00000037185;ENSMUSG00000039457;ENSMUSG00000034282;ENSMUSG00000023039;ENSMUSG00000040606	False	True	1.0	6	0.6666666666666666	1.0	4.0	0.0793630617546783	0.0658423939327485	0.0411527654932748	0.0658423939327485	0.0411527654932748	0.0793630617546783	0.9276315789473684	True	True	0.0639066475915653	-0.0267444129288684	False	0.4184918773989682	Keratinization	True	False	True	True	True	False	3	sensitivity-dependent	epithelial_annotation	tissue_incongruent	exclude	Keratinization is not a coherent whole-kidney mechanism and likely reflects shared epithelial genes or sampling composition.	NA
kidney	R-MMU-112315_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	-0.0696307578362574	6	1	5	-0.0696307578362574	6	1	5	-0.0054893598768388	6.0	1.0	5.0	-0.0054893598768388	6.0	1.0	5.0	0.5052017630158517	0.9918200408997956	1.0	ENSMUSG00000030109;ENSMUSG00000024897;ENSMUSG00000030098;ENSMUSG00000031343;ENSMUSG00000002997;ENSMUSG00000030108;ENSMUSG00000026473;ENSMUSG00000025892;ENSMUSG00000023809;ENSMUSG00000028456;ENSMUSG00000024462;ENSMUSG00000031659;ENSMUSG00000058254;ENSMUSG00000051359;ENSMUSG00000040966	True	False	0.8333333333333334	6	0.3333333333333333	0.5	2.0	-0.0696307578362574	-0.0793705640497075	-0.086575723362573	-0.0793705640497075	-0.086575723362573	-0.0696307578362574	0.9046052631578948	True	True	-0.0811940738981763	-0.002359287610952	True	0.0290573867978436	Transmission Across Chemical Synapses	True	True	False	True	True	False	3	sensitivity-dependent	shared_receptor_annotation	tissue_incongruent	exclude	The neuronal label is not interpreted in whole kidney and is largely removed by composition adjustment.	NA
kidney	R-MMU-8856688_GOLGI_TO_ER_RETROGRADE_TRANSPORT	-0.0740460631200292	6	1	5	-0.0740460631200292	6	1	5	-0.0002132460554766	6.0	3.0	3.0	-0.0002132460554766	6.0	3.0	3.0	1.0717769962386516	0.386853448275862	1.0	ENSMUSG00000014602;ENSMUSG00000058672;ENSMUSG00000045136;ENSMUSG00000021294;ENSMUSG00000001473;ENSMUSG00000072235;ENSMUSG00000023004;ENSMUSG00000056220;ENSMUSG00000062380;ENSMUSG00000032254;ENSMUSG00000041642;ENSMUSG00000045328	True	False	0.8333333333333334	6	0.6666666666666666	0.75	4.0	-0.0740460631200292	-0.0003262313863859	NA	-0.0371861472532075	-0.0740460631200292	-0.0003262313863859	0.9111842105263158	False	False	-0.0748421051531155	-0.0246584614028255	True	0.3294731134617081	Golgi To Er Retrograde Transport	True	True	False	True	False	True	3	sensitivity-dependent	intracellular_traffic	seed_inconsistent	exclude	The seed median is small and one added seed reverses direction.	NA
kidney	R-MMU-168249_INNATE_IMMUNE_SYSTEM	-0.0751073163011696	6	2	4	-0.0751073163011696	6	2	4	-0.0010512934925729	6.0	2.0	4.0	-0.0010512934925729	6.0	2.0	4.0	0.6819814379562915	0.999	1.0	ENSMUSG00000021250;ENSMUSG00000033860;ENSMUSG00000079105;ENSMUSG00000028001;ENSMUSG00000022868;ENSMUSG00000064267;ENSMUSG00000026822;ENSMUSG00000031722;ENSMUSG00000033831;ENSMUSG00000028976;ENSMUSG00000031825;ENSMUSG00000021091;ENSMUSG00000031827;ENSMUSG00000061780;ENSMUSG00000024164;ENSMUSG00000039982;ENSMUSG00000022887;ENSMUSG00000016024;ENSMUSG00000030107;ENSMUSG00000023224;ENSMUSG00000029811;ENSMUSG00000017466;ENSMUSG00000034993;ENSMUSG00000021025;ENSMUSG00000079015;ENSMUSG00000052305;ENSMUSG00000027435;ENSMUSG00000039005;ENSMUSG00000032231;ENSMUSG00000004665;ENSMUSG00000039196;ENSMUSG00000040296;ENSMUSG00000035273;ENSMUSG00000020717;ENSMUSG00000008540;ENSMUSG00000029380;ENSMUSG00000046223;ENSMUSG00000054385;ENSMUSG00000009356;ENSMUSG00000002885;ENSMUSG00000073940;ENSMUSG00000032788;ENSMUSG00000052684;ENSMUSG00000026413;ENSMUSG00000020277;ENSMUSG00000029622;ENSMUSG00000028599;ENSMUSG00000006301;ENSMUSG00000032561;ENSMUSG00000001525;ENSMUSG00000029372;ENSMUSG00000027907;ENSMUSG00000021457;ENSMUSG00000018774;ENSMUSG00000041417;ENSMUSG00000020154;ENSMUSG00000026880;ENSMUSG00000024349;ENSMUSG00000046841;ENSMUSG00000026879;ENSMUSG00000031284;ENSMUSG00000021822;ENSMUSG00000027249;ENSMUSG00000076615;ENSMUSG00000076612;ENSMUSG00000051439;ENSMUSG00000027533;ENSMUSG00000033684;ENSMUSG00000023809;ENSMUSG00000025225;ENSMUSG00000116876;ENSMUSG00000021823;ENSMUSG00000074272;ENSMUSG00000032000;ENSMUSG00000056724;ENSMUSG00000026825;ENSMUSG00000038600;ENSMUSG00000019987;ENSMUSG00000025498;ENSMUSG00000017344;ENSMUSG00000026874;ENSMUSG00000017390;ENSMUSG00000096255;ENSMUSG00000044583;ENSMUSG00000030786;ENSMUSG00000056515;ENSMUSG00000034708;ENSMUSG00000044748;ENSMUSG00000040265;ENSMUSG00000055172;ENSMUSG00000038393;ENSMUSG00000033307;ENSMUSG00000028755;ENSMUSG00000012705;ENSMUSG00000060147;ENSMUSG00000019843;ENSMUSG00000005686;ENSMUSG00000026365;ENSMUSG00000021999;ENSMUSG00000019850;ENSMUSG00000001750;ENSMUSG00000025196;ENSMUSG00000026177;ENSMUSG00000021069;ENSMUSG00000050721;ENSMUSG00000054889;ENSMUSG00000004864;ENSMUSG00000036905;ENSMUSG00000022037;ENSMUSG00000033538;ENSMUSG00000040693	True	False	0.6666666666666666	6	0.6666666666666666	0.5	4.0	-0.0751073163011696	-0.1183820256438742	-0.1477676948751461	-0.1183820256438742	-0.1477676948751461	-0.0751073163011696	0.9177631578947368	True	True	-0.0622613870820668	-0.0036751332813165	True	0.0590274880396155	Innate Immune System	True	True	False	True	True	False	3	sensitivity-dependent	immune	composition_sensitive	exclude	The broad innate parent retains only a small fraction of its unadjusted magnitude.	Finch2025
kidney	R-MMU-71291_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	-0.0848743164619886	6	1	5	-0.0848743164619886	6	1	5	0.0003761816288596	6.0	2.0	4.0	0.0003761816288596	6.0	2.0	4.0	0.9097351414665966	0.6944723618090453	1.0	ENSMUSG00000030109;ENSMUSG00000074768;ENSMUSG00000025991;ENSMUSG00000026866;ENSMUSG00000020182;ENSMUSG00000037686;ENSMUSG00000024640;ENSMUSG00000029811;ENSMUSG00000021125;ENSMUSG00000029752;ENSMUSG00000003849;ENSMUSG00000027360;ENSMUSG00000027333;ENSMUSG00000034456;ENSMUSG00000024827;ENSMUSG00000031700;ENSMUSG00000025792;ENSMUSG00000044986;ENSMUSG00000025176;ENSMUSG00000042118;ENSMUSG00000064254;ENSMUSG00000026473;ENSMUSG00000033022;ENSMUSG00000001155;ENSMUSG00000001773;ENSMUSG00000030630;ENSMUSG00000000673;ENSMUSG00000042096;ENSMUSG00000025007;ENSMUSG00000034785;ENSMUSG00000019987;ENSMUSG00000022821	False	False	0.8333333333333334	6	0.8333333333333334	0.8	5.0	-0.0848743164619886	-0.160944355730994	-0.1399779505994154	-0.1399779505994154	-0.160944355730994	-0.0848743164619886	0.9375	True	True	-0.1167733775455927	-0.0322196612520473	True	0.2759161542575711	Metabolism Of Amino Acids And Derivatives	True	False	False	True	True	True	3	internally robust, incomplete conventional support	metabolic_capacity	latent_gene_discordant	exclude	The latent score is lower across seeds and five of six projects, but raw member genes, ssGSEA, preranked GSEA, and prior kidney GSEA point higher. It is not interpreted as reduced tubular metabolic capacity.	Hammond2018;Siew2024
