tissue	term	display_term	decision	manual_category	pathway_seed_median_effect	pathway_genes_in_hvg_model	member_gene_same_direction_fraction	median_member_gene_log2cpm_effect	decoder_direction_match_fraction_median	decoder_abs_weight_direction_match_fraction_median	decoder_abs_weight_direction_match_fraction_minimum	decoder_gene_effect_spearman_median	top_decoder_concordant_member_genes
kidney	R-MMU-112315_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	Transmission Across Chemical Synapses	exclude	tissue_incongruent	-0.0793705640497075	37	0.43243243243243246	0.033448180547745565	0.5405405405405406	0.5533093587409539	0.5292303569409718	0.2937411095305832	Chrna4 (raw -0.07, weight +0.60); Kcnj16 (raw -0.03, weight +0.40); Gabrb3 (raw -0.20, weight +0.38); Slc1a1 (raw -0.00, weight +0.33); Apba1 (raw +0.25, weight -0.32); Slc22a1 (raw -0.00, weight +0.31); Slc6a12 (raw +0.44, weight -0.26); Cacnb4 (raw -0.07, weight +0.25)
kidney	R-MMU-114608_PLATELET_DEGRANULATION	Platelet Degranulation	supporting	plausible_context	0.1431583571038011	69	0.8695652173913043	0.1424348891294264	0.6376811594202898	0.6922700968561288	0.6533217471687468	0.1553891121666058	F13a1 (raw +0.14, weight +0.38); Srgn (raw +0.09, weight +0.38); Serpina3n (raw +0.30, weight +0.34); Trf (raw +0.09, weight +0.34); Clec3b (raw +0.21, weight +0.34); Itih4 (raw +0.31, weight +0.32); Plek (raw +0.13, weight +0.30); Selp (raw +0.01, weight +0.29)
kidney	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	Developmental Biology	exclude	broad_redundant	0.0476093478801171	131	0.8091603053435115	0.08925280584260668	0.44274809160305345	0.49924938610982605	0.4552862019320571	-0.1389526504030321	Krt4 (raw +0.01, weight +0.98); Gap43 (raw +0.04, weight +0.79); Krt14 (raw +0.00, weight +0.71); Krt15 (raw +0.07, weight +0.65); Krt23 (raw +0.20, weight +0.64); Krt20 (raw +0.17, weight +0.48); Cdsn (raw +0.08, weight +0.47); Pkp1 (raw +0.16, weight +0.44)
kidney	R-MMU-1280218_ADAPTIVE_IMMUNE_SYSTEM	Adaptive Immune System	exclude	composition_sensitive	-0.0914697839254385	159	0.3584905660377358	0.03393985330014392	0.5534591194968553	0.5754664020024636	0.5615533372942219	0.19071829472175786	H2-Aa (raw -0.12, weight +0.58); H2-Eb1 (raw -0.11, weight +0.57); H2-Ab1 (raw -0.09, weight +0.55); Cd74 (raw -0.07, weight +0.52); Slamf7 (raw -0.15, weight +0.42); Ctla4 (raw -0.01, weight +0.38); Cd3e (raw -0.08, weight +0.34); Cd209a (raw -0.20, weight +0.30)
kidney	R-MMU-1430728_METABOLISM	Metabolism	supporting	broad_redundant	0.1276492997807013	494	0.7206477732793523	0.062396423422696655	0.4939271255060729	0.5470789889374349	0.53419210983938	0.1452708424631132	Pon1 (raw +0.04, weight +0.60); Cyp3a11 (raw +0.13, weight +0.60); Elovl3 (raw +0.32, weight +0.60); Abcb11 (raw +0.06, weight +0.59); Cyp2b10 (raw +0.44, weight +0.55); Cps1 (raw +0.31, weight +0.50); Dbh (raw +0.09, weight +0.46); Aldh3a1 (raw +0.09, weight +0.45)
kidney	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Degradation Of The Extracellular Matrix	supporting	composition_sensitive	0.088342858099415	56	0.8035714285714286	0.11376932426583775	0.7142857142857143	0.731289783741317	0.5945384085666798	-0.055639097744360905	Fbn2 (raw +0.14, weight +0.53); Mmp11 (raw +0.10, weight +0.47); Mmp13 (raw -0.18, weight -0.46); Scube1 (raw +0.11, weight +0.42); Mmp14 (raw +0.26, weight +0.42); Scube3 (raw +0.14, weight +0.41); Nid1 (raw +0.22, weight +0.41); Mmp2 (raw +0.21, weight +0.39)
kidney	R-MMU-168249_INNATE_IMMUNE_SYSTEM	Innate Immune System	exclude	composition_sensitive	-0.1183820256438742	258	0.29457364341085274	0.05360180856351582	0.41472868217054265	0.42839685482595535	0.4185217847405092	0.22886623583393104	Lyz2 (raw -0.02, weight +0.48); Ly86 (raw -0.03, weight +0.39); Glipr1 (raw -0.09, weight +0.38); Itgax (raw -0.07, weight +0.36); C8a (raw +0.01, weight -0.35); Pld4 (raw -0.01, weight +0.34); Siglecg (raw -0.16, weight +0.34); Ifi205 (raw -0.20, weight +0.32)
kidney	R-MMU-168256_IMMUNE_SYSTEM	Immune System	exclude	composition_sensitive	-0.0991074501461984	434	0.3087557603686636	0.05360180856351582	0.532258064516129	0.5713173211766451	0.559447745310772	0.3144985685550387	Ctla4 (raw -0.01, weight +0.77); Cd300e (raw -0.00, weight +0.75); Reg3g (raw -0.07, weight +0.70); Osm (raw -0.01, weight +0.66); Cd300ld5 (raw -0.02, weight +0.63); Ighg1 (raw -0.01, weight +0.63); Ifitm6 (raw -0.07, weight +0.61); Cd209a (raw -0.20, weight +0.60)
kidney	R-MMU-174824_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	Plasma Lipoprotein Assembly Remodeling And Clearance	supporting	plausible_context	0.0985045225584795	27	0.7777777777777778	0.06413728160741068	0.6296296296296297	0.7185795656094403	0.5070456539765897	0.2045177045177045	Apoc1 (raw +0.13, weight +0.63); Lipg (raw +0.04, weight +0.61); Scarb1 (raw +0.09, weight +0.38); Apoc2 (raw +0.01, weight +0.33); Apoa5 (raw +0.11, weight +0.33); Lipa (raw -0.10, weight -0.28); Pltp (raw +0.06, weight +0.25); Angptl4 (raw -0.11, weight -0.20)
kidney	R-MMU-195721_SIGNALING_BY_WNT	Signaling By Wnt	main_candidate	coherent_complementary	0.0673427095614033	31	0.8387096774193549	0.06526597619197198	0.6129032258064516	0.722549599231739	0.6679830991551748	0.13185483870967743	Wnt7a (raw +0.04, weight +0.93); Wnt7b (raw +0.22, weight +0.56); Fzd2 (raw +0.13, weight +0.55); Wnt4 (raw +0.25, weight +0.38); Sox4 (raw +0.08, weight +0.36); Rspo3 (raw +0.17, weight +0.34); Wnt5a (raw +0.06, weight +0.29); Fzd4 (raw +0.02, weight +0.23)
