tissue	samples	accessions	aggregate_accession_silhouette	mober_accession_silhouette	mober_minus_aggregate_accession_silhouette	aggregate_condition_silhouette	mober_condition_silhouette	mober_minus_aggregate_condition_silhouette
kidney	133	6	0.24339622474621175	0.36262336899859166	0.1192271442523799	0.004887992919375577	-0.007383754029949795	-0.012271746949325372
liver	229	12	0.0594358448803453	-0.13885196544139314	-0.19828781032173842	-0.001538690099615035	-0.001068616499369896	0.00047007360024513907
lung	76	3	0.14972432982044526	0.3069305629180478	0.15720623309760257	-0.004584639689079069	-0.005327100277423712	-0.0007424605883446433
skeletal_muscle	185	13	0.27201630117587583	0.07541615908069584	-0.19660014209518	0.007515900853241022	-0.003199321592697243	-0.010715222445938265
skeletal_muscle_edl	30	2	0.5307413830330924	0.17895831933333078	-0.3517830636997616	0.0019803501044515334	-0.0022693403732825784	-0.004249690477734111
skeletal_muscle_gastrocnemius	30	3	0.35127511718997084	0.15316036461041663	-0.19811475257955422	0.017510205013228718	-0.0020307478262213186	-0.019540952839450038
skeletal_muscle_quadriceps	44	4	0.34240748651002756	0.10684797593495404	-0.23555951057507352	0.030517587843492976	-0.0015200611972956016	-0.032037649040788575
skeletal_muscle_soleus	51	3	0.4213554316320456	0.39872889118413485	-0.022626540447910737	0.06292633343787973	-0.008817771038686802	-0.07174410447656654
skeletal_muscle_tibialis_anterior	30	2	0.5723520572751162	0.16796594328987197	-0.4043861139852442	0.03195827201534036	0.07984051924633956	0.0478822472309992
skin	151	6	-0.00996458558884546	-0.0511155570843109	-0.04115097149546544	0.014163166916569242	0.016829104481182026	0.0026659375646127838
spleen	108	6	0.32485861769062724	0.3000093468388127	-0.024849270851814542	-0.010752398894892316	-0.01097796531625537	-0.00022556642136305378
thymus	115	5	0.02322785898359767	0.06339018945600736	0.04016233047240969	0.04692087772405131	0.053170611612762465	0.006249733888711154
