tissue	studies	total_deg_padj05	total_deg_enriched_clusters	recurring_dgea_glare_terms	top_terms
kidney	6	4141	23	354	Peptide Chain Elongation; 3 Utr Mediated Translational Regulation; Nonsense Mediated Decay Enhanced By The Exon Junction Complex; Influenza Viral Rna Transcription And Replication; Tca Cycle And Respiratory Electron Transport; Influenza Life Cycle
liver	12	7432	44	531	Metabolism Of Amino Acids And Derivatives; Immunoregulatory Interactions Between A Lymphoid And A Non Lymphoid Cell; Gpcr Downstream Signaling; Gpcr Ligand Binding; Generation Of Second Messenger Molecules; Peptide Chain Elongation
lung	3	1445	10	324	Adaptive Immune System; Cytokine Signaling In Immune System; Interferon Signaling; Innate Immune System; Gpvi Mediated Activation Cascade; Signaling By Ils
skeletal_muscle	13	32416	105	502	Metabolism Of Proteins; Influenza Life Cycle; Developmental Biology; Respiratory Electron Transport; Respiratory Electron Transport Atp Synthesis By Chemiosmotic Coupling And Heat Production By Uncoupling Proteins ; Srp Dependent Cotranslational Protein Targeting To Membrane
skeletal_muscle_edl	2	6951	21	142	Orc1 Removal From Chromatin; Scfskp2 Mediated Degradation Of P27 P21; Activation Of Nf Kappab In B Cells; Assembly Of The Pre Replicative Complex; Cdt1 Association With The Cdc6 Orc Origin Complex; Cyclin E Associated Events During G1 S Transition 
skeletal_muscle_gastrocnemius	3	507	11	131	Axon Guidance; Developmental Biology; Tca Cycle And Respiratory Electron Transport; Metabolism Of Proteins; Respiratory Electron Transport; Translation
skeletal_muscle_quadriceps	4	4627	26	198	Tca Cycle And Respiratory Electron Transport; Respiratory Electron Transport; Respiratory Electron Transport Atp Synthesis By Chemiosmotic Coupling And Heat Production By Uncoupling Proteins ; 3 Utr Mediated Translational Regulation; Translation; Srp Dependent Cotranslational Protein Targeting To Membrane
skeletal_muscle_soleus	3	15406	33	305	Mitochondrial Fatty Acid Beta Oxidation; Translation; Metabolism Of Mrna; Srp Dependent Cotranslational Protein Targeting To Membrane; 3 Utr Mediated Translational Regulation; Peptide Chain Elongation
skeletal_muscle_tibialis_anterior	2	4789	21	169	Destabilization Of Mrna By Auf1 Hnrnp D0; Regulation Of Apoptosis; Downstream Signaling Events Of B Cell Receptor Bcr; Signaling By Wnt; Cross Presentation Of Soluble Exogenous Antigens Endosomes; Antigen Processing Cross Presentation
skin	6	4199	16	571	Translation; Influenza Viral Rna Transcription And Replication; Peptide Chain Elongation; Srp Dependent Cotranslational Protein Targeting To Membrane; Immunoregulatory Interactions Between A Lymphoid And A Non Lymphoid Cell; Cell Cycle
spleen	6	1830	20	489	Developmental Biology; Extracellular Matrix Organization; Adaptive Immune System; Signaling By Fgfr; Downstream Signaling Of Activated Fgfr; Tcr Signaling
thymus	5	16170	31	473	Cell Cycle; Cell Cycle Mitotic; Dna Replication; Mrna Processing; Processing Of Capped Intron Containing Pre Mrna; Mitotic M M G1 Phases
