run	panel	profiles_n	source
aggregate_glare	FLT	91	outputs/glare_tms_liver_aggregated_osdr_flt_gc/retained_profile_features.tsv
aggregate_glare	GC	82	outputs/glare_tms_liver_aggregated_osdr_flt_gc/retained_profile_features.tsv
mober_12filter	FLT	73	outputs/glare_tms_liver_mober_ribo6_osdr_12_muscle_outliers/retained_profile_features.tsv
mober_12filter	GC	71	outputs/glare_tms_liver_mober_ribo6_osdr_12_muscle_outliers/retained_profile_features.tsv
OSD-379	FLT	31	outputs/glare_per_study_liver_noercc_12filter/OSD-379/retained_profile_features.tsv
OSD-379	GC	31	outputs/glare_per_study_liver_noercc_12filter/OSD-379/retained_profile_features.tsv
OSD-245	FLT	18	outputs/glare_per_study_liver_noercc_12filter/OSD-245/retained_profile_features.tsv
OSD-245	GC	19	outputs/glare_per_study_liver_noercc_12filter/OSD-245/retained_profile_features.tsv
OSD-463	FLT	12	outputs/glare_per_study_liver_noercc_12filter/OSD-463/retained_profile_features.tsv
OSD-463	GC	10	outputs/glare_per_study_liver_noercc_12filter/OSD-463/retained_profile_features.tsv
OSD-168	FLT	9	outputs/glare_per_study_liver_noercc_12filter/OSD-168/retained_profile_features.tsv
OSD-168	GC	9	outputs/glare_per_study_liver_noercc_12filter/OSD-168/retained_profile_features.tsv
OSD-48	FLT	7	outputs/glare_per_study_liver_noercc_12filter/OSD-48/retained_profile_features.tsv
OSD-48	GC	7	outputs/glare_per_study_liver_noercc_12filter/OSD-48/retained_profile_features.tsv
OSD-137	FLT	5	outputs/glare_per_study_liver_noercc_12filter/OSD-137/retained_profile_features.tsv
OSD-137	GC	6	outputs/glare_per_study_liver_noercc_12filter/OSD-137/retained_profile_features.tsv
