location,epoch,loss,best_loss,elapsed_seconds,elapsed,epoch_seconds
FLT,1,0.15830576,0.15830576,3.455,3s,2.568
FLT,2,0.15678443,0.15678443,5.515,5s,2.06
FLT,3,0.15686491,0.15678443,7.523,7s,2.008
FLT,4,0.15666933,0.15666933,9.511,9s,1.987
FLT,5,0.15659804,0.15659804,11.495,11s,1.983
FLT,6,0.15658508,0.15658508,13.479,13s,1.984
FLT,7,0.15640389,0.15640389,15.477,15s,1.997
FLT,8,0.15638315,0.15638315,17.98,17s,2.503
FLT,9,0.15629162,0.15629162,20.094,20s,2.113
FLT,10,0.15650576,0.15629162,22.36,22s,2.265
FLT,11,0.15638805,0.15629162,24.383,24s,2.023
FLT,12,0.15641725,0.15629162,26.436,26s,2.052
FLT,13,0.15630522,0.15629162,28.469,28s,2.033
FLT,14,0.15634936,0.15629162,30.734,30s,2.264
FLT,15,0.15624222,0.15624222,32.752,32s,2.018
FLT,16,0.15626418,0.15624222,34.706,34s,1.954
FLT,17,0.15625853,0.15624222,36.715,36s,2.008
FLT,18,0.1562853,0.15624222,38.679,38s,1.963
FLT,19,0.15623953,0.15623953,40.664,40s,1.985
FLT,20,0.15625019,0.15623953,42.614,42s,1.95
FLT,21,0.1562583,0.15623953,44.593,44s,1.979
FLT,22,0.15626095,0.15623953,46.564,46s,1.971
FLT,23,0.15621687,0.15621687,48.548,48s,1.983
FLT,24,0.15621398,0.15621398,50.497,50s,1.949
FLT,25,0.15619482,0.15619482,52.511,52s,2.014
FLT,26,0.15624879,0.15619482,54.464,54s,1.952
FLT,27,0.1562818,0.15619482,56.435,56s,1.97
FLT,28,0.15619696,0.15619482,58.448,58s,2.013
FLT,29,0.15618931,0.15618931,60.457,1m 0s,2.008
FLT,30,0.15614395,0.15614395,62.451,1m 2s,1.993
