gene_id	latent_1	latent_2	latent_3	latent_4	latent_5	latent_6	latent_7	latent_8	latent_9	latent_10	latent_11	latent_12	latent_13	latent_14	latent_15	latent_16
ENSMUSG00000029422	-0.60216075	-0.35658672	-0.2082346	-0.573842	0.09333129	0.3483386	0.85221803	0.33800292	0.3044626	0.639497	0.1043794	-0.05224967	0.21228209	-0.6353218	1.3792667	0.3450145
ENSMUSG00000049036	-0.5886396	-0.35751492	-0.21088327	-0.5945901	0.10195443	0.37798434	0.8330007	0.32367462	0.3687386	0.6624288	0.11444181	-0.053759858	0.09568142	-0.6280984	1.3085414	0.35339195
ENSMUSG00000029577	-0.60451967	-0.3609587	-0.20696759	-0.56852925	0.089174405	0.34234375	0.8595038	0.33903837	0.28297567	0.62870115	0.10255783	-0.052049484	0.23697779	-0.6382165	1.3876224	0.3516196
ENSMUSG00000040746	-0.59952724	-0.35759625	-0.2087528	-0.5783659	0.09488116	0.35473895	0.8490981	0.3350299	0.316976	0.6437064	0.10653273	-0.052617013	0.1880708	-0.63423747	1.364554	0.34808642
ENSMUSG00000020590	-0.6080932	-0.3495654	-0.20757051	-0.56372255	0.09178172	0.333225	0.8552729	0.3462283	0.28313136	0.63414866	0.099344164	-0.051328313	0.26699892	-0.63611746	1.4175518	0.3306137
ENSMUSG00000030263	-0.5896308	-0.35693273	-0.2108006	-0.5933615	0.10166286	0.37601417	0.8339428	0.3249039	0.36543632	0.6615879	0.113754556	-0.053656846	0.103418596	-0.6284482	1.3141522	0.3519225
ENSMUSG00000038914	-0.6103799	-0.35756564	-0.20563063	-0.5567994	0.085449524	0.32640797	0.8655791	0.34593546	0.25308657	0.61786765	0.09741306	-0.051146954	0.2954419	-0.6402302	1.4222698	0.3434911
ENSMUSG00000026878	-0.6285979	-0.34876162	-0.19745009	-0.49923328	0.0640173	0.25904685	0.8868984	0.36491984	0.11267382	0.55379313	0.07773965	-0.04728768	0.5302881	-0.6469076	1.5327379	0.32647043
ENSMUSG00000030098	-0.58866584	-0.35753703	-0.21087615	-0.594553	0.10192938	0.37793416	0.8330577	0.32369572	0.36858827	0.66236585	0.1144246	-0.053757906	0.095895655	-0.6281214	1.3086532	0.35341537
ENSMUSG00000078908	-0.59169084	-0.35767892	-0.21034884	-0.5904485	0.10009855	0.37189895	0.8375763	0.32685024	0.35500127	0.65756994	0.11234096	-0.053473026	0.120354794	-0.62988025	1.3239512	0.35211453
ENSMUSG00000026407	-0.5886841	-0.35740948	-0.2108902	-0.59454584	0.101978466	0.37789303	0.8329755	0.3237542	0.3687263	0.66247797	0.11440942	-0.053753823	0.09600521	-0.62808543	1.3088702	0.3531949
