gene_id	pc1	pc2	pc3	inspection_cluster
ENSMUSG00000029422	-0.10401398	-0.026999887	0.015132824	2
ENSMUSG00000049036	-0.33689865	-0.042723525	-0.019129379	2
ENSMUSG00000029577	-0.055824976	-0.059571862	0.006901311	2
ENSMUSG00000040746	-0.14581032	-0.038102835	0.0003032013	2
ENSMUSG00000020590	-0.006328623	-0.015981557	-0.007520343	2
ENSMUSG00000030263	-0.31962547	-0.038724218	-0.017904043	2
ENSMUSG00000038914	0.053809874	-0.031269033	0.025752675	2
ENSMUSG00000026878	0.5201867	-0.06082081	0.014427488	2
ENSMUSG00000030098	-0.33639762	-0.042772934	-0.019097526	2
ENSMUSG00000078908	-0.28059632	-0.039961684	-0.013693263	2
ENSMUSG00000026407	-0.33627385	-0.0421817	-0.01919058	2
ENSMUSG00000020818	-0.29881838	-0.036276184	-0.018328216	2
ENSMUSG00000060038	-0.3147175	-0.036213093	-0.019270262	2
ENSMUSG00000020029	0.9292956	0.05194063	0.038411595	2
ENSMUSG00000024292	1.544391	-0.16008337	0.08170834	2
ENSMUSG00000111356	-0.33593866	-0.04234492	-0.019174581	2
ENSMUSG00000016831	-0.11749095	-0.024629321	-0.00056412345	2
ENSMUSG00000024791	-0.3359585	-0.043021478	-0.019004779	2
ENSMUSG00000028398	-0.22351275	0.015661502	-0.025419578	2
ENSMUSG00000022586	-0.3369489	-0.042746708	-0.019082086	2
ENSMUSG00000056204	-0.12738124	-0.02472122	-0.008564345	2
ENSMUSG00000031986	-0.28576875	-0.048184037	-0.013682762	2
ENSMUSG00000000244	-0.33550927	-0.04255254	-0.019079467	2
ENSMUSG00000027519	-0.15046465	-0.035185818	-0.0037407125	2
ENSMUSG00000061086	-0.3351341	-0.042627938	-0.019175401	2
ENSMUSG00000056290	-0.3263448	-0.039838478	-0.018055411	2
ENSMUSG00000068206	-0.27315766	-0.03340692	-0.010629432	2
ENSMUSG00000021208	-0.30577058	-0.023519801	-0.013628542	2
ENSMUSG00000024998	-0.18730438	-0.028487712	-0.0060848193	2
ENSMUSG00000047248	-0.2474213	-0.05116949	-0.007386665	2
ENSMUSG00000027981	-0.26911768	-0.03409777	-0.017415218	2
ENSMUSG00000039683	-0.33564776	-0.04250745	-0.019017573	2
