gene_id	pc1	pc2	pc3	inspection_cluster
ENSMUSG00000029422	-0.15290506	-0.022779811	0.0016377481	0
ENSMUSG00000049036	-0.3669637	-0.028169012	0.032305554	0
ENSMUSG00000029577	-0.018957583	-0.07080388	-0.041024897	0
ENSMUSG00000040746	-0.1386877	-0.025810217	-0.0059394324	0
ENSMUSG00000020590	-0.0005277217	-0.0014380756	-0.01234402	0
ENSMUSG00000030263	-0.34332705	-0.024925021	0.026980733	0
ENSMUSG00000038914	0.06657122	-0.03359164	-0.035954308	0
ENSMUSG00000026878	0.6214236	-0.13370124	-0.08436739	0
ENSMUSG00000030098	-0.36635292	-0.028395852	0.032112494	0
ENSMUSG00000078908	-0.30898264	-0.028323285	0.025563417	0
ENSMUSG00000026407	-0.36663884	-0.028138747	0.03225718	0
ENSMUSG00000020818	-0.32271203	-0.024025843	0.026387967	0
ENSMUSG00000060038	-0.34051934	-0.023352183	0.02987292	0
ENSMUSG00000020029	0.83873683	-0.052159812	-0.10891557	0
ENSMUSG00000024292	1.2888117	-0.28908622	-0.21301495	0
ENSMUSG00000111356	-0.36616042	-0.028093364	0.03205745	0
ENSMUSG00000016831	-0.13001189	-0.015128784	0.010201442	0
ENSMUSG00000024791	-0.3658864	-0.028155327	0.032374445	0
ENSMUSG00000028398	-0.25952354	0.008253571	0.026307087	0
ENSMUSG00000022586	-0.36693716	-0.028133899	0.032345764	0
ENSMUSG00000056204	-0.096574366	-0.023237053	0.013832329	0
ENSMUSG00000031986	-0.3053667	-0.032282684	0.023241393	0
ENSMUSG00000000244	-0.3640446	-0.027522014	0.031966925	0
ENSMUSG00000027519	-0.15309177	-0.031107144	0.008233168	0
ENSMUSG00000061086	-0.36390412	-0.027493265	0.03180479	0
ENSMUSG00000056290	-0.3508442	-0.023723003	0.029145373	0
ENSMUSG00000068206	-0.30137843	-0.026923813	0.02145868	0
ENSMUSG00000021208	-0.33905366	-0.022597672	0.034183692	0
ENSMUSG00000024998	-0.20248306	-0.016260384	0.031858888	0
ENSMUSG00000047248	-0.2696585	-0.03219632	0.017454803	0
ENSMUSG00000027981	-0.287449	-0.028194834	0.016534587	0
ENSMUSG00000039683	-0.36511865	-0.028651403	0.032246795	0
ENSMUSG00000047117	-0.36694294	-0.028197406	0.032316647	0
ENSMUSG00000030278	-0.35113353	-0.018253352	0.035402115	0
ENSMUSG00000037419	-0.32604635	-0.026830891	0.025893053	0
ENSMUSG00000022208	-0.3669169	-0.028133275	0.03233296	0
ENSMUSG00000064823	-0.36475313	-0.02865505	0.03193569	0
ENSMUSG00000095629	-0.36701316	-0.028186498	0.032323577	0
ENSMUSG00000034829	-0.3669995	-0.028187407	0.032344982	0
ENSMUSG00000029380	-0.33191624	-0.02247364	0.025038945	0
ENSMUSG00000028047	-0.3639875	-0.02759041	0.0318845	0
ENSMUSG00000039196	4.439235	1.6390158	0.29399827	0
ENSMUSG00000032673	-0.22731844	0.041676387	0.013013815	0
ENSMUSG00000022773	-0.3639869	-0.027868615	0.031759035	0
ENSMUSG00000078597	-0.36698812	-0.028192261	0.032345686	0
ENSMUSG00000021494	-0.23973237	-0.027537134	0.010513858	0
ENSMUSG00000050248	-0.3614079	-0.027774964	0.030961318	0
ENSMUSG00000003752	-0.33139527	-0.027626539	0.027834574	0
ENSMUSG00000037353	-0.26417458	-0.032030363	0.016612587	0
ENSMUSG00000022096	-0.3632488	-0.028777983	0.03171298	0
ENSMUSG00000021661	-0.32012966	-0.024197035	0.025956409	0
ENSMUSG00000039620	-0.35818928	-0.029682841	0.02971616	0
ENSMUSG00000033765	-0.36701316	-0.028186498	0.032323577	0
ENSMUSG00000032584	-0.36314797	-0.029070616	0.030737167	0
ENSMUSG00000072884	-0.36102265	-0.0278548	0.031708103	0
ENSMUSG00000066896	-0.36698878	-0.028200535	0.032337107	0
ENSMUSG00000032783	-0.36640394	-0.028178046	0.032341003	0
ENSMUSG00000029093	-0.365505	-0.028187154	0.03231705	0
ENSMUSG00000030254	-0.35337317	-0.027946083	0.030797625	0
ENSMUSG00000021090	-0.36662754	-0.028027864	0.032258336	0
ENSMUSG00000055013	-0.2638624	-0.028114697	0.014783217	0
ENSMUSG00000038204	-0.3666877	-0.02805791	0.032099918	0
ENSMUSG00000020629	-0.07947579	-0.05597962	-0.0072163264	0
ENSMUSG00000030881	-0.3139465	-0.018370248	0.026246278	0
ENSMUSG00000030662	0.037068345	-0.03363677	-0.016724441	0
ENSMUSG00000020570	-0.015584448	-0.032425627	0.0069314814	0
ENSMUSG00000024401	-0.36567366	-0.02786157	0.032259252	0
ENSMUSG00000029015	-0.36688688	-0.028130446	0.032272365	0
ENSMUSG00000063779	-0.36697835	-0.028152758	0.032340236	0
ENSMUSG00000074183	-0.36219063	-0.02674721	0.032885958	0
ENSMUSG00000069939	-0.3669654	-0.028176917	0.03232885	0
ENSMUSG00000025873	-0.038775466	-0.028270202	0.005588773	0
ENSMUSG00000034456	2.446432	-0.20232256	-0.2549325	0
ENSMUSG00000070817	-0.3669609	-0.02813589	0.032348566	0
ENSMUSG00000024294	0.58406425	-0.07367499	-0.06935437	0
ENSMUSG00000035376	-0.14295137	-0.010174811	0.020605985	0
ENSMUSG00000044252	0.49371362	0.058162563	0.0063993894	0
ENSMUSG00000055917	-0.2565892	-0.018242111	0.01167747	0
ENSMUSG00000068882	-0.04360596	-0.014311668	0.004857504	0
ENSMUSG00000022685	-0.28305525	-0.03277221	0.017378476	0
ENSMUSG00000036292	-0.16942875	-0.040941395	-0.007982136	0
ENSMUSG00000041202	-0.36631718	-0.027324915	0.032059163	0
ENSMUSG00000024528	-0.33203638	-0.023756437	0.028719563	0
ENSMUSG00000029861	-0.36688122	-0.028157566	0.032413173	0
ENSMUSG00000077221	-0.36640367	-0.027962154	0.032240365	0
ENSMUSG00000070469	-0.36621943	-0.028009739	0.03223541	0
ENSMUSG00000115791	-0.36694816	-0.028125608	0.03234511	0
ENSMUSG00000097665	-0.3669749	-0.028173437	0.032313485	0
ENSMUSG00000046667	-0.30261254	-0.02394177	0.031524967	0
ENSMUSG00000037169	-0.36371693	-0.02832483	0.031796284	0
ENSMUSG00000049565	-0.366906	-0.028156573	0.03234893	0
ENSMUSG00000033862	-0.26226857	-0.02774647	0.0152480705	0
ENSMUSG00000021278	-0.366829	-0.0282189	0.032298446	0
ENSMUSG00000027971	-0.3669792	-0.02817787	0.032334574	0
ENSMUSG00000024758	-0.020523999	-0.053489864	0.0031458407	0
ENSMUSG00000044921	-0.36254603	-0.027430473	0.031849917	0
ENSMUSG00000054387	-0.11067794	-0.024285693	-0.003239242	0
ENSMUSG00000062822	-0.22536455	-0.024925856	0.012238694	0
ENSMUSG00000028013	-0.053174093	-0.017407328	-0.009457149	0
ENSMUSG00000042846	-0.3664566	-0.028044835	0.032243516	0
ENSMUSG00000025403	0.29418033	-0.10939774	-0.10169985	0
ENSMUSG00000031831	-0.36688182	-0.028200505	0.032256104	0
ENSMUSG00000030739	-0.23430221	-0.07041319	-0.017891644	0
ENSMUSG00000037235	0.12867838	0.022292404	-0.0321287	0
ENSMUSG00000021559	0.23047727	-0.13104825	-0.083680324	0
ENSMUSG00000049252	-0.3669247	-0.028128037	0.032374114	0
ENSMUSG00000035805	-0.36701316	-0.028186498	0.032323577	0
ENSMUSG00000035262	-0.36671427	-0.028112564	0.0322342	0
ENSMUSG00000046791	-0.3410436	-0.024395535	0.030188048	0
