gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000029422	9	0	1	4
ENSMUSG00000049036	1	4	4	0
ENSMUSG00000029577	4	0	1	5
ENSMUSG00000040746	9	0	7	4
ENSMUSG00000020590	4	0	1	5
ENSMUSG00000030263	17	3	11	8
ENSMUSG00000038914	4	0	0	5
ENSMUSG00000026878	8	0	0	7
ENSMUSG00000030098	1	4	20	0
ENSMUSG00000078908	17	1	2	6
ENSMUSG00000026407	1	4	3	0
ENSMUSG00000020818	17	2	2	1
ENSMUSG00000060038	17	2	11	1
ENSMUSG00000020029	11	0	8	10
ENSMUSG00000024292	16	0	8	10
ENSMUSG00000111356	1	4	3	0
ENSMUSG00000016831	9	0	1	4
ENSMUSG00000024791	1	4	3	0
ENSMUSG00000028398	9	1	7	2
ENSMUSG00000022586	1	9	4	9
ENSMUSG00000056204	9	0	1	4
ENSMUSG00000031986	17	1	2	6
ENSMUSG00000000244	1	4	3	0
ENSMUSG00000027519	9	0	7	4
ENSMUSG00000061086	1	4	3	0
ENSMUSG00000056290	1	3	11	3
ENSMUSG00000068206	17	1	24	6
ENSMUSG00000021208	17	2	2	1
ENSMUSG00000024998	9	0	7	4
ENSMUSG00000047248	9	1	24	2
ENSMUSG00000027981	17	1	24	6
ENSMUSG00000039683	1	4	3	0
ENSMUSG00000047117	1	5	4	9
ENSMUSG00000030278	17	3	11	8
ENSMUSG00000037419	17	2	2	1
ENSMUSG00000022208	1	4	20	0
ENSMUSG00000064823	1	4	3	0
ENSMUSG00000095629	1	0	19	11
ENSMUSG00000034829	1	5	4	9
ENSMUSG00000029380	17	2	2	1
ENSMUSG00000028047	1	4	3	0
ENSMUSG00000039196	6	0	8	10
ENSMUSG00000032673	9	1	7	2
ENSMUSG00000022773	1	4	3	0
ENSMUSG00000078597	1	0	19	11
ENSMUSG00000021494	9	1	7	2
ENSMUSG00000050248	1	3	6	3
ENSMUSG00000003752	17	2	2	1
ENSMUSG00000037353	17	1	24	6
ENSMUSG00000022096	1	3	6	3
ENSMUSG00000021661	17	2	2	1
ENSMUSG00000039620	1	3	6	3
ENSMUSG00000033765	1	0	19	11
ENSMUSG00000032584	1	4	3	0
ENSMUSG00000072884	1	3	6	3
ENSMUSG00000066896	1	9	4	9
ENSMUSG00000032783	1	4	20	0
ENSMUSG00000029093	1	4	3	0
ENSMUSG00000030254	1	3	11	3
ENSMUSG00000021090	1	4	20	0
ENSMUSG00000055013	17	1	24	6
ENSMUSG00000038204	1	4	20	0
ENSMUSG00000020629	4	0	1	5
ENSMUSG00000030881	17	2	2	1
ENSMUSG00000030662	4	0	1	5
ENSMUSG00000020570	4	0	1	5
ENSMUSG00000024401	1	4	3	0
ENSMUSG00000029015	1	4	20	0
ENSMUSG00000063779	1	0	19	11
ENSMUSG00000074183	1	3	6	3
ENSMUSG00000069939	1	10	16	12
ENSMUSG00000025873	4	0	1	5
ENSMUSG00000034456	16	0	8	10
ENSMUSG00000070817	1	0	19	11
ENSMUSG00000024294	8	0	0	7
ENSMUSG00000035376	9	0	1	4
ENSMUSG00000044252	8	0	0	7
ENSMUSG00000055917	9	1	24	2
ENSMUSG00000068882	4	0	1	5
ENSMUSG00000022685	17	1	24	6
ENSMUSG00000036292	9	0	7	4
ENSMUSG00000041202	1	4	20	0
ENSMUSG00000024528	17	2	2	1
ENSMUSG00000029861	1	9	4	9
ENSMUSG00000077221	1	4	3	0
ENSMUSG00000070469	1	4	3	0
ENSMUSG00000115791	1	0	19	11
ENSMUSG00000097665	1	0	4	11
ENSMUSG00000046667	17	1	24	6
ENSMUSG00000037169	1	3	6	3
ENSMUSG00000049565	1	9	4	9
ENSMUSG00000033862	9	1	24	2
ENSMUSG00000021278	1	4	20	0
ENSMUSG00000027971	1	5	4	9
ENSMUSG00000024758	4	0	1	5
ENSMUSG00000044921	1	3	6	3
ENSMUSG00000054387	9	0	1	4
ENSMUSG00000062822	9	1	24	2
ENSMUSG00000028013	4	0	1	5
ENSMUSG00000042846	1	4	20	0
ENSMUSG00000025403	18	0	0	7
ENSMUSG00000031831	1	4	20	0
ENSMUSG00000030739	9	1	7	2
ENSMUSG00000037235	4	0	0	5
ENSMUSG00000021559	8	0	0	7
ENSMUSG00000049252	1	10	16	12
ENSMUSG00000035805	1	0	19	11
ENSMUSG00000035262	1	4	20	0
ENSMUSG00000046791	17	2	11	1
ENSMUSG00000022451	4	0	0	5
ENSMUSG00000041852	18	0	0	7
ENSMUSG00000024776	17	3	11	8
ENSMUSG00000056035	13	0	8	10
ENSMUSG00000020000	1	5	4	9
ENSMUSG00000037946	1	3	6	3
ENSMUSG00000073982	17	1	2	6
ENSMUSG00000024393	18	0	0	7
ENSMUSG00000025433	1	4	20	0
ENSMUSG00000070972	9	0	7	4
ENSMUSG00000036139	1	0	19	11
ENSMUSG00000003573	1	3	6	3
ENSMUSG00000019920	9	0	7	4
ENSMUSG00000027495	18	0	0	7
ENSMUSG00000087424	1	3	6	3
ENSMUSG00000034543	9	1	24	2
ENSMUSG00000071753	1	4	20	0
ENSMUSG00000020919	4	0	1	5
ENSMUSG00000036214	17	1	24	6
ENSMUSG00000097368	1	4	3	0
