gene_id	x	y	consensus
ENSMUSG00000029422	0.019786179	0.041968584	4
ENSMUSG00000049036	-0.11592704	-0.041709065	0
ENSMUSG00000029577	0.05177504	0.054449797	5
ENSMUSG00000040746	-0.008342922	0.02499175	4
ENSMUSG00000020590	0.081355214	0.083188295	5
ENSMUSG00000030263	-0.10734135	-0.03539431	8
ENSMUSG00000038914	0.12047359	0.09353256	5
ENSMUSG00000026878	0.4123063	0.2179048	7
ENSMUSG00000030098	-0.11566931	-0.041562557	0
ENSMUSG00000078908	-0.08741009	-0.023284078	6
ENSMUSG00000026407	-0.1156106	-0.04138279	0
ENSMUSG00000020818	-0.09669304	-0.02761364	1
ENSMUSG00000060038	-0.10479325	-0.033066273	1
ENSMUSG00000020029	0.63554984	0.29552937	10
ENSMUSG00000024292	0.964494	0.258435	10
ENSMUSG00000111356	-0.115484655	-0.041314244	0
ENSMUSG00000016831	0.0105653405	0.039153337	4
ENSMUSG00000024791	-0.115463555	-0.041465282	0
ENSMUSG00000028398	-0.05604732	0.009981632	2
ENSMUSG00000022586	-0.11594677	-0.041732788	9
ENSMUSG00000056204	0.008317053	0.039710045	4
ENSMUSG00000031986	-0.08942121	-0.025956511	6
ENSMUSG00000000244	-0.11524451	-0.04121995	0
ENSMUSG00000027519	-0.011909425	0.023876667	4
ENSMUSG00000061086	-0.115083754	-0.041146517	0
ENSMUSG00000056290	-0.11050236	-0.037634254	3
ENSMUSG00000068206	-0.0826509	-0.01913631	6
ENSMUSG00000021208	-0.099428535	-0.02781415	1
ENSMUSG00000024998	-0.03529674	0.0099339485	4
ENSMUSG00000047248	-0.06950897	-0.015219212	2
ENSMUSG00000027981	-0.08119112	-0.017474174	6
ENSMUSG00000039683	-0.11528641	-0.041245937	0
ENSMUSG00000047117	-0.11592597	-0.041713715	9
ENSMUSG00000030278	-0.11176121	-0.037183523	8
ENSMUSG00000037419	-0.10081005	-0.031319022	1
ENSMUSG00000022208	-0.115938306	-0.041710615	0
ENSMUSG00000064823	-0.115321994	-0.041356444	0
ENSMUSG00000095629	-0.11595911	-0.04173827	11
ENSMUSG00000034829	-0.115944564	-0.04172182	9
ENSMUSG00000029380	-0.09787232	-0.025684714	1
ENSMUSG00000028047	-0.114892244	-0.040869713	0
ENSMUSG00000039196	1.9960134	-0.04833436	10
ENSMUSG00000032673	-0.04452789	0.02438283	2
ENSMUSG00000022773	-0.11470544	-0.040846944	0
ENSMUSG00000078597	-0.11595911	-0.04173827	11
ENSMUSG00000021494	-0.052616954	0.0006427765	2
ENSMUSG00000050248	-0.11358833	-0.03986001	3
ENSMUSG00000003752	-0.09984869	-0.030865908	1
ENSMUSG00000037353	-0.07183021	-0.010905266	6
ENSMUSG00000022096	-0.11423057	-0.040733576	3
ENSMUSG00000021661	-0.09522343	-0.02651012	1
ENSMUSG00000039620	-0.11212182	-0.03940916	3
ENSMUSG00000033765	-0.11595911	-0.04173827	11
ENSMUSG00000032584	-0.11468059	-0.04078746	0
ENSMUSG00000072884	-0.11298078	-0.039545774	3
ENSMUSG00000066896	-0.115940034	-0.04172969	9
ENSMUSG00000032783	-0.11574578	-0.041643143	0
ENSMUSG00000029093	-0.115180135	-0.041003227	0
ENSMUSG00000030254	-0.11021751	-0.03783703	3
ENSMUSG00000021090	-0.1158787	-0.041668057	0
ENSMUSG00000055013	-0.069027305	-0.010744333	6
ENSMUSG00000038204	-0.11585307	-0.041678786	0
