gene_id	x	y	consensus
ENSMUSG00000029422	55.66009	72.229095	4
ENSMUSG00000049036	-63.825745	-42.861683	0
ENSMUSG00000029577	74.0274	64.26786	5
ENSMUSG00000040746	1.3405813	99.13899	4
ENSMUSG00000020590	75.49453	40.9847	5
ENSMUSG00000030263	-71.70714	57.720005	8
ENSMUSG00000038914	89.088455	29.788559	5
ENSMUSG00000026878	86.21365	-16.812868	7
ENSMUSG00000030098	2.4689393	-94.09626	0
ENSMUSG00000078908	-5.7899165	-12.667699	6
ENSMUSG00000026407	5.898866	-63.46853	0
ENSMUSG00000020818	-25.805578	19.99606	1
ENSMUSG00000060038	-46.62116	60.70828	1
ENSMUSG00000020029	76.313965	-29.10475	10
ENSMUSG00000024292	74.61016	-43.05128	10
ENSMUSG00000111356	13.107593	-63.74792	0
ENSMUSG00000016831	47.619316	72.21145	4
ENSMUSG00000024791	17.077639	-93.016884	0
ENSMUSG00000028398	-4.4877872	42.20558	2
ENSMUSG00000022586	-61.763134	-92.90632	9
ENSMUSG00000056204	48.750454	70.141136	4
ENSMUSG00000031986	-16.288658	-15.6550455	6
ENSMUSG00000000244	22.82859	-46.203224	0
ENSMUSG00000027519	0.6719275	96.876114	4
ENSMUSG00000061086	21.364862	-38.74418	0
ENSMUSG00000056290	-84.290085	21.075773	3
ENSMUSG00000068206	10.792208	-7.4097958	6
ENSMUSG00000021208	-16.430313	28.874237	1
ENSMUSG00000024998	7.7075977	72.92334	4
ENSMUSG00000047248	42.51628	-1.5268838	2
ENSMUSG00000027981	14.485953	-1.7297012	6
ENSMUSG00000039683	25.800508	-61.531418	0
ENSMUSG00000047117	-70.29837	-51.502277	9
ENSMUSG00000030278	-67.1163	17.883955	8
ENSMUSG00000037419	-40.57392	34.514595	1
ENSMUSG00000022208	-66.2254	-33.38968	0
ENSMUSG00000064823	31.24071	-68.73715	0
ENSMUSG00000095629	44.4684	-50.380306	11
ENSMUSG00000034829	-85.4025	-39.177067	9
ENSMUSG00000029380	-10.467534	22.461752	1
ENSMUSG00000028047	3.785639	-40.336643	0
