gene_id	x	y	consensus
ENSMUSG00000029422	-0.0001308918	0.044988513	2
ENSMUSG00000049036	0.12697566	-0.049976468	0
ENSMUSG00000029577	-0.102697134	0.10463095	4
ENSMUSG00000040746	-0.015135884	0.05433321	2
ENSMUSG00000020590	-0.09396231	0.102871895	4
ENSMUSG00000030263	0.11411095	-0.039356112	6
ENSMUSG00000038914	-0.1512413	0.13139915	4
ENSMUSG00000026878	-0.47641754	0.2358098	9
ENSMUSG00000030098	0.12661803	-0.049687266	0
ENSMUSG00000078908	0.09468436	-0.023981333	3
ENSMUSG00000026407	0.12681329	-0.04983914	0
ENSMUSG00000020818	0.10347223	-0.030736446	5
ENSMUSG00000060038	0.113297105	-0.03866458	6
ENSMUSG00000020029	-0.5756594	0.2538905	9
ENSMUSG00000024292	-0.80979097	0.23902988	9
ENSMUSG00000111356	0.12653124	-0.049607158	1
ENSMUSG00000016831	-0.014931798	0.05486703	2
ENSMUSG00000024791	0.12644267	-0.049533725	1
ENSMUSG00000028398	0.07336497	-0.0068035126	8
ENSMUSG00000022586	0.12696123	-0.04996395	0
ENSMUSG00000056204	-0.03979242	0.06992388	7
ENSMUSG00000031986	0.092216134	-0.022114515	3
ENSMUSG00000000244	0.1256094	-0.048823476	1
ENSMUSG00000027519	-0.003389597	0.046724796	2
ENSMUSG00000061086	0.1254406	-0.048695207	1
ENSMUSG00000056290	0.11910868	-0.043369412	10
ENSMUSG00000068206	0.09005678	-0.020354033	3
ENSMUSG00000021208	0.11260736	-0.038213253	6
ENSMUSG00000024998	0.034528375	0.021055222	2
ENSMUSG00000047248	0.071006656	-0.005869508	8
ENSMUSG00000027981	0.08272958	-0.014557719	3
ENSMUSG00000039683	0.12603056	-0.04920888	1
ENSMUSG00000047117	0.12695849	-0.049963117	0
ENSMUSG00000030278	0.11992705	-0.044002533	10
ENSMUSG00000037419	0.104194045	-0.03143418	5
ENSMUSG00000022208	0.12695658	-0.049959183	0
ENSMUSG00000064823	0.12587905	-0.049066067	1
ENSMUSG00000095629	0.12699294	-0.049991846	0
ENSMUSG00000034829	0.12698805	-0.049987555	0
ENSMUSG00000029380	0.1078403	-0.03430307	5
ENSMUSG00000028047	0.12551749	-0.048758745	1
ENSMUSG00000039196	-1.6880318	0.014377236	11
ENSMUSG00000032673	0.057955146	0.004717231	2
ENSMUSG00000022773	0.12539935	-0.048660994	1
ENSMUSG00000078597	0.12698853	-0.04998851	0
ENSMUSG00000021494	0.052585244	0.007851958	2
ENSMUSG00000050248	0.12389612	-0.047423244	1
ENSMUSG00000003752	0.10761249	-0.034198046	5
ENSMUSG00000037353	0.067255616	-0.0030425787	8
ENSMUSG00000022096	0.12490654	-0.048288703	1
ENSMUSG00000021661	0.10212076	-0.02970481	5
ENSMUSG00000039620	0.12181461	-0.045770884	1
ENSMUSG00000033765	0.12699294	-0.049991846	0
ENSMUSG00000032584	0.12459934	-0.048036575	1
ENSMUSG00000072884	0.12391257	-0.04744208	1
ENSMUSG00000066896	0.12698114	-0.04998243	0
ENSMUSG00000032783	0.12667906	-0.04973364	0
ENSMUSG00000029093	0.1261301	-0.04928136	1
ENSMUSG00000030254	0.11997104	-0.044186473	10
ENSMUSG00000021090	0.1268183	-0.049842	0
ENSMUSG00000055013	0.06731963	-0.002974391	8
ENSMUSG00000038204	0.1267891	-0.04981947	0
ENSMUSG00000020629	-0.055413604	0.078526735	7
ENSMUSG00000030881	0.099496365	-0.02752781	5
ENSMUSG00000030662	-0.12999165	0.12089205	4
ENSMUSG00000020570	-0.085110426	0.09743571	4
ENSMUSG00000024401	0.12637246	-0.049466968	1
ENSMUSG00000029015	0.12693405	-0.04994154	0
ENSMUSG00000063779	0.1269902	-0.04998803	0
ENSMUSG00000074183	0.12470937	-0.04809439	1
ENSMUSG00000069939	0.1269716	-0.04997325	0
ENSMUSG00000025873	-0.07583976	0.091261625	7
