gene_id	x	y	consensus
ENSMUSG00000029422	-23.991598	90.7859	2
ENSMUSG00000049036	41.702393	-98.62119	0
ENSMUSG00000029577	-84.1714	47.189007	4
ENSMUSG00000040746	-41.052933	92.48146	2
ENSMUSG00000020590	-69.54643	40.796627	4
ENSMUSG00000030263	50.955727	56.439503	6
ENSMUSG00000038914	-87.97398	22.17393	4
ENSMUSG00000026878	-84.3474	-37.53507	9
ENSMUSG00000030098	-15.509499	-58.696583	0
ENSMUSG00000078908	-9.883299	-15.548113	3
ENSMUSG00000026407	31.825212	-51.62784	0
ENSMUSG00000020818	20.479235	16.380974	5
ENSMUSG00000060038	44.95795	51.42663	6
ENSMUSG00000020029	-77.0973	-42.968803	9
ENSMUSG00000024292	-66.50753	-58.489826	9
ENSMUSG00000111356	-7.3189464	-44.726284	1
ENSMUSG00000016831	-37.155437	87.218575	2
ENSMUSG00000024791	-4.7873693	-37.27637	1
ENSMUSG00000028398	-25.7795	15.805459	8
ENSMUSG00000022586	42.411285	-86.99012	0
ENSMUSG00000056204	-56.182095	77.00121	7
ENSMUSG00000031986	-22.321432	-24.573267	3
ENSMUSG00000000244	61.284454	-12.226415	1
ENSMUSG00000027519	-25.522312	96.08614	2
ENSMUSG00000061086	61.906586	-18.20502	1
ENSMUSG00000056290	53.93457	24.31825	10
ENSMUSG00000068206	-26.245337	-20.250778	3
ENSMUSG00000021208	41.781654	56.862488	6
ENSMUSG00000024998	2.4532409	68.58481	2
ENSMUSG00000047248	-52.409523	20.31466	8
ENSMUSG00000027981	-42.248768	-6.4354835	3
ENSMUSG00000039683	28.11479	-10.080253	1
ENSMUSG00000047117	25.787748	-88.204185	0
ENSMUSG00000030278	57.403065	23.388529	10
ENSMUSG00000037419	16.160744	21.708132	5
ENSMUSG00000022208	49.93803	-77.84017	0
ENSMUSG00000064823	32.356285	-16.70151	1
ENSMUSG00000095629	-27.585743	-76.886024	0
ENSMUSG00000034829	-17.878704	-100.414635	0
ENSMUSG00000029380	23.474962	40.389183	5
ENSMUSG00000028047	58.998615	-15.475844	1
ENSMUSG00000039196	-43.10171	-47.73597	11
ENSMUSG00000032673	-23.730871	57.17921	2
ENSMUSG00000022773	62.760674	-18.877222	1
ENSMUSG00000078597	-14.334918	-94.640976	0
ENSMUSG00000021494	-8.949688	40.471516	2
ENSMUSG00000050248	96.63348	2.4712327	1
ENSMUSG00000003752	18.392849	38.635616	5
ENSMUSG00000037353	-45.864246	31.360228	8
ENSMUSG00000022096	91.68867	-22.929121	1
ENSMUSG00000021661	9.58632	8.933434	5
ENSMUSG00000039620	97.63878	27.30743	1
ENSMUSG00000033765	-25.794556	-77.358986	0
ENSMUSG00000032584	93.72049	-20.423223	1
ENSMUSG00000072884	97.15612	2.562555	1
ENSMUSG00000066896	0.6683379	-93.25503	0
ENSMUSG00000032783	-9.761172	-62.42795	0
ENSMUSG00000029093	18.494009	-17.000921	1
ENSMUSG00000030254	47.646088	10.221279	10
ENSMUSG00000021090	21.375502	-56.14885	0
ENSMUSG00000055013	-44.760242	30.18327	8
ENSMUSG00000038204	29.349998	-51.00406	0
ENSMUSG00000020629	-74.641205	68.15104	7
ENSMUSG00000030881	-3.8111038	4.565369	5
ENSMUSG00000030662	-86.35827	31.766624	4
ENSMUSG00000020570	-71.25589	50.726624	4
ENSMUSG00000024401	5.799049	-34.70541	1
ENSMUSG00000029015	39.75538	-75.42055	0
ENSMUSG00000063779	57.294712	-103.25801	0
ENSMUSG00000074183	84.226166	-13.272003	1
ENSMUSG00000069939	19.700512	-98.27968	0
ENSMUSG00000025873	-73.71372	57.156357	7
ENSMUSG00000034456	-51.612537	-59.69873	11
ENSMUSG00000070817	64.72806	-87.29348	0
ENSMUSG00000024294	-83.482376	-32.3848	9
ENSMUSG00000035376	-25.5531	88.9772	2
ENSMUSG00000044252	-78.4544	-24.82578	9
ENSMUSG00000055917	-32.49489	26.716799	8
ENSMUSG00000068882	-66.552925	58.56797	7
ENSMUSG00000022685	-52.172485	-1.1396002	3
ENSMUSG00000036292	-18.484623	97.939964	2
ENSMUSG00000041202	13.869623	-43.50875	0
ENSMUSG00000024528	24.566893	42.44721	6
ENSMUSG00000029861	32.809986	-84.505165	0
ENSMUSG00000077221	10.133056	-53.705616	0
ENSMUSG00000070469	0.8490156	-50.506332	0
ENSMUSG00000115791	58.68113	-82.84776	0
ENSMUSG00000097665	18.76993	-99.20711	0
ENSMUSG00000046667	-13.426512	-8.349169	3
ENSMUSG00000037169	71.852425	-24.847437	1
ENSMUSG00000049565	44.01509	-82.13475	0
ENSMUSG00000033862	-44.655937	32.15432	8
ENSMUSG00000021278	56.297157	-43.932125	0
ENSMUSG00000027971	16.81998	-106.30857	0
ENSMUSG00000024758	-78.16072	51.38283	4
ENSMUSG00000044921	77.20171	-11.584727	1
ENSMUSG00000054387	-45.131668	79.24067	7
ENSMUSG00000062822	-2.469132	51.96032	2
ENSMUSG00000028013	-65.41506	58.84165	7
ENSMUSG00000042846	6.373496	-61.67416	0
ENSMUSG00000025403	-100.59226	-9.0217495	9
ENSMUSG00000031831	66.10355	-45.757122	0
ENSMUSG00000030739	22.23785	78.205956	2
ENSMUSG00000037235	-85.479095	11.747416	4
ENSMUSG00000021559	-100.29572	-6.700812	4
ENSMUSG00000049252	58.292683	-77.89714	0
ENSMUSG00000035805	-25.794556	-77.358986	0
ENSMUSG00000035262	36.81634	-49.527134	0
ENSMUSG00000046791	44.608345	55.882977	6
ENSMUSG00000022451	-72.688774	39.28011	4
ENSMUSG00000041852	-91.500565	4.4172497	4
ENSMUSG00000024776	58.95744	0.34729803	1
ENSMUSG00000056035	-66.13164	-44.69406	9
ENSMUSG00000020000	44.920036	-96.705826	0
ENSMUSG00000037946	49.43148	14.760061	10
ENSMUSG00000073982	-10.238005	-18.878225	3
ENSMUSG00000024393	-101.319725	14.095714	4
ENSMUSG00000025433	37.631866	-49.107494	0
ENSMUSG00000070972	5.7252374	77.926186	2
ENSMUSG00000036139	-8.103586	-100.51293	0
ENSMUSG00000003573	89.90068	23.30482	1
ENSMUSG00000019920	-21.472506	82.94966	2
ENSMUSG00000027495	-91.96574	5.1467967	4
ENSMUSG00000087424	87.673096	-3.1853354	1
ENSMUSG00000034543	-25.690582	36.88429	2
ENSMUSG00000071753	8.821081	-66.726776	0
ENSMUSG00000020919	-84.18546	49.3064	4
ENSMUSG00000036214	-29.600367	-5.2870193	3
ENSMUSG00000097368	-7.678544	-32.116455	1
ENSMUSG00000039230	9.521743	81.42162	2
ENSMUSG00000035713	90.42913	-7.6378484	1
ENSMUSG00000059995	-42.51191	34.078476	8
ENSMUSG00000033831	-34.68528	-45.600655	11
ENSMUSG00000029730	-28.230566	-17.907007	3
ENSMUSG00000019841	-71.63992	66.43481	7
ENSMUSG00000040543	-13.755342	-47.870724	1
ENSMUSG00000091537	-45.372566	54.6418	7
ENSMUSG00000027550	4.830734	20.25089	5
ENSMUSG00000028607	-87.28763	-16.10408	9
ENSMUSG00000039210	-45.157192	29.923489	8
ENSMUSG00000032231	-25.971872	26.507547	2
ENSMUSG00000028165	-30.07194	76.00299	2
ENSMUSG00000075273	-6.71312	-2.9386508	5
ENSMUSG00000002496	-78.17748	63.649406	7
ENSMUSG00000055692	34.432068	-15.607498	1
ENSMUSG00000030983	-78.31554	9.550694	4
ENSMUSG00000078640	39.981213	-92.09711	0
ENSMUSG00000046675	41.101227	43.778057	6
ENSMUSG00000051811	-1.4249275	-38.05186	1
ENSMUSG00000028651	-21.676237	-15.891903	3
ENSMUSG00000024425	-73.74813	-32.10426	9
ENSMUSG00000046613	40.506798	-94.057495	0
ENSMUSG00000070501	39.518074	-21.479061	1
ENSMUSG00000091996	5.0218015	-43.694855	1
ENSMUSG00000042216	39.421192	4.2735267	10
ENSMUSG00000079407	56.19746	-75.224014	0
