sample	condition	stratum	feature	muscle_score	muscle_score_z
RR8_LVR_FLT_ISS-T_OLD_FI11	flight	ISS-T_OLD	ISS-T_OLD_rep01	1.88447615488789	0.0177679996471765
RR8_LVR_FLT_ISS-T_OLD_FI12	flight	ISS-T_OLD	ISS-T_OLD_rep02	5.61015943135753	3.12990663497835
RR8_LVR_FLT_ISS-T_OLD_FI13	flight	ISS-T_OLD	ISS-T_OLD_rep03	3.37425195562596	1.2622078737343
RR8_LVR_FLT_ISS-T_OLD_FI14	flight	ISS-T_OLD	ISS-T_OLD_rep04	1.0307068586865	-0.69540277070494
RR8_LVR_FLT_ISS-T_OLD_FI15	flight	ISS-T_OLD	ISS-T_OLD_rep05	1.27196888816314	-0.493871715203056
RR8_LVR_FLT_ISS-T_OLD_FI18	flight	ISS-T_OLD	ISS-T_OLD_rep08	0.82945917697874	-0.863509031768291
RR8_LVR_FLT_ISS-T_OLD_FI19	flight	ISS-T_OLD	ISS-T_OLD_rep09	2.99117312205416	0.94221437190714
RR8_LVR_FLT_ISS-T_OLD_FI20	flight	ISS-T_OLD	ISS-T_OLD_rep10	1.1991294293097	-0.554715989193301
RR8_LVR_FLT_ISS-T_YNG_FI1	flight	ISS-T_YNG	ISS-T_YNG_rep01	1.239091571512	-0.492927487301689
RR8_LVR_FLT_ISS-T_YNG_FI2	flight	ISS-T_YNG	ISS-T_YNG_rep02	0.892055640955907	-0.960594096907926
RR8_LVR_FLT_ISS-T_YNG_FI3	flight	ISS-T_YNG	ISS-T_YNG_rep03	1.7824792750731	0.239343331512177
RR8_LVR_FLT_ISS-T_YNG_FI4	flight	ISS-T_YNG	ISS-T_YNG_rep04	0.760669189149187	-1.13765085401714
RR8_LVR_FLT_ISS-T_YNG_FI5	flight	ISS-T_YNG	ISS-T_YNG_rep05	2.81421600594533	1.62971469208012
RR8_LVR_FLT_ISS-T_YNG_FI6	flight	ISS-T_YNG	ISS-T_YNG_rep06	2.36994332317483	1.0310115579147
RR8_LVR_FLT_ISS-T_YNG_FI7	flight	ISS-T_YNG	ISS-T_YNG_rep07	1.28470905209179	-0.431453240392023
RR8_LVR_FLT_ISS-T_YNG_FI8	flight	ISS-T_YNG	ISS-T_YNG_rep08	1.61552939914635	0.0143612026480604
RR8_LVR_FLT_LAR_OLD_FL3	flight	LAR_OLD	LAR_OLD_rep01	1.0542026845053	-0.918835219992828
RR8_LVR_FLT_LAR_OLD_FL4	flight	LAR_OLD	LAR_OLD_rep02	3.15539558906081	1.87570940352221
RR8_LVR_FLT_LAR_OLD_FL7	flight	LAR_OLD	LAR_OLD_rep03	1.06959967020503	-0.898357536334066
RR8_LVR_FLT_LAR_OLD_FL16	flight	LAR_OLD	LAR_OLD_rep07	1.7450287792313	-5.03028084510039e-05
RR8_LVR_FLT_LAR_YNG_FL1	flight	LAR_YNG	LAR_YNG_rep01	1.20674444082534	-0.699897275330928
RR8_LVR_FLT_LAR_YNG_FL5	flight	LAR_YNG	LAR_YNG_rep03	1.86957912746835	-0.266796052142201
