method	term	description	query_size	universe_size	term_size	overlap	enrichment_ratio	p_value	overlap_gene_ids	fdr_bh
DESeq2_DEG	REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION	48	12962	32	4	33.755208333333336	5.515521899965276e-06	ENSMUSG00000026077,ENSMUSG00000030256,ENSMUSG00000055116,ENSMUSG00000059824	0.00020238710043816747
DESeq2_DEG	REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	48	12962	392	9	6.199936224489796	1.1382300533362179e-05	ENSMUSG00000006517,ENSMUSG00000020917,ENSMUSG00000024225,ENSMUSG00000024843,ENSMUSG00000025153,ENSMUSG00000026077,ENSMUSG00000041653,ENSMUSG00000055116,ENSMUSG00000059743	0.00020238710043816747
DESeq2_DEG	REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	48	12962	82	5	16.465955284552845	1.239104696560209e-05	ENSMUSG00000020431,ENSMUSG00000020917,ENSMUSG00000025153,ENSMUSG00000029663,ENSMUSG00000033717	0.00020238710043816747
DESeq2_DEG	REACTOME_CIRCADIAN_CLOCK	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CIRCADIAN_CLOCK	48	12962	48	4	22.50347222222222	2.8575753761898513e-05	ENSMUSG00000026077,ENSMUSG00000030256,ENSMUSG00000055116,ENSMUSG00000059824	0.0003500529835832568
DESeq2_DEG	REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	48	12962	33	3	24.549242424242426	0.00024051144269996512	ENSMUSG00000020431,ENSMUSG00000029663,ENSMUSG00000033717	0.002357012138459658
DESeq2_DEG	REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	48	12962	16	2	33.755208333333336	0.0015589353210862416	ENSMUSG00000020917,ENSMUSG00000025153	0.011345999291012031
DESeq2_DEG	REACTOME_NEURONAL_SYSTEM	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NEURONAL_SYSTEM	48	12962	137	4	7.884428223844282	0.0016208570415731471	ENSMUSG00000020431,ENSMUSG00000027577,ENSMUSG00000029663,ENSMUSG00000051056	0.011345999291012031
DESeq2_DEG	REACTOME_CHOLESTEROL_BIOSYNTHESIS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CHOLESTEROL_BIOSYNTHESIS	48	12962	18	2	30.004629629629626	0.0019782798002234555	ENSMUSG00000006517,ENSMUSG00000059743	0.012009393017597753
DESeq2_DEG	REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	48	12962	19	2	28.425438596491226	0.002205806880783261	ENSMUSG00000029663,ENSMUSG00000033717	0.012009393017597753
DESeq2_DEG	REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL	48	12962	74	3	10.947635135135135	0.002569409620883232	ENSMUSG00000020431,ENSMUSG00000027577,ENSMUSG00000029663	0.012179439789076704
DESeq2_DEG	REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA	48	12962	22	2	24.549242424242426	0.002958762644755414	ENSMUSG00000026077,ENSMUSG00000055116	0.012179439789076704
DESeq2_DEG	REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	48	12962	162	4	6.667695473251028	0.002982719948345315	ENSMUSG00000020917,ENSMUSG00000025153,ENSMUSG00000026077,ENSMUSG00000055116	0.012179439789076704
DESeq2_DEG	REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION	48	12962	23	2	23.481884057971016	0.003232918513138038	ENSMUSG00000026077,ENSMUSG00000055116	0.01218561593413568
DESeq2_DEG	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	48	12962	87	3	9.311781609195402	0.004062504992711485	ENSMUSG00000020431,ENSMUSG00000029663,ENSMUSG00000033717	0.013470762877315337
DESeq2_DEG	REACTOME_GABA_B_RECEPTOR_ACTIVATION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GABA_B_RECEPTOR_ACTIVATION	48	12962	26	2	20.772435897435898	0.004123702921627144	ENSMUSG00000020431,ENSMUSG00000029663	0.013470762877315337
DESeq2_DEG	REACTOME_GABA_RECEPTOR_ACTIVATION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GABA_RECEPTOR_ACTIVATION	48	12962	28	2	19.288690476190474	0.004773646389940945	ENSMUSG00000020431,ENSMUSG00000029663	0.014619292069194146
DESeq2_DEG	REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS	48	12962	29	2	18.623563218390803	0.005115193581816869	ENSMUSG00000020431,ENSMUSG00000029663	0.014743793265236857
DESeq2_DEG	REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	48	12962	31	2	17.422043010752688	0.00583102546824134	ENSMUSG00000020431,ENSMUSG00000029663	0.015873347107990314
