gene_cluster	n_genes	profile	id.accession	investigation.study.comment.project identifier	study.source name	condition_inferred	flight_status_inferred	tissue_inferred	tissue_inference_rule	tissue_inference_confidence	tissue_metadata_source	official_material_type	official_tissue_type	mean_expression
0	1781	Mmus_C57-6T_LVR_BSL_Rep1_B1	OSD-47	RR-1	RR-1_BSL_M1	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		72.96463
0	1781	Mmus_C57-6T_LVR_BSL_Rep2_B2	OSD-47	RR-1	RR-1_BSL_M2	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		81.676025
0	1781	Mmus_C57-6T_LVR_BSL_Rep3_B3	OSD-47	RR-1	RR-1_BSL_M3	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		68.98484
0	1781	Mmus_C57-6T_LVR_FLT_Rep1_F1	OSD-47	RR-1	RR-1_FLT_M1	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		57.494106
0	1781	Mmus_C57-6T_LVR_FLT_Rep2_F2	OSD-47	RR-1	RR-1_FLT_M2	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		44.531723
0	1781	Mmus_C57-6T_LVR_FLT_Rep3_F4	OSD-47	RR-1	RR-1_FLT_M4	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		69.7333
0	1781	Mmus_C57-6T_LVR_GC_Rep1_G2	OSD-47	RR-1	RR-1_GC_M2	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		68.03818
0	1781	Mmus_C57-6T_LVR_GC_Rep2_G3	OSD-47	RR-1	RR-1_GC_M3	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		81.26165
0	1781	Mmus_C57-6T_LVR_GC_Rep3_G5	OSD-47	RR-1	RR-1_GC_M5	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		93.83661
0	1781	Mmus_C57-6J_LVR_FLT_C_Rep1_M25	OSD-48	RR-1	RR1_FLT_M25	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		45.06794
0	1781	Mmus_C57-6J_LVR_FLT_C_Rep2_M26	OSD-48	RR-1	RR1_FLT_M26	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		62.227962
0	1781	Mmus_C57-6J_LVR_FLT_C_Rep3_M27	OSD-48	RR-1	RR1_FLT_M27	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		48.23077
0	1781	Mmus_C57-6J_LVR_FLT_C_Rep4_M28	OSD-48	RR-1	RR1_FLT_M28	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		63.207188
0	1781	Mmus_C57-6J_LVR_FLT_C_Rep5_M30	OSD-48	RR-1	RR1_FLT_M30	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		47.375633
0	1781	Mmus_C57-6J_LVR_FLT_I_Rep1_M21	OSD-48	RR-1	RR1_FLT_M21	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		178.8091
0	1781	Mmus_C57-6J_LVR_FLT_I_Rep2_M22	OSD-48	RR-1	RR1_FLT_M22	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		52.63279
0	1781	Mmus_C57-6J_LVR_GC_C_Rep1_M36	OSD-48	RR-1	RR1_GC_M36	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		53.402584
0	1781	Mmus_C57-6J_LVR_GC_C_Rep2_M37	OSD-48	RR-1	RR1_GC_M37	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		58.82313
0	1781	Mmus_C57-6J_LVR_GC_C_Rep3_M38	OSD-48	RR-1	RR1_GC_M38	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		68.183044
