gene_cluster	n_genes	condition	mean_expression	condition_rank_desc	delta_vs_cluster_condition_mean
0	1781	flight	94.73259	1	3.867264000000006
0	1781	vivarium_control	93.16929	2	2.3039640000000077
0	1781	baseline_control	92.97383	3	2.1085040000000106
0	1781	ground_control	91.42381	4	0.5584840000000071
0	1781	unknown	82.02711	5	-8.838216000000003
1	1679	unknown	1.5463041	1	0.44623919999999995
1	1679	flight	1.2447273	2	0.14466240000000008
1	1679	baseline_control	0.9373717	3	-0.16269319999999998
1	1679	vivarium_control	0.8902593	4	-0.20980560000000004
1	1679	ground_control	0.8816621	5	-0.2184028
2	2356	flight	31.387299	1	1.4677779999999956
2	2356	baseline_control	30.706192	2	0.7866709999999983
2	2356	vivarium_control	30.451344	3	0.5318229999999957
2	2356	ground_control	29.140764	4	-0.7787570000000024
2	2356	unknown	27.912006	5	-2.0075150000000015
3	2013	flight	422.56424	1	18.883111999999983
3	2013	vivarium_control	419.34564	2	15.664512000000002
3	2013	ground_control	419.10843	3	15.427301999999997
3	2013	baseline_control	402.11038	4	-1.5707479999999805
3	2013	unknown	355.27695	5	-48.404178
4	1945	ground_control	15565.031	1	1142.6576999999997
4	1945	vivarium_control	15092.338	2	669.9646999999986
4	1945	baseline_control	14943.3955	3	521.0221999999994
4	1945	flight	14720.706	4	298.332699999999
4	1945	unknown	11790.396	5	-2631.9773000000005
5	1047	vivarium_control	3686.7349	1	101.4666400000001
5	1047	flight	3685.7097	2	100.44144000000006
5	1047	ground_control	3672.3887	3	87.12044000000014
5	1047	baseline_control	3549.2878	4	-35.980459999999766
5	1047	unknown	3332.2202	5	-253.04805999999962
6	2120	ground_control	1110.2751	1	64.67702800000006
6	2120	baseline_control	1096.7081	2	51.11002800000006
6	2120	flight	1087.9624	3	42.36432799999989
6	2120	vivarium_control	1053.4565	4	7.8584280000000035
6	2120	unknown	879.58826	5	-166.009812
7	1516	unknown	9.878013	1	0.5769079999999978
7	1516	flight	9.697075	2	0.3959699999999984
7	1516	baseline_control	9.22727	3	-0.07383500000000076
7	1516	vivarium_control	9.031554	4	-0.26955100000000165
7	1516	ground_control	8.671613	5	-0.6294920000000008
8	566	unknown	0.18598902	1	0.07177483000000001
8	566	flight	0.12491331	2	0.010699120000000006
8	566	ground_control	0.08984871	3	-0.024365479999999995
8	566	baseline_control	0.08969029	4	-0.024523899999999987
8	566	vivarium_control	0.08062962	5	-0.033584569999999994
9	967	ground_control	689.2105	1	27.143892000000164
9	967	flight	687.57184	2	25.505232000000092
9	967	vivarium_control	685.3837	3	23.317092000000116
9	967	baseline_control	669.3973	4	7.330692000000113
9	967	unknown	578.7697	5	-83.29690799999992
10	956	flight	182.41962	1	7.287267999999983
10	956	ground_control	180.65614	2	5.523787999999968
10	956	baseline_control	179.85759	3	4.725237999999962
10	956	vivarium_control	178.99878	4	3.866427999999985
10	956	unknown	153.72963	5	-21.40272200000004
11	559	vivarium_control	1701.928	1	54.9848800000002
11	559	flight	1692.7772	2	45.834080000000085
11	559	ground_control	1683.3486	3	36.405480000000125
11	559	baseline_control	1610.9847	4	-35.95841999999993
11	559	unknown	1545.6771	5	-101.2660199999998
12	1634	unknown	3.8145766	1	0.7276797599999996
12	1634	flight	3.3055286	2	0.21863175999999962
12	1634	baseline_control	2.8574338	3	-0.22946304000000062
12	1634	ground_control	2.7521718	4	-0.33472504000000036
12	1634	vivarium_control	2.7047734	5	-0.3821234400000004
13	611	flight	280.77744	1	10.278388000000007
13	611	ground_control	277.6415	2	7.142448000000002
13	611	vivarium_control	276.56042	3	6.061368000000016
13	611	baseline_control	270.14337	4	-0.3556820000000016
13	611	unknown	247.37253	5	-23.126521999999994
14	1260	unknown	0.6759421	1	0.29771558200000003
14	1260	flight	0.46005046	2	0.08182394200000004
14	1260	baseline_control	0.26984128	3	-0.10838523799999994
14	1260	ground_control	0.25798273	4	-0.12024378799999996
14	1260	vivarium_control	0.22731602	5	-0.15091049799999995
