gene_cluster	gene
0	ENSMUSG00000000093
0	ENSMUSG00000000247
0	ENSMUSG00000000317
0	ENSMUSG00000000320
0	ENSMUSG00000000386
0	ENSMUSG00000000530
0	ENSMUSG00000000560
0	ENSMUSG00000000567
0	ENSMUSG00000000693
0	ENSMUSG00000000732
0	ENSMUSG00000000782
0	ENSMUSG00000000958
0	ENSMUSG00000001029
0	ENSMUSG00000001053
0	ENSMUSG00000001225
0	ENSMUSG00000001227
0	ENSMUSG00000001240
0	ENSMUSG00000001270
0	ENSMUSG00000001288
0	ENSMUSG00000001588
0	ENSMUSG00000001918
0	ENSMUSG00000001986
0	ENSMUSG00000002020
0	ENSMUSG00000002058
0	ENSMUSG00000002059
0	ENSMUSG00000002111
0	ENSMUSG00000002204
0	ENSMUSG00000002274
0	ENSMUSG00000002297
0	ENSMUSG00000002308
0	ENSMUSG00000002343
0	ENSMUSG00000002458
0	ENSMUSG00000002459
0	ENSMUSG00000002486
0	ENSMUSG00000002489
0	ENSMUSG00000002732
0	ENSMUSG00000002870
0	ENSMUSG00000002908
0	ENSMUSG00000003190
0	ENSMUSG00000003208
0	ENSMUSG00000003378
0	ENSMUSG00000003500
0	ENSMUSG00000003549
0	ENSMUSG00000003680
0	ENSMUSG00000003882
0	ENSMUSG00000004187
0	ENSMUSG00000004347
0	ENSMUSG00000004415
0	ENSMUSG00000004609
0	ENSMUSG00000004661
0	ENSMUSG00000004707
0	ENSMUSG00000004814
0	ENSMUSG00000004837
0	ENSMUSG00000004947
0	ENSMUSG00000004952
0	ENSMUSG00000004994
0	ENSMUSG00000005057
0	ENSMUSG00000005124
0	ENSMUSG00000005267
0	ENSMUSG00000005364
0	ENSMUSG00000005410
0	ENSMUSG00000005465
0	ENSMUSG00000005493
0	ENSMUSG00000005540
0	ENSMUSG00000005611
0	ENSMUSG00000005686
0	ENSMUSG00000005718
0	ENSMUSG00000005983
0	ENSMUSG00000006205
0	ENSMUSG00000006219
0	ENSMUSG00000006241
0	ENSMUSG00000006342
0	ENSMUSG00000006344
0	ENSMUSG00000006362
0	ENSMUSG00000006462
0	ENSMUSG00000006463
0	ENSMUSG00000006585
0	ENSMUSG00000006586
0	ENSMUSG00000006649
0	ENSMUSG00000006777
0	ENSMUSG00000006958
0	ENSMUSG00000007035
0	ENSMUSG00000007216
0	ENSMUSG00000007867
