library	gene_cluster	term	description	overlap	cluster_genes_in_universe	term_genes_in_universe	universe_genes	p_value	enrichment_ratio	overlap_genes	fdr_bh
panglao	0	panglao_Microglia	/	21	435	65	4072	1.7167568879730922e-06	3.024297082228117	ENSMUSG00000017652,ENSMUSG00000020695,ENSMUSG00000021250,ENSMUSG00000021624,ENSMUSG00000024300,ENSMUSG00000026786,ENSMUSG00000027848,ENSMUSG00000028859,ENSMUSG00000029919,ENSMUSG00000030124,ENSMUSG00000030745,ENSMUSG00000030786,ENSMUSG00000030789,ENSMUSG00000032089,ENSMUSG00000033192,ENSMUSG00000034116,ENSMUSG00000036353,ENSMUSG00000036362,ENSMUSG00000045730,ENSMUSG00000051212,ENSMUSG00000052336	0.00017339244568528232
panglao	0	panglao_Monocytes	/	28	435	119	4072	3.4270692294625234e-05	2.2025693035835023	ENSMUSG00000000386,ENSMUSG00000002111,ENSMUSG00000004609,ENSMUSG00000015355,ENSMUSG00000015947,ENSMUSG00000017652,ENSMUSG00000020681,ENSMUSG00000021822,ENSMUSG00000024672,ENSMUSG00000024679,ENSMUSG00000025491,ENSMUSG00000026536,ENSMUSG00000026581,ENSMUSG00000026981,ENSMUSG00000027398,ENSMUSG00000028859,ENSMUSG00000029605,ENSMUSG00000030474,ENSMUSG00000030786,ENSMUSG00000030789,ENSMUSG00000030793,ENSMUSG00000034855,ENSMUSG00000042190,ENSMUSG00000051439,ENSMUSG00000052336,ENSMUSG00000054203,ENSMUSG00000066861,ENSMUSG00000079597	0.0014372590174623944
panglao	0	panglao_Macrophages	/	30	435	133	4072	4.2690861904823594e-05	2.11148561057817	ENSMUSG00000000958,ENSMUSG00000004609,ENSMUSG00000004814,ENSMUSG00000015396,ENSMUSG00000015947,ENSMUSG00000020437,ENSMUSG00000021624,ENSMUSG00000022667,ENSMUSG00000024013,ENSMUSG00000024672,ENSMUSG00000024675,ENSMUSG00000024679,ENSMUSG00000027398,ENSMUSG00000028874,ENSMUSG00000029919,ENSMUSG00000030474,ENSMUSG00000030786,ENSMUSG00000030789,ENSMUSG00000032122,ENSMUSG00000033192,ENSMUSG00000038508,ENSMUSG00000039109,ENSMUSG00000043421,ENSMUSG00000045551,ENSMUSG00000050335,ENSMUSG00000051439,ENSMUSG00000051682,ENSMUSG00000052336,ENSMUSG00000055805,ENSMUSG00000075122	0.0014372590174623944
panglao	0	panglao_T_cells	/	22	435	95	4072	0.0003044477926330346	2.1677918935269207	ENSMUSG00000000782,ENSMUSG00000003882,ENSMUSG00000020437,ENSMUSG00000023132,ENSMUSG00000023927,ENSMUSG00000026070,ENSMUSG00000026770,ENSMUSG00000026875,ENSMUSG00000027843,ENSMUSG00000027985,ENSMUSG00000028214,ENSMUSG00000029204,ENSMUSG00000030124,ENSMUSG00000030731,ENSMUSG00000030772,ENSMUSG00000032011,ENSMUSG00000032094,ENSMUSG00000038146,ENSMUSG00000039264,ENSMUSG00000048521,ENSMUSG00000055805,ENSMUSG00000068227	0.007687306763984123
panglao	0	panglao_T_memory_cells	/	12	435	48	4072	0.0036482384125175894	2.340229885057471	ENSMUSG00000000782,ENSMUSG00000003882,ENSMUSG00000022014,ENSMUSG00000023927,ENSMUSG00000026581,ENSMUSG00000026786,ENSMUSG00000026832,ENSMUSG00000027985,ENSMUSG00000029204,ENSMUSG00000032094,ENSMUSG00000048521,ENSMUSG00000090019	0.0730635556532723
panglao	0	panglao_Platelets	/	22	435	115	4072	0.004340409246729048	1.790784607696152	ENSMUSG00000000320,ENSMUSG00000015533,ENSMUSG00000017652,ENSMUSG00000020788,ENSMUSG00000023393,ENSMUSG00000024810,ENSMUSG00000026580,ENSMUSG00000028716,ENSMUSG00000033467,ENSMUSG00000034028,ENSMUSG00000034664,ENSMUSG00000035448,ENSMUSG00000036353,ENSMUSG00000039109,ENSMUSG00000039232,ENSMUSG00000040152,ENSMUSG00000048163,ENSMUSG00000051498,ENSMUSG00000054641,ENSMUSG00000060063,ENSMUSG00000067818,ENSMUSG00000074489	0.0730635556532723
panglao	0	panglao_B_cells	/	17	435	84	4072	0.006499512522538141	1.894471811713191	ENSMUSG00000005540,ENSMUSG00000007035,ENSMUSG00000009092,ENSMUSG00000015314,ENSMUSG00000017652,ENSMUSG00000022838,ENSMUSG00000024673,ENSMUSG00000026616,ENSMUSG00000028459,ENSMUSG00000029082,ENSMUSG00000030577,ENSMUSG00000030745,ENSMUSG00000051439,ENSMUSG00000052013,ENSMUSG00000057098,ENSMUSG00000064267,ENSMUSG00000075122	0.09377868068233604
panglao	0	panglao_Fibroblasts	/	26	435	159	4072	0.01664122001371905	1.5307164028048867	ENSMUSG00000002732,ENSMUSG00000003549,ENSMUSG00000017652,ENSMUSG00000018381,ENSMUSG00000022952,ENSMUSG00000023034,ENSMUSG00000026586,ENSMUSG00000027859,ENSMUSG00000028874,ENSMUSG00000029659,ENSMUSG00000029675,ENSMUSG00000030218,ENSMUSG00000030772,ENSMUSG00000031740,ENSMUSG00000031750,ENSMUSG00000032011,ENSMUSG00000037225,ENSMUSG00000042812,ENSMUSG00000045680,ENSMUSG00000048498,ENSMUSG00000051682,ENSMUSG00000058806,ENSMUSG00000064080,ENSMUSG00000067158,ENSMUSG00000068196,ENSMUSG00000074971	0.18607201996615183
panglao	0	panglao_Endothelial_cells_(aorta)	/	16	435	86	4072	0.018073298742238543	1.741566426089281	ENSMUSG00000002732,ENSMUSG00000015354,ENSMUSG00000016918,ENSMUSG00000020681,ENSMUSG00000020773,ENSMUSG00000020788,ENSMUSG00000020844,ENSMUSG00000021835,ENSMUSG00000023191,ENSMUSG00000028978,ENSMUSG00000030074,ENSMUSG00000042190,ENSMUSG00000046470,ENSMUSG00000048200,ENSMUSG00000053040,ENSMUSG00000067158	0.18607201996615183
panglao	0	panglao_T_regulatory_cells	/	6	435	21	4072	0.019270928317018307	2.6745484400656814	ENSMUSG00000025321,ENSMUSG00000025997,ENSMUSG00000026581,ENSMUSG00000026770,ENSMUSG00000030124,ENSMUSG00000031789	0.18607201996615183
