gene_cluster	n_genes	OSD-137	OSD-164	OSD-168	OSD-173	OSD-235	OSD-242	OSD-245	OSD-273	OSD-294	OSD-322	OSD-379	OSD-457	OSD-463	OSD-47	OSD-48	OSD-49	OSD-686
0	1781	98.31867	42.79899	139.84866	59.694927	81.81021	64.087296	110.57312	158.63438	50.889202	53.06388	72.02722	29.845802	121.31755	67.32244	67.18661	55.087593	35.896873
1	1679	0.7095163	0.32772484	1.582627	0.4574151	2.1473577	0.62915295	0.8323256	1.4776171	1.5944809	1.9303355	1.1014577	0.15592118	0.71104157	0.42357463	0.9881732	0.2734432	0.16067764
2	2356	29.670982	12.610144	48.868813	17.895586	31.299795	20.661585	37.23004	48.54293	19.73775	20.505215	23.673912	7.8867965	34.932323	19.728237	20.736115	13.690012	8.793718
3	2013	456.6047	216.7546	585.97504	279.44858	303.16592	286.90683	457.78986	759.14777	189.8817	193.1315	333.12817	176.65382	591.098	334.94278	309.53265	324.8194	220.69035
4	1945	15837.689	6050.8774	20124.738	11448.86	12092.945	11135.59	17906.111	24319.65	5383.296	5559.869	11413.783	4710.6733	26579.328	8944.667	8064.28	10755.785	6104.232
5	1047	3913.9822	1965.5579	5233.391	2625.5847	2535.5957	2476.7876	3862.5408	7642.9575	1665.4277	1636.8585	2871.922	1762.872	5511.0405	3115.085	2633.8416	3458.9019	2201.653
6	2120	1219.1569	399.80637	1572.3107	761.64453	896.9599	794.85565	1416.6567	1785.4392	464.41684	472.44202	818.50684	326.93533	1521.022	649.07544	536.2135	628.4252	417.68243
7	1516	8.372178	3.6632586	15.987987	5.1094985	12.078161	6.4680223	10.888723	14.891852	7.837687	8.658025	6.988969	2.1922548	9.963402	5.558587	6.870948	3.4841688	2.214673
8	566	0.07253632	0.019876326	0.22275075	0.045936394	0.26183745	0.0813489	0.082140505	0.11791862	0.24941108	0.25915784	0.07792647	0.022084804	0.071127325	0.030195951	0.14071177	0.027875934	0.018453082
9	967	783.46216	323.81824	992.704	481.59445	505.74365	475.2492	772.5771	1235.8516	309.8819	321.13962	535.4281	261.2982	968.6818	503.12024	414.67035	487.0471	332.66702
10	956	195.7865	81.87212	266.9812	120.689674	153.02475	128.1645	221.42508	302.0668	92.27019	93.43863	137.94144	56.902893	241.92593	126.56828	114.46301	109.678635	72.12134
11	559	1865.7634	943.2339	2446.019	1177.8396	1143.284	1139.737	1737.2384	3542.3105	788.0652	791.8652	1329.5294	831.2395	2360.5676	1513.9009	1216.1637	1571.6649	1053.7477
12	1634	2.4610703	1.2223072	5.437788	1.5566095	4.962383	2.078761	3.0648403	4.5853734	3.5135865	4.0904527	2.2696943	0.70351386	3.1775377	1.6304663	2.9932678	1.0851353	0.7781178
13	611	305.8927	148.72423	413.95648	181.67595	212.36032	186.96626	318.8939	533.09375	135.63344	137.40594	213.34984	112.60215	357.10965	235.19	206.16518	208.77632	139.03838
14	1260	0.1882716	0.08373016	0.62242067	0.12738095	0.9856191	0.2557971	0.23419423	0.353469	0.8574868	1.0320503	0.3126365	0.04563492	0.21958527	0.11681097	0.33809525	0.06948854	0.05352734
