gene_cluster	n_genes		BSP135	Heavy_Ion_HZE_Irradiation, Low_Dose_Irradiation, High_LET_Irradiation	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	MHU-2	MHU-3	RR-1	RR-1, RR-3	RR-23	RR-3	RR-6	RR-9	RRRM-1 (RR-8)
0	1781	112.786896	59.694927	53.06388	50.889202	35.896873	29.845802	63.874325	139.84866	121.31755	98.31867	110.57312	64.087296	72.02722
1	1679	1.747432	0.4574151	1.9303355	1.5944809	0.16067764	0.15592118	0.6829188	1.582627	0.71104157	0.7095163	0.8323256	0.62915295	1.1014577
2	2356	37.53669	17.895586	20.505215	19.73775	8.793718	7.8867965	19.232992	48.868813	34.932323	29.670982	37.23004	20.661585	23.673912
3	2013	498.13687	279.44858	193.1315	189.8817	220.69035	176.65382	306.374	585.97504	591.098	456.6047	457.78986	286.90683	333.12817
4	1945	17202.68	11448.86	5559.869	5383.296	6104.232	4710.6733	8120.5093	20124.738	26579.328	15837.689	17906.111	11135.59	11413.783
5	1047	4761.3916	2625.5847	1636.8585	1665.4277	2201.653	1762.872	2724.205	5233.391	5511.0405	3913.9822	3862.5408	2476.7876	2871.922
6	2120	1257.7058	761.64453	472.44202	464.41684	417.68243	326.93533	560.20844	1572.3107	1521.022	1219.1569	1416.6567	794.85565	818.50684
7	1516	12.74325	5.1094985	8.658025	7.837687	2.214673	2.1922548	5.930716	15.987987	9.963402	8.372178	10.888723	6.4680223	6.988969
8	566	0.18629895	0.045936394	0.25915784	0.24941108	0.018453082	0.022084804	0.082125016	0.22275075	0.071127325	0.07253632	0.082140505	0.0813489	0.07792647
9	967	814.63696	481.59445	321.13962	309.8819	332.66702	261.2982	435.689	992.704	968.6818	783.46216	772.5771	475.2492	535.4281
10	956	213.64458	120.689674	93.43863	92.27019	72.12134	56.902893	114.55937	266.9812	241.92593	195.7865	221.42508	128.1645	137.94144
11	559	2188.4558	1177.8396	791.8652	788.0652	1053.7477	831.2395	1291.453	2446.019	2360.5676	1865.7634	1737.2384	1139.737	1329.5294
12	1634	4.5632744	1.5566095	4.0904527	3.5135865	0.7781178	0.70351386	2.2320728	5.437788	3.1775377	2.4610703	3.0648403	2.078761	2.2696943
13	611	348.34125	181.67595	137.40594	135.63344	139.03838	112.60215	209.2517	413.95648	357.10965	305.8927	318.8939	186.96626	213.34984
14	1260	0.660698	0.12738095	1.0320503	0.8574868	0.05352734	0.04563492	0.219075	0.62242067	0.21958527	0.1882716	0.23419423	0.2557971	0.3126365
