profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	source_profile_index	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url	dataset.study person.first name	dataset.study person.last name	dataset.study person.middle initials	dataset.study publication author list	id.accession_sample name	id.assay name	id.sample name	investigation.study.comment.data source accession	investigation.study.comment.doi	investigation.study.comment.project identifier	study.characteristics.organism	study.source name	flight_status_inferred	tissue_inferred	tissue_inference_rule	tissue_inference_confidence	tissue_metadata_source
Mmus_C57-6T_LVR_BSL_Rep1_B1	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	0	baseline_control	Mmus_C57-6T_LVR_BSL_Rep1_B1	RR-1_BSL_M1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_BSL_Rep1_B1	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_BSL_Rep1_B1		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_BSL_M1	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6T_LVR_BSL_Rep2_B2	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	1	baseline_control	Mmus_C57-6T_LVR_BSL_Rep2_B2	RR-1_BSL_M2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_BSL_Rep2_B2	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_BSL_Rep2_B2		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_BSL_M2	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6T_LVR_BSL_Rep3_B3	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	2	baseline_control	Mmus_C57-6T_LVR_BSL_Rep3_B3	RR-1_BSL_M3	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_BSL_Rep3_B3	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_BSL_Rep3_B3		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_BSL_M3	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6T_LVR_FLT_Rep1_F1	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	3	flight	Mmus_C57-6T_LVR_FLT_Rep1_F1	RR-1_FLT_M1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_FLT_Rep1_F1	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_FLT_Rep1_F1		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_FLT_M1	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6T_LVR_FLT_Rep2_F2	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	4	flight	Mmus_C57-6T_LVR_FLT_Rep2_F2	RR-1_FLT_M2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_FLT_Rep2_F2	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_FLT_Rep2_F2		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_FLT_M2	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6T_LVR_FLT_Rep3_F4	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	5	flight	Mmus_C57-6T_LVR_FLT_Rep3_F4	RR-1_FLT_M4	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_FLT_Rep3_F4	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_FLT_Rep3_F4		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_FLT_M4	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6T_LVR_GC_Rep1_G2	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	6	ground_control	Mmus_C57-6T_LVR_GC_Rep1_G2	RR-1_GC_M2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_GC_Rep1_G2	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_GC_Rep1_G2		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_GC_M2	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6T_LVR_GC_Rep2_G3	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	7	ground_control	Mmus_C57-6T_LVR_GC_Rep2_G3	RR-1_GC_M3	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_GC_Rep2_G3	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_GC_Rep2_G3		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_GC_M3	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6T_LVR_GC_Rep3_G5	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	8	ground_control	Mmus_C57-6T_LVR_GC_Rep3_G5	RR-1_GC_M5	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_GC_Rep3_G5	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_GC_Rep3_G5		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_GC_M5	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	9	flight	Mmus_C57-6J_LVR_FLT_C_Rep1_M25	RR1_FLT_M25	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep1_M25	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_FLT_C_Rep1_M25		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_FLT_M25	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
