gene_cluster	n_genes	eta_squared_id.accession	eta_squared_investigation.study.comment.project identifier	eta_squared_tissue_inferred	eta_squared_condition_inferred
0	1781	0.43171156494182167	0.7526340156679214		0.010265269116492315
1	1679	0.0719745069139393	0.11456485155471423		0.019279448654239122
2	2356	0.2676111431708638	0.6400002256142225		0.004047328011457792
3	2013	0.695411701963441	0.714778505044964		0.0223185147295016
4	1945	0.7683201202390283	0.7976732574916487		0.05070799601117802
5	1047	0.7489840061388827	0.65986316697105		0.00646625146477805
6	2120	0.7894013169456812	0.8318662979645761		0.04359606894012483
7	1516	0.14269884689658982	0.5083032525724769		0.0022398485372450067
8	566	0.1822591641066092	0.2792477088837385		0.05081335845292707
9	967	0.7582701548996257	0.7555270744535018		0.024965590786350366
10	956	0.6732338744630392	0.8151849744309128		0.02409723870200704
11	559	0.7430771602304416	0.6400798313804664		0.005313588478066682
12	1634	0.10921103238190244	0.2983603598660245		0.013710900088466
13	611	0.7155644793600888	0.7443613257736083		0.010778593905046055
14	1260	0.14241770822655953	0.1712653995097011		0.04909464976154228
