algorithm	cluster	n_genes	is_noise
gmm	0	6660	False
gmm	1	742	False
gmm	2	566	False
gmm	3	1402	False
gmm	4	1398	False
gmm	5	379	False
gmm	6	1205	False
gmm	7	529	False
gmm	8	1729	False
gmm	9	602	False
gmm	10	2355	False
gmm	11	725	False
gmm	12	425	False
gmm	13	726	False
gmm	14	1567	False
hdbscan	-1	3695	True
hdbscan	0	17178	False
hdbscan	1	137	False
spectral	0	373	False
spectral	1	2575	False
spectral	2	1739	False
spectral	3	1985	False
spectral	4	1634	False
spectral	5	1848	False
spectral	6	3410	False
spectral	7	1855	False
spectral	8	566	False
spectral	9	47	False
spectral	10	2010	False
spectral	11	162	False
spectral	12	111	False
spectral	13	1260	False
spectral	14	1435	False
