gene	gmm_cluster	hdbscan_cluster	spectral_cluster	consensus_cluster
ENSMUSG00000029422	11	-1	3	6
ENSMUSG00000076126	0	0	8	8
ENSMUSG00000049036	0	0	8	8
ENSMUSG00000029577	2	-1	2	11
ENSMUSG00000040746	6	0	2	6
ENSMUSG00000020590	7	-1	7	4
ENSMUSG00000030263	8	0	1	0
ENSMUSG00000038914	13	1	2	5
ENSMUSG00000026878	1	1	7	4
ENSMUSG00000093241	0	0	13	14
ENSMUSG00000030098	12	-1	7	4
ENSMUSG00000078908	3	0	6	3
ENSMUSG00000025056	0	0	8	8
ENSMUSG00000090129	10	0	5	2
ENSMUSG00000026407	12	-1	12	4
ENSMUSG00000034239	0	0	5	7
ENSMUSG00000020818	3	0	6	3
ENSMUSG00000060038	14	0	6	13
ENSMUSG00000020029	1	-1	7	4
ENSMUSG00000085958	10	0	10	2
ENSMUSG00000024292	1	-1	2	5
ENSMUSG00000111356	0	0	4	12
ENSMUSG00000016831	11	-1	2	5
ENSMUSG00000024791	0	0	5	7
ENSMUSG00000028398	6	0	3	6
ENSMUSG00000113338	0	0	14	1
ENSMUSG00000022586	0	0	4	12
ENSMUSG00000091034	0	0	13	14
ENSMUSG00000056204	2	-1	2	11
ENSMUSG00000065472	0	0	8	8
ENSMUSG00000056197	0	0	13	14
ENSMUSG00000031986	3	0	6	3
ENSMUSG00000086259	0	0	4	12
ENSMUSG00000000244	10	0	10	2
ENSMUSG00000027519	6	0	2	6
ENSMUSG00000061086	0	0	5	7
ENSMUSG00000056290	14	0	6	13
ENSMUSG00000068206	3	0	6	3
ENSMUSG00000077815	0	0	13	14
ENSMUSG00000021208	14	0	1	10
ENSMUSG00000088054	0	0	4	12
ENSMUSG00000024998	6	0	3	6
ENSMUSG00000047248	4	0	6	9
ENSMUSG00000027981	4	0	3	6
ENSMUSG00000039683	10	0	10	2
ENSMUSG00000047117	0	0	4	12
ENSMUSG00000030278	9	0	1	0
ENSMUSG00000037419	14	0	1	10
ENSMUSG00000099616	0	0	4	12
ENSMUSG00000022208	0	0	5	7
ENSMUSG00000055197	0	0	13	14
ENSMUSG00000059632	0	0	13	14
ENSMUSG00000064823	0	0	4	12
ENSMUSG00000095629	0	0	5	7
ENSMUSG00000034829	0	0	4	12
ENSMUSG00000029380	12	-1	3	6
ENSMUSG00000073001	0	0	14	1
ENSMUSG00000031073	0	0	5	7
ENSMUSG00000028047	0	0	5	7
ENSMUSG00000039196	12	-1	7	4
ENSMUSG00000032673	6	0	3	6
ENSMUSG00000096584	0	0	14	1
ENSMUSG00000022773	8	0	1	0
ENSMUSG00000078597	12	-1	2	5
ENSMUSG00000021494	4	0	6	9
ENSMUSG00000050248	10	0	10	2
ENSMUSG00000003752	14	0	1	10
ENSMUSG00000037353	4	0	6	9
ENSMUSG00000022096	10	0	5	2
ENSMUSG00000091311	0	0	14	1
ENSMUSG00000096436	10	0	10	2
ENSMUSG00000021661	3	0	6	3
ENSMUSG00000039620	8	0	1	0
ENSMUSG00000033765	0	0	0	1
ENSMUSG00000032584	0	0	5	7
ENSMUSG00000072884	10	0	10	2
ENSMUSG00000066896	0	0	4	12
ENSMUSG00000094606	0	0	4	12
ENSMUSG00000032783	0	0	4	12
ENSMUSG00000029093	0	0	5	7
ENSMUSG00000030254	8	0	1	0
ENSMUSG00000077991	0	0	8	8
ENSMUSG00000021090	0	0	5	7
ENSMUSG00000094687	0	0	8	8
ENSMUSG00000055013	4	0	6	9
ENSMUSG00000038204	9	0	0	3
ENSMUSG00000020629	12	-1	7	4
ENSMUSG00000030881	3	0	6	3
ENSMUSG00000030662	13	-1	2	5
ENSMUSG00000020570	7	-1	7	4
