gene	raw_pca_2d_kmeans_cluster	ftsae_pca_2d_kmeans_cluster	ftsae_latent_kmeans_cluster	raw_pca_10d_kmeans_cluster	ftsae_pca_10d_kmeans_cluster
ENSMUSG00000020590	12	6	6	0	12
ENSMUSG00000038914	12	2	4	0	1
ENSMUSG00000025056	0	3	3	0	0
ENSMUSG00000060038	0	12	3	0	0
ENSMUSG00000016831	12	9	8	0	3
ENSMUSG00000091034	0	3	3	0	0
ENSMUSG00000031986	0	12	0	0	14
ENSMUSG00000077815	0	3	3	0	0
ENSMUSG00000099616	0	3	3	0	0
ENSMUSG00000095629	0	3	3	0	0
ENSMUSG00000073001	0	3	3	0	0
ENSMUSG00000050248	0	3	3	0	0
ENSMUSG00000091311	0	3	3	0	0
ENSMUSG00000096436	0	3	3	0	0
ENSMUSG00000066896	0	3	3	0	0
ENSMUSG00000094606	0	3	3	0	0
ENSMUSG00000030254	0	3	3	0	0
ENSMUSG00000021090	0	3	3	0	0
ENSMUSG00000055013	0	12	0	0	14
ENSMUSG00000030881	0	12	3	0	0
ENSMUSG00000042849	0	3	3	0	0
ENSMUSG00000069939	0	3	3	0	0
ENSMUSG00000066463	0	3	3	0	0
ENSMUSG00000044252	8	11	13	11	12
ENSMUSG00000071815	0	3	3	0	0
ENSMUSG00000097665	0	3	3	0	0
ENSMUSG00000037169	0	3	3	0	0
ENSMUSG00000049565	0	3	3	0	0
ENSMUSG00000077998	0	3	3	0	0
ENSMUSG00000021278	0	3	3	0	0
ENSMUSG00000028013	12	9	11	0	3
ENSMUSG00000042846	0	3	3	0	0
ENSMUSG00000025403	8	5	5	11	9
ENSMUSG00000031831	0	3	3	0	0
ENSMUSG00000037235	12	2	5	0	9
ENSMUSG00000035805	0	3	3	0	0
ENSMUSG00000035262	0	3	3	0	0
ENSMUSG00000056035	9	14	9	13	6
ENSMUSG00000001656	0	3	3	0	0
ENSMUSG00000053146	0	3	3	0	0
ENSMUSG00000050328	0	3	3	0	0
ENSMUSG00000034543	0	0	0	0	14
ENSMUSG00000020919	12	2	5	0	5
ENSMUSG00000036214	0	12	3	0	0
ENSMUSG00000103116	0	3	3	0	0
ENSMUSG00000035713	0	3	3	0	0
ENSMUSG00000029730	0	12	0	0	14
ENSMUSG00000028607	8	2	5	11	9
ENSMUSG00000032231	0	12	0	0	14
ENSMUSG00000028165	12	6	11	0	3
ENSMUSG00000049618	0	3	3	0	0
ENSMUSG00000055692	0	3	3	0	0
ENSMUSG00000030983	12	2	6	0	7
ENSMUSG00000078640	0	3	3	0	0
ENSMUSG00000051811	0	3	3	0	0
ENSMUSG00000049612	0	3	3	0	0
ENSMUSG00000078038	0	3	3	0	0
ENSMUSG00000043207	12	6	4	0	1
ENSMUSG00000074071	12	0	0	0	14
ENSMUSG00000031283	0	3	3	0	0
ENSMUSG00000018733	0	12	0	0	14
ENSMUSG00000067525	0	3	3	0	0
ENSMUSG00000096840	0	3	3	0	0
ENSMUSG00000097162	0	12	3	0	0
ENSMUSG00000045201	0	3	3	0	0
ENSMUSG00000059479	0	3	3	0	0
ENSMUSG00000049691	0	3	3	0	0
ENSMUSG00000021555	12	0	0	0	14
ENSMUSG00000028782	0	3	3	0	0
ENSMUSG00000095028	0	3	3	0	0
ENSMUSG00000057223	0	3	3	0	0
ENSMUSG00000034413	0	3	3	0	0
ENSMUSG00000028003	12	6	6	0	12
ENSMUSG00000093460	0	3	3	0	0
ENSMUSG00000022749	0	0	0	0	14
ENSMUSG00000035933	12	9	11	0	3
ENSMUSG00000021464	0	3	3	0	0
ENSMUSG00000075145	0	3	3	0	0
ENSMUSG00000022221	0	3	3	0	0
ENSMUSG00000056782	0	12	0	0	14
ENSMUSG00000025410	12	2	5	0	9
ENSMUSG00000026519	0	12	0	0	14
ENSMUSG00000001348	12	2	5	0	9
ENSMUSG00000027186	0	3	3	0	0
ENSMUSG00000030934	7	14	1	12	13
ENSMUSG00000060688	0	3	3	0	0
ENSMUSG00000053914	0	3	3	0	0
ENSMUSG00000097520	0	3	3	0	0
ENSMUSG00000034893	0	0	0	0	14
ENSMUSG00000044339	0	3	3	0	0
ENSMUSG00000090862	8	11	10	11	4
ENSMUSG00000006276	0	12	0	0	14
ENSMUSG00000038199	0	3	3	0	0
ENSMUSG00000060187	0	3	3	0	0
ENSMUSG00000059689	0	12	0	0	14
ENSMUSG00000062433	0	3	3	0	0
ENSMUSG00000056901	0	3	3	0	0
ENSMUSG00000030127	12	7	8	0	5
ENSMUSG00000055971	0	3	3	0	0
ENSMUSG00000038762	12	7	5	0	5
ENSMUSG00000077972	0	3	3	0	0
ENSMUSG00000045648	0	3	3	0	0
ENSMUSG00000039477	12	7	8	0	5
ENSMUSG00000047594	0	3	3	0	0
ENSMUSG00000036169	0	3	3	0	0
ENSMUSG00000029865	0	3	3	0	0
ENSMUSG00000065401	0	3	3	0	0
ENSMUSG00000042345	0	3	3	0	0
ENSMUSG00000035642	0	12	0	0	14
ENSMUSG00000021294	0	3	3	0	0
ENSMUSG00000085886	0	3	3	0	0
ENSMUSG00000037962	0	3	3	0	0
ENSMUSG00000001420	0	3	3	0	0
ENSMUSG00000112880	0	3	3	0	0
ENSMUSG00000056832	0	3	3	0	0
ENSMUSG00000106053	0	3	3	0	0
ENSMUSG00000037331	8	2	5	11	9
ENSMUSG00000024563	12	9	11	0	3
ENSMUSG00000021362	0	3	3	0	0
ENSMUSG00000054679	0	3	3	0	0
ENSMUSG00000045678	0	12	0	0	14
ENSMUSG00000078625	0	3	3	0	0
ENSMUSG00000049823	0	3	3	0	0
ENSMUSG00000026134	0	12	3	0	0
ENSMUSG00000075095	0	3	3	0	0
ENSMUSG00000015247	12	6	6	0	12
ENSMUSG00000002014	12	4	10	0	4
ENSMUSG00000027801	8	11	6	11	7
ENSMUSG00000046351	0	0	0	0	14
ENSMUSG00000050215	0	3	3	0	0
ENSMUSG00000030619	0	0	0	0	14
ENSMUSG00000068506	0	3	3	0	0
ENSMUSG00000087115	0	3	3	0	0
ENSMUSG00000038155	12	5	5	0	9
ENSMUSG00000040855	12	6	6	0	12
ENSMUSG00000009549	12	7	11	0	7
ENSMUSG00000027715	0	3	3	0	0
ENSMUSG00000047030	0	3	3	0	0
ENSMUSG00000020419	0	3	3	0	0
ENSMUSG00000068173	0	3	3	0	0
ENSMUSG00000054459	0	3	3	0	0
ENSMUSG00000099968	0	3	3	0	0
ENSMUSG00000068742	12	7	8	0	5
ENSMUSG00000027306	0	3	3	0	0
ENSMUSG00000112937	0	3	3	0	0
ENSMUSG00000011148	0	3	3	0	0
