representation	component	explained_variance_ratio
raw_pca	1	0.7741789221763611
raw_pca	2	0.0624067485332489
raw_pca	3	0.0389493852853775
raw_pca	4	0.02620990015566349
raw_pca	5	0.023913400247693062
raw_pca	6	0.013014160096645355
raw_pca	7	0.01240939274430275
raw_pca	8	0.008772981353104115
raw_pca	9	0.006404132582247257
raw_pca	10	0.005252189002931118
ftsae_pca	1	0.6591782569885254
ftsae_pca	2	0.11002940684556961
ftsae_pca	3	0.0964883416891098
ftsae_pca	4	0.05727822333574295
ftsae_pca	5	0.04963915795087814
ftsae_pca	6	0.018972380086779594
ftsae_pca	7	0.003708132077008486
ftsae_pca	8	0.0018032003426924348
ftsae_pca	9	0.0008540871785953641
ftsae_pca	10	0.0005585274775512516
