gene	coefficient	abs_coefficient	direction	rank
ENSMUSG00000044309	-261.44016	261.44016	ground_control	1
ENSMUSG00000020108	247.25636	247.25636	flight	2
ENSMUSG00000028715	245.56789	245.56789	flight	3
ENSMUSG00000023067	244.48264	244.48264	flight	4
ENSMUSG00000026188	238.81233	238.81233	flight	5
ENSMUSG00000049230	236.7025	236.7025	flight	6
ENSMUSG00000079009	-236.69124	236.69124	ground_control	7
ENSMUSG00000095066	234.09547	234.09547	flight	8
ENSMUSG00000065575	232.16887	232.16887	flight	9
ENSMUSG00000078554	229.78416	229.78416	flight	10
ENSMUSG00000076396	227.97896	227.97896	flight	11
ENSMUSG00000109750	227.22432	227.22432	flight	12
ENSMUSG00000061958	-226.83455	226.83455	ground_control	13
ENSMUSG00000070139	-224.71806	224.71806	ground_control	14
ENSMUSG00000092852	224.24559	224.24559	flight	15
ENSMUSG00000070464	222.92888	222.92888	flight	16
ENSMUSG00000021453	221.73094	221.73094	flight	17
ENSMUSG00000059060	220.7698	220.7698	flight	18
ENSMUSG00000076218	219.15393	219.15393	flight	19
ENSMUSG00000036492	-218.92383	218.92383	ground_control	20
ENSMUSG00000068113	217.62253	217.62253	flight	21
ENSMUSG00000078688	-216.39206	216.39206	ground_control	22
ENSMUSG00000088248	214.80493	214.80493	flight	23
ENSMUSG00000092862	214.71042	214.71042	flight	24
ENSMUSG00000095143	214.63986	214.63986	flight	25
ENSMUSG00000020581	213.1305	213.1305	flight	26
ENSMUSG00000007440	-212.62897	212.62897	ground_control	27
ENSMUSG00000021403	209.48158	209.48158	flight	28
ENSMUSG00000070074	209.26167	209.26167	flight	29
ENSMUSG00000035383	204.90852	204.90852	flight	30
ENSMUSG00000059049	-204.83162	204.83162	ground_control	31
ENSMUSG00000086191	203.33191	203.33191	flight	32
ENSMUSG00000046913	-202.78822	202.78822	ground_control	33
ENSMUSG00000044441	-202.3146	202.3146	ground_control	34
ENSMUSG00000088544	-201.71027	201.71027	ground_control	35
ENSMUSG00000028520	201.0424	201.0424	flight	36
ENSMUSG00000089570	-200.4629	200.4629	ground_control	37
ENSMUSG00000065501	-200.15549	200.15549	ground_control	38
ENSMUSG00000024992	-198.37065	198.37065	ground_control	39
ENSMUSG00000038393	-197.11731	197.11731	ground_control	40
ENSMUSG00000024402	-196.19304	196.19304	ground_control	41
ENSMUSG00000063314	195.21042	195.21042	flight	42
ENSMUSG00000026401	-194.50867	194.50867	ground_control	43
ENSMUSG00000005674	-194.1375	194.1375	ground_control	44
ENSMUSG00000031362	-193.68375	193.68375	ground_control	45
ENSMUSG00000096682	193.2855	193.2855	flight	46
ENSMUSG00000097934	-190.72797	190.72797	ground_control	47
ENSMUSG00000079033	-190.602	190.602	ground_control	48
ENSMUSG00000043773	190.14262	190.14262	flight	49
ENSMUSG00000058147	-187.98878	187.98878	ground_control	50
ENSMUSG00000078026	-186.9818	186.9818	ground_control	51
ENSMUSG00000034936	186.43326	186.43326	flight	52
ENSMUSG00000089357	184.99481	184.99481	flight	53
ENSMUSG00000065549	184.86569	184.86569	flight	54
ENSMUSG00000037157	184.85721	184.85721	flight	55
ENSMUSG00000094818	184.25266	184.25266	flight	56
ENSMUSG00000098197	-184.06102	184.06102	ground_control	57
ENSMUSG00000070530	-183.37515	183.37515	ground_control	58
ENSMUSG00000076051	-183.05194	183.05194	ground_control	59
ENSMUSG00000031710	182.81024	182.81024	flight	60
ENSMUSG00000064731	-182.77348	182.77348	ground_control	61
ENSMUSG00000074444	182.74405	182.74405	flight	62
ENSMUSG00000113331	182.71399	182.71399	flight	63
ENSMUSG00000041538	-181.86166	181.86166	ground_control	64
ENSMUSG00000079091	-181.8416	181.8416	ground_control	65
ENSMUSG00000025433	-181.68889	181.68889	ground_control	66
ENSMUSG00000071340	-181.16312	181.16312	ground_control	67
ENSMUSG00000117147	-180.80351	180.80351	ground_control	68
ENSMUSG00000107198	180.48225	180.48225	flight	69
ENSMUSG00000093187	180.15979	180.15979	flight	70
ENSMUSG00000092652	179.88301	179.88301	flight	71
ENSMUSG00000058802	-178.89276	178.89276	ground_control	72
ENSMUSG00000084997	-178.74799	178.74799	ground_control	73
ENSMUSG00000086136	-178.40707	178.40707	ground_control	74
ENSMUSG00000065519	-178.20795	178.20795	ground_control	75
ENSMUSG00000074794	-178.09491	178.09491	ground_control	76
ENSMUSG00000053862	177.47122	177.47122	flight	77
ENSMUSG00000015519	177.46524	177.46524	flight	78
ENSMUSG00000068396	-177.16919	177.16919	ground_control	79
ENSMUSG00000030994	-176.93889	176.93889	ground_control	80
ENSMUSG00000039081	-176.7951	176.7951	ground_control	81
ENSMUSG00000056617	-176.6708	176.6708	ground_control	82
ENSMUSG00000078935	176.65637	176.65637	flight	83
ENSMUSG00000025746	-176.6172	176.6172	ground_control	84
ENSMUSG00000089837	-176.4734	176.4734	ground_control	85
ENSMUSG00000021789	-176.31483	176.31483	ground_control	86
ENSMUSG00000003872	176.17506	176.17506	flight	87
ENSMUSG00000063133	175.54782	175.54782	flight	88
ENSMUSG00000118084	-175.4752	175.4752	ground_control	89
ENSMUSG00000069044	175.30052	175.30052	flight	90
