cv	fold	n_train	n_test	accuracy	f1	roc_auc	status
stratified_random_cv	1	168	42	0.7619047619047619	0.7368421052631579	0.7784090909090908	ok
stratified_random_cv	2	168	42	0.6666666666666666	0.65	0.6874999999999999	ok
stratified_random_cv	3	168	42	0.5	0.46153846153846156	0.5	ok
stratified_random_cv	4	168	42	0.6666666666666666	0.72	0.6666666666666666	ok
stratified_random_cv	5	168	42	0.6904761904761905	0.6976744186046512	0.6836734693877551	ok
stratified_group_cv_by_id.accession	1	176	34	0.6470588235294118	0.625	0.6388888888888888	ok
stratified_group_cv_by_id.accession	2	178	32	0.625	0.5384615384615384	0.615686274509804	ok
stratified_group_cv_by_id.accession	3	132	78	0.4230769230769231	0.47058823529411764	0.42532894736842103	ok
stratified_group_cv_by_id.accession	4	171	39	0.717948717948718	0.6206896551724138	0.725	ok
stratified_group_cv_by_id.accession	5	183	27	0.5185185185185185	0.6829268292682927	0.5	ok
