gene_cluster	n_genes	baseline_control	flight	ground_control	unknown	vivarium_control
0	3374	509.0295104980469	526.5944213867188	525.8709716796875	446.70166015625	523.1411743164062
1	12218	43.43848419189453	49.634761810302734	47.29381561279297	38.67976760864258	43.17463302612305
2	502	5388.546875	5637.998046875	5573.11572265625	5264.00341796875	5600.90771484375
3	167	12399.1044921875	11177.333984375	12067.7919921875	6761.58251953125	11575.3935546875
4	485	4470.68994140625	4116.4130859375	4392.09521484375	3289.2880859375	3864.53369140625
5	122	27522.16796875	24496.55859375	26519.59375	22070.08203125	23267.1640625
6	96	46027.95703125	45013.5703125	46667.28515625	42354.33984375	46092.02734375
7	80	2786.254150390625	2144.267333984375	2455.43017578125	781.071044921875	3363.679931640625
8	696	1587.3382568359375	1662.962646484375	1658.1527099609375	1503.0767822265625	1679.243408203125
9	626	1567.515380859375	1519.41943359375	1571.3194580078125	1185.7745361328125	1447.9105224609375
10	632	2576.755859375	2615.45068359375	2632.19775390625	2243.687255859375	2571.723876953125
11	424	8791.744140625	8724.6572265625	9064.6025390625	7469.86865234375	8596.5244140625
12	42	249803.78125	259956.34375	277455.3125	195639.5625	279384.875
13	252	6621.38330078125	6603.26220703125	6835.98681640625	4640.84375	6921.33349609375
14	1294	977.4314575195312	981.0568237304688	996.5663452148438	797.2362670898438	955.2157592773438
