gene_cluster	n_genes	flight	ground_or_control	unknown
0	3374	526.5944213867188	519.362060546875	446.70166015625
1	12218	49.634761810302734	45.012916564941406	38.67976760864258
2	502	5637.998046875	5514.845703125	5264.00341796875
3	167	11177.333984375	12072.234375	6761.58251953125
4	485	4116.4130859375	4300.18017578125	3289.2880859375
5	122	24496.55859375	26134.142578125	22070.08203125
6	96	45013.5703125	46313.44921875	42354.33984375
7	80	2144.267333984375	2776.72119140625	781.071044921875
8	696	1662.962646484375	1638.156005859375	1503.0767822265625
9	626	1519.41943359375	1542.056640625	1185.7745361328125
10	632	2615.45068359375	2599.11669921875	2243.687255859375
11	424	8724.6572265625	8863.21484375	7469.86865234375
12	42	259956.34375	268219.6875	195639.5625
13	252	6603.26220703125	6780.236328125	4640.84375
14	1294	981.0568237304688	980.513916015625	797.2362670898438
