gene_cluster	n_genes	OSD-137	OSD-164	OSD-168	OSD-173	OSD-235	OSD-242	OSD-245	OSD-273	OSD-294	OSD-322	OSD-379	OSD-457	OSD-463	OSD-47	OSD-48	OSD-49	OSD-686
0	3374	584.6890258789062	259.43426513671875	750.677978515625	359.006591796875	387.74261474609375	362.3243103027344	588.9611206054688	955.3086547851562	238.43609619140625	244.1487579345703	409.05462646484375	209.6004180908203	738.7242431640625	403.8923645019531	348.0016784667969	388.7284240722656	263.02825927734375
1	12218	43.909393310546875	19.924497604370117	62.877952575683594	26.901634216308594	37.40912628173828	29.31074333190918	50.21471405029297	72.2242202758789	23.435091018676758	24.196802139282227	34.52272415161133	14.262641906738281	55.485626220703125	47.9937744140625	104.39341735839844	61.31478500366211	17.14508628845215
2	502	5742.21240234375	3323.969970703125	7882.08349609375	4201.67578125	3867.996337890625	3834.656494140625	5766.43310546875	12285.44140625	2528.431396484375	2372.61572265625	4315.720703125	3059.229248046875	8788.8212890625	5165.7919921875	4112.31494140625	5905.357421875	3852.502197265625
3	167	12690.810546875	4269.38916015625	12133.4365234375	12212.8984375	9914.8720703125	10994.5771484375	15947.7080078125	11779.7158203125	2087.15478515625	2060.527099609375	9057.216796875	1663.7037353515625	21886.62109375	4582.134765625	5929.31640625	5334.740234375	3179.692138671875
4	485	4984.740234375	1400.88916015625	6141.6845703125	3111.951171875	4018.393310546875	2825.336669921875	6091.8291015625	6583.0927734375	1394.73193359375	1378.963134765625	3120.4580078125	908.455078125	5278.8798828125	2213.848388671875	1781.189453125	2358.7802734375	1332.39111328125
5	122	29511.451171875	9121.27734375	39296.76953125	22047.568359375	28704.330078125	17084.69140625	38679.30078125	45040.5234375	8101.54248046875	7478.96826171875	16578.599609375	5407.12939453125	34365.234375	13620.1884765625	11202.861328125	15421.59765625	8169.25244140625
6	96	47012.9140625	23398.85546875	65346.1640625	37333.66015625	36985.69140625	31180.564453125	53214.78125	93301.96875	21010.388671875	20728.23046875	32945.55859375	19837.966796875	82020.4375	34697.0234375	26369.896484375	40205.5703125	24117.142578125
7	80	2183.51806640625	455.15625	1506.502685546875	770.0062866210938	817.7911376953125	583.5907592773438	1924.7774658203125	1751.5235595703125	305.7325134277344	389.9795837402344	4106.34814453125	128.8838653564453	1840.785888671875	534.0693969726562	1222.722412109375	469.9875183105469	152.90415954589844
8	696	1834.5	920.9447021484375	2385.885498046875	1174.889404296875	1123.7847900390625	1126.2525634765625	1704.804931640625	3430.46728515625	765.45703125	768.5303955078125	1311.28076171875	808.262451171875	2375.869873046875	1468.85546875	1181.1605224609375	1521.003662109375	1020.5408935546875
9	626	1716.291015625	502.8634338378906	2173.8154296875	1093.0831298828125	1338.3603515625	1148.7364501953125	2101.369140625	2318.903076171875	599.3529052734375	596.7575073242188	1134.9913330078125	394.0856018066406	2131.826171875	809.010009765625	690.0140991210938	803.8152465820312	525.8383178710938
10	632	2912.100341796875	938.94580078125	3970.5966796875	1658.5936279296875	1976.521484375	1808.9210205078125	3197.256103515625	4837.271484375	1246.7457275390625	1289.7418212890625	1991.57275390625	889.3117065429688	3475.401611328125	1626.928466796875	1241.0963134765625	1607.76123046875	1085.9229736328125
11	424	10113.384765625	3470.5166015625	13192.0615234375	6329.984375	6881.90087890625	5819.72705078125	10691.779296875	16178.64453125	3833.045166015625	3891.1396484375	6709.08056640625	2905.358642578125	12453.4208984375	5640.22900390625	4177.3203125	6052.015625	3880.8408203125
12	42	258291.03125	102016.5	331646.15625	181594.984375	190358.0625	217805.40625	280388.90625	390188.03125	92442.5546875	102486.2265625	205996.78125	89462.8984375	564024.1875	148436.125	141889.03125	197580.40625	107749.015625
13	252	7417.2744140625	3484.333251953125	8020.162109375	5625.568359375	4413.46240234375	4025.067138671875	6721.728515625	10111.6533203125	1912.490234375	2023.3682861328125	5916.85986328125	2043.1854248046875	11794.8173828125	4433.04248046875	3738.255126953125	4854.96923828125	2937.3876953125
14	1294	1104.8115234375	367.6642150878906	1426.522705078125	689.4703979492188	787.0313110351562	705.7012329101562	1242.681884765625	1638.091552734375	425.3176574707031	438.3662109375	740.87744140625	300.02447509765625	1367.557373046875	593.910400390625	486.5367126464844	574.0685424804688	380.7500305175781
