gene_cluster	n_genes	flight_mean	ground_or_control_mean	flight_minus_ground_or_control
0	3374	526.5944213867188	519.362060546875	7.23236083984375
1	12218	49.634761810302734	45.012916564941406	4.621845245361328
2	502	5637.998046875	5514.845703125	123.15234375
3	167	11177.333984375	12072.234375	-894.900390625
4	485	4116.4130859375	4300.18017578125	-183.76708984375
5	122	24496.55859375	26134.142578125	-1637.583984375
6	96	45013.5703125	46313.44921875	-1299.87890625
7	80	2144.267333984375	2776.72119140625	-632.453857421875
8	696	1662.962646484375	1638.156005859375	24.806640625
9	626	1519.41943359375	1542.056640625	-22.63720703125
10	632	2615.45068359375	2599.11669921875	16.333984375
11	424	8724.6572265625	8863.21484375	-138.5576171875
12	42	259956.34375	268219.6875	-8263.34375
13	252	6603.26220703125	6780.236328125	-176.97412109375
14	1294	981.0568237304688	980.513916015625	0.54290771484375
