gene	gene_cluster
ENSMUSG00000029422	9
ENSMUSG00000076126	1
ENSMUSG00000049036	1
ENSMUSG00000029577	8
ENSMUSG00000040746	14
ENSMUSG00000020590	4
ENSMUSG00000030263	1
ENSMUSG00000038914	10
ENSMUSG00000026878	11
ENSMUSG00000093241	1
ENSMUSG00000030098	13
ENSMUSG00000078908	0
ENSMUSG00000025056	1
ENSMUSG00000090129	1
ENSMUSG00000026407	7
ENSMUSG00000034239	1
ENSMUSG00000020818	0
ENSMUSG00000060038	1
ENSMUSG00000020029	4
ENSMUSG00000085958	1
ENSMUSG00000024292	2
ENSMUSG00000111356	1
ENSMUSG00000016831	9
ENSMUSG00000024791	1
ENSMUSG00000028398	14
ENSMUSG00000113338	1
ENSMUSG00000022586	1
ENSMUSG00000091034	1
ENSMUSG00000056204	8
ENSMUSG00000065472	1
ENSMUSG00000056197	1
ENSMUSG00000031986	0
ENSMUSG00000086259	1
ENSMUSG00000000244	1
ENSMUSG00000027519	14
ENSMUSG00000061086	1
ENSMUSG00000056290	1
ENSMUSG00000068206	0
ENSMUSG00000077815	1
ENSMUSG00000021208	1
ENSMUSG00000088054	1
ENSMUSG00000024998	14
ENSMUSG00000047248	0
ENSMUSG00000027981	14
ENSMUSG00000039683	1
ENSMUSG00000047117	1
ENSMUSG00000030278	1
ENSMUSG00000037419	1
ENSMUSG00000099616	1
ENSMUSG00000022208	1
ENSMUSG00000055197	1
ENSMUSG00000059632	1
ENSMUSG00000064823	1
ENSMUSG00000095629	1
ENSMUSG00000034829	1
ENSMUSG00000029380	0
ENSMUSG00000073001	1
ENSMUSG00000031073	1
ENSMUSG00000028047	1
ENSMUSG00000039196	3
ENSMUSG00000032673	14
ENSMUSG00000096584	1
ENSMUSG00000022773	1
ENSMUSG00000078597	8
ENSMUSG00000021494	0
ENSMUSG00000050248	1
ENSMUSG00000003752	1
ENSMUSG00000037353	0
ENSMUSG00000022096	1
ENSMUSG00000091311	1
ENSMUSG00000096436	1
ENSMUSG00000021661	0
ENSMUSG00000039620	1
ENSMUSG00000033765	1
ENSMUSG00000032584	1
ENSMUSG00000072884	1
ENSMUSG00000066896	1
ENSMUSG00000094606	1
ENSMUSG00000032783	1
ENSMUSG00000029093	1
ENSMUSG00000030254	1
ENSMUSG00000077991	1
ENSMUSG00000021090	1
ENSMUSG00000094687	1
ENSMUSG00000055013	0
ENSMUSG00000038204	1
ENSMUSG00000020629	4
ENSMUSG00000030881	0
ENSMUSG00000030662	10
ENSMUSG00000020570	10
ENSMUSG00000024401	1
ENSMUSG00000108885	1
ENSMUSG00000029015	1
ENSMUSG00000045179	1
ENSMUSG00000063779	1
ENSMUSG00000070531	1
ENSMUSG00000074183	1
ENSMUSG00000042849	1
ENSMUSG00000069939	1
ENSMUSG00000025873	8
ENSMUSG00000034456	2
ENSMUSG00000070817	1
ENSMUSG00000024294	11
ENSMUSG00000066463	1
ENSMUSG00000035376	14
ENSMUSG00000044252	11
ENSMUSG00000055917	14
ENSMUSG00000071815	1
ENSMUSG00000068882	10
ENSMUSG00000022685	14
ENSMUSG00000036292	9
ENSMUSG00000041202	1
ENSMUSG00000116360	1
ENSMUSG00000024528	0
ENSMUSG00000029861	1
ENSMUSG00000077221	1
ENSMUSG00000070469	1
ENSMUSG00000115791	1
ENSMUSG00000097665	1
ENSMUSG00000046650	1
ENSMUSG00000046667	0
ENSMUSG00000106902	1
ENSMUSG00000037169	1
ENSMUSG00000049565	1
ENSMUSG00000033862	0
ENSMUSG00000033774	1
ENSMUSG00000084592	1
ENSMUSG00000077998	1
ENSMUSG00000021278	1
ENSMUSG00000027971	1
ENSMUSG00000024758	10
ENSMUSG00000044921	1
ENSMUSG00000054387	10
ENSMUSG00000062822	14
ENSMUSG00000028013	9
ENSMUSG00000042846	1
ENSMUSG00000025403	2
ENSMUSG00000031831	1
ENSMUSG00000087045	1
ENSMUSG00000030739	0
ENSMUSG00000037235	2
ENSMUSG00000021559	2
ENSMUSG00000049252	1
ENSMUSG00000035805	1
ENSMUSG00000050870	1
ENSMUSG00000022931	1
ENSMUSG00000067360	1
ENSMUSG00000035262	1
ENSMUSG00000087223	1
ENSMUSG00000046791	1
ENSMUSG00000086745	1
ENSMUSG00000055826	1
ENSMUSG00000022451	10
ENSMUSG00000092734	1
ENSMUSG00000026700	1
ENSMUSG00000041852	11
ENSMUSG00000075086	1
ENSMUSG00000024776	1
ENSMUSG00000056035	6
ENSMUSG00000020000	13
ENSMUSG00000037946	1
ENSMUSG00000001656	1
ENSMUSG00000053146	1
ENSMUSG00000073982	1
ENSMUSG00000024393	2
ENSMUSG00000025433	1
ENSMUSG00000086552	1
ENSMUSG00000070972	14
ENSMUSG00000036139	1
ENSMUSG00000073768	1
ENSMUSG00000003573	1
ENSMUSG00000115744	1
ENSMUSG00000019920	9
ENSMUSG00000094892	1
ENSMUSG00000027495	2
ENSMUSG00000045989	1
ENSMUSG00000087424	1
ENSMUSG00000050328	1
ENSMUSG00000022705	1
ENSMUSG00000034543	0
ENSMUSG00000094734	1
ENSMUSG00000071753	1
ENSMUSG00000020919	8
ENSMUSG00000036214	0
ENSMUSG00000079069	1
ENSMUSG00000103116	1
ENSMUSG00000097368	1
ENSMUSG00000039230	14
ENSMUSG00000035713	1
ENSMUSG00000059995	0
ENSMUSG00000033831	12
ENSMUSG00000029730	0
ENSMUSG00000019841	9
ENSMUSG00000040543	1
ENSMUSG00000091537	4
ENSMUSG00000026420	1
ENSMUSG00000027550	0
ENSMUSG00000073971	1
ENSMUSG00000028607	2
ENSMUSG00000039210	0
ENSMUSG00000032231	0
ENSMUSG00000078593	1
ENSMUSG00000028165	9
ENSMUSG00000075273	0
ENSMUSG00000049618	1
ENSMUSG00000002496	8
ENSMUSG00000055692	1
ENSMUSG00000031160	1
ENSMUSG00000030983	13
ENSMUSG00000078640	1
ENSMUSG00000046675	0
ENSMUSG00000051811	1
ENSMUSG00000028651	0
ENSMUSG00000024425	5
ENSMUSG00000046613	1
ENSMUSG00000070501	1
ENSMUSG00000049612	1
ENSMUSG00000091996	1
ENSMUSG00000078038	1
ENSMUSG00000042216	1
ENSMUSG00000069036	1
ENSMUSG00000079407	1
ENSMUSG00000021823	8
ENSMUSG00000033808	14
ENSMUSG00000051098	0
ENSMUSG00000061633	1
ENSMUSG00000056870	1
ENSMUSG00000030093	1
ENSMUSG00000000194	14
ENSMUSG00000043207	10
ENSMUSG00000005667	1
ENSMUSG00000073830	12
ENSMUSG00000039703	2
ENSMUSG00000031068	4
ENSMUSG00000051154	4
ENSMUSG00000025487	8
ENSMUSG00000005354	2
ENSMUSG00000025892	1
ENSMUSG00000074071	14
ENSMUSG00000057182	1
ENSMUSG00000020390	4
ENSMUSG00000031131	1
ENSMUSG00000094612	1
ENSMUSG00000031283	1
ENSMUSG00000109219	1
ENSMUSG00000038429	8
ENSMUSG00000034810	1
ENSMUSG00000018733	0
ENSMUSG00000022037	6
ENSMUSG00000085260	1
ENSMUSG00000029610	1
ENSMUSG00000042185	0
ENSMUSG00000067525	1
ENSMUSG00000006021	0
ENSMUSG00000046408	1
ENSMUSG00000020599	1
ENSMUSG00000030775	1
ENSMUSG00000015149	8
ENSMUSG00000046434	8
ENSMUSG00000031377	1
ENSMUSG00000031774	0
ENSMUSG00000096840	1
ENSMUSG00000050627	9
