gene_cluster	n_genes	condition	mean_expression	condition_rank_desc	delta_vs_cluster_condition_mean
0	263	baseline_control	12398.8359375	1	3437.1149414062493
0	263	vivarium_control	9203.70703125	2	241.98603515624927
0	263	ground_control	8461.1484375	3	-500.5725585937507
0	263	flight	7665.90087890625	4	-1295.8201171875007
0	263	unknown	7079.0126953125	5	-1882.7083007812507
6	417	baseline_control	5410.38720703125	1	1593.4420654296873
6	417	vivarium_control	4805.455078125	2	988.5099365234373
6	417	ground_control	3579.3427734375	3	-237.60236816406268
6	417	flight	3548.384033203125	4	-268.5611083984377
6	417	unknown	1741.1566162109375	5	-2075.788525390625
8	789	flight	3299.84375	1	665.1630859375
8	789	ground_control	3028.94287109375	2	394.26220703125
8	789	vivarium_control	2806.40185546875	3	171.72119140625
8	789	baseline_control	2594.674072265625	4	-40.006591796875
8	789	unknown	1443.540771484375	5	-1191.139892578125
10	807	flight	1883.9659423828125	1	634.68681640625
10	807	ground_control	1502.1475830078125	2	252.86845703125005
10	807	vivarium_control	975.0908813476562	3	-274.1882446289062
10	807	unknown	943.1395874023438	4	-306.1395385742187
10	807	baseline_control	942.0516357421876	5	-307.22749023437484
13	122	vivarium_control	61759.828125	1	7280.274218749997
13	122	flight	58521.75390625	2	4042.199999999997
13	122	ground_control	55964.23046875	3	1484.676562499997
13	122	unknown	51885.94921875	4	-2593.604687500003
13	122	baseline_control	44266.0078125	5	-10213.546093750003
