library	gene_cluster	term	description	overlap	cluster_genes_in_universe	term_genes_in_universe	universe_genes	p_value	enrichment_ratio	overlap_genes	fdr_bh
reactome	0	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	27	132	175	5218	9.916674825692271e-15	6.09896103896104	ENSMUSG00000000673,ENSMUSG00000001155,ENSMUSG00000001670,ENSMUSG00000019987,ENSMUSG00000020017,ENSMUSG00000020534,ENSMUSG00000021033,ENSMUSG00000021794,ENSMUSG00000022546,ENSMUSG00000024039,ENSMUSG00000025533,ENSMUSG00000026272,ENSMUSG00000027597,ENSMUSG00000028011,ENSMUSG00000028179,ENSMUSG00000029445,ENSMUSG00000030934,ENSMUSG00000031173,ENSMUSG00000031482,ENSMUSG00000031700,ENSMUSG00000033022,ENSMUSG00000034456,ENSMUSG00000037798,ENSMUSG00000039783,ENSMUSG00000041660,ENSMUSG00000074768,ENSMUSG00000076441	6.743338881470745e-13
reactome	0	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	12	132	29	5218	1.4958264016410666e-12	16.357366771159874	ENSMUSG00000021492,ENSMUSG00000022875,ENSMUSG00000023224,ENSMUSG00000026368,ENSMUSG00000026579,ENSMUSG00000026715,ENSMUSG00000027249,ENSMUSG00000028001,ENSMUSG00000031444,ENSMUSG00000033831,ENSMUSG00000033860,ENSMUSG00000109764	5.0858097655796266e-11
reactome	0	REACTOME_XENOBIOTICS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_XENOBIOTICS	11	132	25	5218	5.895795359809365e-12	17.39333333333333	ENSMUSG00000005547,ENSMUSG00000022445,ENSMUSG00000025479,ENSMUSG00000029630,ENSMUSG00000032310,ENSMUSG00000054417,ENSMUSG00000056035,ENSMUSG00000060407,ENSMUSG00000068086,ENSMUSG00000075551,ENSMUSG00000094806	1.1018823687741861e-10
reactome	0	REACTOME_BIOLOGICAL_OXIDATIONS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_BIOLOGICAL_OXIDATIONS	22	132	146	5218	6.48166099278933e-12	5.95662100456621	ENSMUSG00000005547,ENSMUSG00000008540,ENSMUSG00000022445,ENSMUSG00000025479,ENSMUSG00000025934,ENSMUSG00000026170,ENSMUSG00000026691,ENSMUSG00000027597,ENSMUSG00000028240,ENSMUSG00000029630,ENSMUSG00000030378,ENSMUSG00000032310,ENSMUSG00000037798,ENSMUSG00000040147,ENSMUSG00000053279,ENSMUSG00000054417,ENSMUSG00000056035,ENSMUSG00000060407,ENSMUSG00000068086,ENSMUSG00000075551,ENSMUSG00000089960,ENSMUSG00000094806	1.1018823687741861e-10
reactome	0	REACTOME_COMPLEMENT_CASCADE	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_COMPLEMENT_CASCADE	11	132	26	5218	1.0001626030339776e-11	16.724358974358974	ENSMUSG00000022149,ENSMUSG00000022887,ENSMUSG00000024863,ENSMUSG00000026405,ENSMUSG00000026874,ENSMUSG00000035031,ENSMUSG00000037942,ENSMUSG00000038521,ENSMUSG00000058952,ENSMUSG00000073418,ENSMUSG00000090231	1.3602211401262095e-10
reactome	0	REACTOME_COMMON_PATHWAY	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_COMMON_PATHWAY	8	132	11	5218	2.1018358539943988e-11	28.749311294765842	ENSMUSG00000026368,ENSMUSG00000026579,ENSMUSG00000026715,ENSMUSG00000027249,ENSMUSG00000028001,ENSMUSG00000031444,ENSMUSG00000033831,ENSMUSG00000033860	2.3820806345269855e-10
reactome	0	REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	16	132	78	5218	5.133606682815645e-11	8.10878010878011	ENSMUSG00000005547,ENSMUSG00000022445,ENSMUSG00000025479,ENSMUSG00000026170,ENSMUSG00000026691,ENSMUSG00000028240,ENSMUSG00000029630,ENSMUSG00000032310,ENSMUSG00000040147,ENSMUSG00000053279,ENSMUSG00000054417,ENSMUSG00000056035,ENSMUSG00000060407,ENSMUSG00000068086,ENSMUSG00000075551,ENSMUSG00000094806	4.98693220616377e-10
reactome	0	REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	13	132	61	5218	2.2418215696845156e-09	8.42449080973671	ENSMUSG00000005547,ENSMUSG00000022445,ENSMUSG00000025479,ENSMUSG00000026170,ENSMUSG00000028240,ENSMUSG00000029630,ENSMUSG00000032310,ENSMUSG00000054417,ENSMUSG00000056035,ENSMUSG00000060407,ENSMUSG00000068086,ENSMUSG00000075551,ENSMUSG00000094806	1.9055483342318383e-08
reactome	0	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	14	132	82	5218	1.1199673519281738e-08	6.7490761271249085	ENSMUSG00000022875,ENSMUSG00000022877,ENSMUSG00000023224,ENSMUSG00000026579,ENSMUSG00000028001,ENSMUSG00000032083,ENSMUSG00000033831,ENSMUSG00000033860,ENSMUSG00000038224,ENSMUSG00000059481,ENSMUSG00000066366,ENSMUSG00000071177,ENSMUSG00000071178,ENSMUSG00000079015	8.461975547901758e-08
reactome	0	REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	31	132	440	5218	8.526462038623063e-08	2.7850895316804407	ENSMUSG00000000301,ENSMUSG00000003623,ENSMUSG00000005681,ENSMUSG00000010651,ENSMUSG00000016194,ENSMUSG00000020777,ENSMUSG00000021135,ENSMUSG00000021364,ENSMUSG00000021884,ENSMUSG00000025137,ENSMUSG00000026170,ENSMUSG00000026664,ENSMUSG00000027048,ENSMUSG00000027875,ENSMUSG00000028158,ENSMUSG00000028240,ENSMUSG00000030236,ENSMUSG00000030378,ENSMUSG00000030382,ENSMUSG00000031168,ENSMUSG00000031980,ENSMUSG00000032079,ENSMUSG00000032081,ENSMUSG00000032083,ENSMUSG00000035237,ENSMUSG00000039653,ENSMUSG00000042289,ENSMUSG00000042476,ENSMUSG00000054422,ENSMUSG00000058258,ENSMUSG00000070644	5.797994186263682e-07
