gene_cluster	n_genes	direction	rank	id.accession	mean_expression	z_score_across_studies
0	263	high	1	OSD-463	81177.0390625	5.192660058978666
0	263	high	2	OSD-273	71954.390625	4.554804139154244
0	263	high	3	OSD-168	53893.6640625	3.305689914288097
0	263	high	4	OSD-245	48731.26953125	2.9486488826861557
0	263	high	5	OSD-137	42373.875	2.508959376586275
0	263	high	6	OSD-235	33965.0859375	1.9273915201924785
0	263	high	7	OSD-173	32077.076171875	1.7968131712668558
0	263	high	8	OSD-49	31794.6875	1.777282633236757
0	263	high	9	OSD-379	31301.056640625	1.7431421834522793
0	263	high	10	OSD-242	29307.65234375	1.6052745481431938
0	263	high	11	OSD-47	26124.20703125	1.3851014111342044
0	263	high	12	OSD-48	22719.4375	1.149621069899997
0	263	high	13	OSD-686	17737.509765625	0.8050614654606066
0	263	high	14	OSD-322	15193.693359375	0.6291262810427036
0	263	high	15	OSD-294	15137.1845703125	0.6252180256353886
0	263	high	16	OSD-512	8475.6025390625	0.1644903330615812
0	263	high	17	OSD-164	7732.61962890625	0.11310422084195447
0	263	high	18	OSD-248	3149.1025390625	-0.20390054510852465
0	263	high	19	OSD-163	3102.66455078125	-0.20711228476559454
0	263	high	20	OSD-771	2950.151611328125	-0.21766036994299828
0	263	low	1	OSD-289	66.34199523925781	-0.41711013187792245
0	263	low	2	OSD-420	72.69962310791016	-0.4166704262337637
0	263	low	3	OSD-426	75.05091094970703	-0.41650780669131177
0	263	low	4	OSD-419	75.95057678222656	-0.41644558408995974
0	263	low	5	OSD-955	82.63907623291016	-0.4159829947374248
0	263	low	6	OSD-421	105.7157745361328	-0.41438696635984273
0	263	low	7	OSD-288	124.79340362548828	-0.41306752122070234
0	263	low	8	OSD-255	134.2362060546875	-0.4124144390317829
0	263	low	9	OSD-202	137.9969482421875	-0.41215433894410347
0	263	low	10	OSD-141	146.60531616210938	-0.4115589678340628
0	263	low	11	OSD-714	152.275390625	-0.41116681469209826
0	263	low	12	OSD-876	160.34811401367188	-0.41060848977735553
0	263	low	13	OSD-203	172.95187377929688	-0.40973678976265476
0	263	low	14	OSD-401	189.85899353027344	-0.40856746118058596
0	263	low	15	OSD-901	200.81622314453125	-0.4078096383250696
0	263	low	16	OSD-318	209.2352600097656	-0.4072273617111336
0	263	low	17	OSD-792	218.20118713378903	-0.4066072611259786
0	263	low	18	OSD-719	220.9364471435547	-0.4064180853375582
0	263	low	19	OSD-201	273.2481689453125	-0.40280010709046543
0	263	low	20	OSD-599	281.4397888183594	-0.4022335590685622
6	417	high	1	OSD-163	22359.611328125	5.222838348463698
6	417	high	2	OSD-771	21038.484375	4.879722631994982
6	417	high	3	OSD-253	19897.611328125	4.583421453707444
6	417	high	4	OSD-513	13018.92578125	2.7969276468887827
6	417	high	5	OSD-102	11987.41015625	2.5290281676726747
6	417	high	6	OSD-273	8223.0693359375	1.551374585979567
6	417	high	7	OSD-463	7069.43017578125	1.2517578640233025
6	417	high	8	OSD-168	6738.95751953125	1.1659293507571666
6	417	high	9	OSD-245	5626.2138671875	0.8769337817720433
6	417	high	10	OSD-137	5385.822265625	0.8145006171105581
6	417	high	11	OSD-161	4264.4033203125	0.5232519494693911
6	417	high	12	OSD-512	4004.78369140625	0.4558249888954652
6	417	high	13	OSD-235	3745.049072265625	0.3883681636998531
6	417	high	14	OSD-173	3652.966796875	0.36445306922691906
6	417	high	15	OSD-379	3600.227294921875	0.35075586022210237
6	417	high	16	OSD-49	3497.137451171875	0.32398194154966836
6	417	high	17	OSD-47	3291.620361328125	0.27060619036882644
6	417	high	18	OSD-242	2817.85693359375	0.1475629979191947
6	417	high	19	OSD-162	2742.593505859375	0.12801600066061392
6	417	high	20	OSD-900	2508.972900390625	0.06734136130240749
6	417	low	1	OSD-289	120.2362060546875	-0.5530479967327696
6	417	low	2	OSD-955	136.23814392089844	-0.5488920627683118
6	417	low	3	OSD-421	142.8946075439453	-0.5471632831988941
6	417	low	4	OSD-420	144.8263702392578	-0.5466615765766184
6	417	low	5	OSD-419	162.34652709960938	-0.542111339251156
6	417	low	6	OSD-719	176.90235900878906	-0.5383309798523088
6	417	low	7	OSD-288	203.87530517578125	-0.5313257168626557
6	417	low	8	OSD-255	204.96926879882812	-0.5310415987380315
6	417	low	9	OSD-876	244.6949005126953	-0.5207242794558579
6	417	low	10	OSD-141	250.581298828125	-0.5191954969488918
6	417	low	11	OSD-714	261.0464782714844	-0.5164775389705246
6	417	low	12	OSD-203	268.0331726074219	-0.5146629937240192
6	417	low	13	OSD-426	274.81427001953125	-0.5129018449627314
6	417	low	14	OSD-318	279.8551940917969	-0.5115926443059523
6	417	low	15	OSD-202	306.19378662109375	-0.5047521321015115
6	417	low	16	OSD-401	330.56634521484375	-0.4984222272545251
6	417	low	17	OSD-308	353.424072265625	-0.492485745998637
6	417	low	18	OSD-690	387.7503356933594	-0.48357072050328886
6	417	low	19	OSD-201	408.81207275390625	-0.47810068374072684
6	417	low	20	OSD-214	424.7064514160156	-0.4739726844522597
8	789	high	1	OSD-525	14473.869140625	4.963842682962744
8	789	high	2	OSD-612	10453.888671875	3.2932058285042474
8	789	high	3	OSD-613	10010.9619140625	3.1091328532299505
8	789	high	4	OSD-563	9428.720703125	2.8671631141383593
8	789	high	5	OSD-758	8756.7099609375	2.58788665465856
8	789	high	6	OSD-564	7951.73974609375	2.253354455282599
8	789	high	7	OSD-194	7135.884765625	1.9142987288033035
8	789	high	8	OSD-352	6659.72509765625	1.7164147101869969
8	789	high	9	OSD-161	6315.0146484375	1.5731587951250865
8	789	high	10	OSD-162	6211.21826171875	1.5300227474850616
8	789	high	11	OSD-759	5018.97314453125	1.0345455560396581
8	789	high	12	OSD-512	4853.02001953125	0.9655782043590251
8	789	high	13	OSD-561	4722.5400390625	0.9113529000734298
8	789	high	14	OSD-163	4174.83642578125	0.6837364106947487
8	789	high	15	OSD-562	4004.350341796875	0.612885236841865
8	789	high	16	OSD-666	3977.62646484375	0.6017792391687501
8	789	high	17	OSD-100	3874.116943359375	0.5587624079369976
8	789	high	18	OSD-464	3767.747314453125	0.5145569637495755
8	789	high	19	OSD-236	3646.43505859375	0.4641416129508215
8	789	high	20	OSD-99	3602.205810546875	0.44576067493221666
