library	gene_cluster	term	description	overlap	cluster_genes_in_universe	term_genes_in_universe	universe_genes	p_value	enrichment_ratio	overlap_genes	fdr_bh
reactome	0	REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	28	771	82	5218	8.114110978314465e-06	2.3109677011167005	ENSMUSG00000000154,ENSMUSG00000007034,ENSMUSG00000010122,ENSMUSG00000011034,ENSMUSG00000018459,ENSMUSG00000018566,ENSMUSG00000018900,ENSMUSG00000020102,ENSMUSG00000021612,ENSMUSG00000023829,ENSMUSG00000024650,ENSMUSG00000025243,ENSMUSG00000027690,ENSMUSG00000028645,ENSMUSG00000028976,ENSMUSG00000029700,ENSMUSG00000030549,ENSMUSG00000030781,ENSMUSG00000031209,ENSMUSG00000037434,ENSMUSG00000040966,ENSMUSG00000046822,ENSMUSG00000053897,ENSMUSG00000061742,ENSMUSG00000063354,ENSMUSG00000063796,ENSMUSG00000066150,ENSMUSG00000067144	0.0013350445557463097
reactome	0	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	58	771	226	5218	8.421754249628426e-06	1.736877747552311	ENSMUSG00000000154,ENSMUSG00000000958,ENSMUSG00000006576,ENSMUSG00000007034,ENSMUSG00000010122,ENSMUSG00000011034,ENSMUSG00000017765,ENSMUSG00000018459,ENSMUSG00000018566,ENSMUSG00000018900,ENSMUSG00000019838,ENSMUSG00000020062,ENSMUSG00000020102,ENSMUSG00000020264,ENSMUSG00000021335,ENSMUSG00000021612,ENSMUSG00000022180,ENSMUSG00000022899,ENSMUSG00000023829,ENSMUSG00000024131,ENSMUSG00000024650,ENSMUSG00000024935,ENSMUSG00000025243,ENSMUSG00000025557,ENSMUSG00000025790,ENSMUSG00000027690,ENSMUSG00000027737,ENSMUSG00000027822,ENSMUSG00000028293,ENSMUSG00000028521,ENSMUSG00000028645,ENSMUSG00000028962,ENSMUSG00000028976,ENSMUSG00000029700,ENSMUSG00000030492,ENSMUSG00000030549,ENSMUSG00000030781,ENSMUSG00000031129,ENSMUSG00000031209,ENSMUSG00000032114,ENSMUSG00000032548,ENSMUSG00000036123,ENSMUSG00000037434,ENSMUSG00000037656,ENSMUSG00000039463,ENSMUSG00000040966,ENSMUSG00000041698,ENSMUSG00000046822,ENSMUSG00000046959,ENSMUSG00000049922,ENSMUSG00000053897,ENSMUSG00000061742,ENSMUSG00000063354,ENSMUSG00000063796,ENSMUSG00000066150,ENSMUSG00000067144,ENSMUSG00000078650,ENSMUSG00000079262	0.0013350445557463097
reactome	0	REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	87	771	382	5218	9.84062326102931e-06	1.5413653309430195	ENSMUSG00000000154,ENSMUSG00000000958,ENSMUSG00000005580,ENSMUSG00000006576,ENSMUSG00000007034,ENSMUSG00000010122,ENSMUSG00000011034,ENSMUSG00000015575,ENSMUSG00000017765,ENSMUSG00000018459,ENSMUSG00000018566,ENSMUSG00000018900,ENSMUSG00000019838,ENSMUSG00000020062,ENSMUSG00000020102,ENSMUSG00000020264,ENSMUSG00000020620,ENSMUSG00000020654,ENSMUSG00000021335,ENSMUSG00000021612,ENSMUSG00000022180,ENSMUSG00000022295,ENSMUSG00000022899,ENSMUSG00000023013,ENSMUSG00000023088,ENSMUSG00000023829,ENSMUSG00000024131,ENSMUSG00000024650,ENSMUSG00000024935,ENSMUSG00000025243,ENSMUSG00000025324,ENSMUSG00000025557,ENSMUSG00000025790,ENSMUSG00000025885,ENSMUSG00000026198,ENSMUSG00000027690,ENSMUSG00000027737,ENSMUSG00000027822,ENSMUSG00000028293,ENSMUSG00000028435,ENSMUSG00000028521,ENSMUSG00000028645,ENSMUSG00000028962,ENSMUSG00000028976,ENSMUSG00000029663,ENSMUSG00000029700,ENSMUSG00000030249,ENSMUSG00000030492,ENSMUSG00000030549,ENSMUSG00000030762,ENSMUSG00000030781,ENSMUSG00000031129,ENSMUSG00000031209,ENSMUSG00000031974,ENSMUSG00000032114,ENSMUSG00000032192,ENSMUSG00000032548,ENSMUSG00000032849,ENSMUSG00000033792,ENSMUSG00000033793,ENSMUSG00000036123,ENSMUSG00000037434,ENSMUSG00000037656,ENSMUSG00000038600,ENSMUSG00000038607,ENSMUSG00000039463,ENSMUSG00000039529,ENSMUSG00000040966,ENSMUSG00000041301,ENSMUSG00000041698,ENSMUSG00000041797,ENSMUSG00000044217,ENSMUSG00000046822,ENSMUSG00000046959,ENSMUSG00000049922,ENSMUSG00000050296,ENSMUSG00000053897,ENSMUSG00000055415,ENSMUSG00000055782,ENSMUSG00000061742,ENSMUSG00000062949,ENSMUSG00000063354,ENSMUSG00000063796,ENSMUSG00000066150,ENSMUSG00000067144,ENSMUSG00000078650,ENSMUSG00000079262	0.0013350445557463097
reactome	0	REACTOME_COLLAGEN_FORMATION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_COLLAGEN_FORMATION	18	771	45	5218	3.089589063655072e-05	2.7071335927367057	ENSMUSG00000004098,ENSMUSG00000004846,ENSMUSG00000015354,ENSMUSG00000019055,ENSMUSG00000020241,ENSMUSG00000022098,ENSMUSG00000024330,ENSMUSG00000026837,ENSMUSG00000027966,ENSMUSG00000028339,ENSMUSG00000031274,ENSMUSG00000032374,ENSMUSG00000036545,ENSMUSG00000040690,ENSMUSG00000045672,ENSMUSG00000067158,ENSMUSG00000068196,ENSMUSG00000079465	0.0031436568722690355
reactome	0	REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	18	771	46	5218	4.386271896359638e-05	2.648282862459821	ENSMUSG00000000440,ENSMUSG00000001288,ENSMUSG00000002108,ENSMUSG00000002250,ENSMUSG00000020889,ENSMUSG00000021255,ENSMUSG00000021779,ENSMUSG00000022383,ENSMUSG00000022479,ENSMUSG00000026610,ENSMUSG00000026751,ENSMUSG00000028150,ENSMUSG00000028341,ENSMUSG00000031618,ENSMUSG00000032292,ENSMUSG00000036192,ENSMUSG00000037992,ENSMUSG00000046532	0.0035704253236367453
reactome	0	REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	8	771	12	5218	6.250494323649578e-05	4.511889321227843	ENSMUSG00000000154,ENSMUSG00000018900,ENSMUSG00000023829,ENSMUSG00000024650,ENSMUSG00000040966,ENSMUSG00000061742,ENSMUSG00000063796,ENSMUSG00000067144	0.004239918649542297
reactome	0	REACTOME_TIGHT_JUNCTION_INTERACTIONS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TIGHT_JUNCTION_INTERACTIONS	12	771	26	5218	0.00012998187992472996	3.123615683926968	ENSMUSG00000018569,ENSMUSG00000022132,ENSMUSG00000022512,ENSMUSG00000025812,ENSMUSG00000032473,ENSMUSG00000038235,ENSMUSG00000041378,ENSMUSG00000046798,ENSMUSG00000047230,ENSMUSG00000047501,ENSMUSG00000050520,ENSMUSG00000070473	0.0075575178756235855
reactome	0	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	26	771	90	5218	0.000393109989826598	1.9551520391987318	ENSMUSG00000000957,ENSMUSG00000004098,ENSMUSG00000004846,ENSMUSG00000005800,ENSMUSG00000015354,ENSMUSG00000017737,ENSMUSG00000019055,ENSMUSG00000020241,ENSMUSG00000022098,ENSMUSG00000024330,ENSMUSG00000026837,ENSMUSG00000027966,ENSMUSG00000028339,ENSMUSG00000031274,ENSMUSG00000031740,ENSMUSG00000031790,ENSMUSG00000032374,ENSMUSG00000036545,ENSMUSG00000036938,ENSMUSG00000040690,ENSMUSG00000043613,ENSMUSG00000045672,ENSMUSG00000050578,ENSMUSG00000067158,ENSMUSG00000068196,ENSMUSG00000079465	0.019999470732428175
reactome	0	REACTOME_CELL_JUNCTION_ORGANIZATION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CELL_JUNCTION_ORGANIZATION	20	771	66	5218	0.000933849820971747	2.0508587823762925	ENSMUSG00000006219,ENSMUSG00000018569,ENSMUSG00000022132,ENSMUSG00000022438,ENSMUSG00000022512,ENSMUSG00000024421,ENSMUSG00000025812,ENSMUSG00000026479,ENSMUSG00000026639,ENSMUSG00000031673,ENSMUSG00000031841,ENSMUSG00000031871,ENSMUSG00000032473,ENSMUSG00000038235,ENSMUSG00000041378,ENSMUSG00000046798,ENSMUSG00000047230,ENSMUSG00000047501,ENSMUSG00000050520,ENSMUSG00000070473	0.04223076412616678
reactome	0	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	8	771	17	5218	0.0015410189116172959	3.1848630502784774	ENSMUSG00000000340,ENSMUSG00000021646,ENSMUSG00000025260,ENSMUSG00000027709,ENSMUSG00000030826,ENSMUSG00000031969,ENSMUSG00000032263,ENSMUSG00000041426	0.06271946970282394
