gene_cluster	n_genes	direction	rank	study.source name	n_profiles	mean_expression	z_score_across_sources
0	2574	high	1	RRRM-2_BL_LAR_01	2	7254.48974609375	7.715071201324463
0	2574	high	2	RR-4_NSG3-W	1	4614.8662109375	4.304303169250488
0	2574	high	3	GCRerun_26	1	4407.08740234375	4.035823345184326
0	2574	high	4	RR3_BSL_B5	2	4019.9931640625	3.5356428623199463
0	2574	high	5	MHU-8_FLT21	2	3893.56396484375	3.3722784519195557
0	2574	high	6	MHU-8_HGC10	2	3754.961181640625	3.193183660507202
0	2574	high	7	GCRerun_34	1	3690.51708984375	3.109912872314453
0	2574	high	8	MHU-8_FLT12	2	3653.101318359375	3.061566114425659
0	2574	high	9	MHU-8_FLT18	2	3643.722900390625	3.049448013305664
0	2574	high	10	GCRerun_27	1	3641.654296875	3.0467753410339355
0	2574	high	11	MHU-8_FLT14	2	3568.12646484375	2.9517669677734375
0	2574	high	12	GCRerun_28	1	3566.171630859375	2.9492406845092773
0	2574	high	13	MHU-8_FLT20	2	3552.283935546875	2.931295871734619
0	2574	high	14	GCRerun_20	1	3548.257568359375	2.926093101501465
0	2574	high	15	MHU-8_FLT03	2	3546.77197265625	2.9241738319396973
0	2574	high	16	MHU-8_HGC03	2	3457.95458984375	2.8094091415405273
0	2574	high	17	MHU-8_FLT10	2	3445.09716796875	2.7927956581115723
0	2574	high	18	GCRerun_08	1	3418.776123046875	2.758784770965576
0	2574	high	19	RR3_GC_G4	3	3417.428955078125	2.7570440769195557
0	2574	high	20	GCRerun_21	1	3367.0078125	2.6918931007385254
0	2574	low	1	EU190	1	15.35314655303955	-1.6389204263687134
0	2574	low	2	A1402_2JR - CAPE17	1	20.92152214050293	-1.6317253112792969
0	2574	low	3	EU183	1	100.44677734375	-1.5289673805236816
0	2574	low	4	EU230	1	131.73037719726562	-1.4885445833206177
0	2574	low	5	EU231	1	132.3756866455078	-1.48771071434021
0	2574	low	6	EU191	1	136.9013214111328	-1.4818629026412964
0	2574	low	7	EU226	1	148.88888549804688	-1.466373324394226
0	2574	low	8	A1402_3AL - GAMMA10	1	150.75485229492188	-1.463962197303772
0	2574	low	9	RR-10_VIV-07	1	167.26535034179688	-1.442628264427185
0	2574	low	10	EU236	1	168.240478515625	-1.4413683414459229
0	2574	low	11	EU181	1	179.11033630371094	-1.4273229837417603
0	2574	low	12	MMS_3d_3	1	194.12393188476562	-1.4079233407974243
0	2574	low	13	RR-10_BL-18	1	198.86325073242188	-1.4017993211746216
0	2574	low	14	EU228	1	199.1083984375	-1.4014825820922852
0	2574	low	15	control_8w_3	1	203.6927032470703	-1.3955589532852173
0	2574	low	16	MMS_1d_2	1	207.79409790039062	-1.3902595043182373
0	2574	low	17	NA	12	209.20729064941406	-1.3884334564208984
0	2574	low	18	EU184	1	211.18142700195312	-1.3858826160430908
0	2574	low	19	A1402_1FR - SHAM21	1	211.6829833984375	-1.3852344751358032
0	2574	low	20	EU187	1	220.5326385498047	-1.3737995624542236
1	1802	high	1	RRRM-2_BL_LAR_01	2	1729.1741943359375	5.8034844398498535
1	1802	high	2	RR-4_NSG3-W	1	1495.9189453125	4.786573886871338
1	1802	high	3	MHU-8_FLT12	2	1280.3751220703125	3.846879005432129
1	1802	high	4	MHU-8_FLT21	2	1265.274169921875	3.7810442447662354
1	1802	high	5	MHU-8_HGC10	2	1265.2506103515625	3.7809414863586426
1	1802	high	6	MHU-8_FLT20	2	1245.68896484375	3.695659637451172
1	1802	high	7	control 1_3	1	1233.3507080078125	3.641869306564331
1	1802	high	8	MHU-8_FLT14	2	1208.0599365234375	3.5316104888916016
1	1802	high	9	RRRM-2_FL_ISS_16	1	1192.74755859375	3.4648537635803223
1	1802	high	10	MHU-8_FLT03	2	1177.672607421875	3.399132490158081
1	1802	high	11	MHU-8_FLT18	2	1170.2957763671875	3.366971969604492
1	1802	high	12	RR3_BSL_B10	1	1164.0360107421875	3.339681625366211
1	1802	high	13	MHU-8_HGC03	2	1161.3896484375	3.3281445503234863
1	1802	high	14	MHU-8_HGC04	2	1138.537841796875	3.2285187244415283
1	1802	high	15	MHU-8_HGC02	2	1130.971435546875	3.1955318450927734
1	1802	high	16	micro-gravity R1_2	1	1127.04833984375	3.1784284114837646
1	1802	high	17	MHU-8_HGC05	2	1115.2410888671875	3.126953125
1	1802	high	18	MHU-8_FLT15	2	1107.95361328125	3.095182180404663
1	1802	high	19	MHU-8_FLT10	2	1103.506591796875	3.0757946968078613
1	1802	high	20	MHU-8_HGC08	2	1103.2916259765625	3.074857473373413
1	1802	low	1	A1402_2JR - CAPE17	1	8.122641563415527	-1.6996923685073853
1	1802	low	2	EU190	1	17.35682487487793	-1.6594346761703491
1	1802	low	3	EU183	1	35.991119384765625	-1.5781956911087036
1	1802	low	4	EU231	1	38.683128356933594	-1.5664594173431396
1	1802	low	5	EU230	1	41.406768798828125	-1.554585337638855
1	1802	low	6	EU236	1	44.17036437988281	-1.542536973953247
1	1802	low	7	EU191	1	49.1759147644043	-1.5207146406173706
1	1802	low	8	MMS_3d_3	1	51.472808837890625	-1.5107009410858154
1	1802	low	9	RR-10_VIV-07	1	52.147613525390625	-1.5077590942382812
1	1802	low	10	EU226	1	56.05327224731445	-1.4907317161560059
1	1802	low	11	control_8w_1	1	61.07991027832031	-1.4688173532485962
1	1802	low	12	control_10w_1	1	67.64039611816406	-1.4402159452438354
1	1802	low	13	MMS_1d_2	1	68.3412857055664	-1.4371603727340698
1	1802	low	14	RR-10_BL-18	1	68.77247619628906	-1.435280442237854
1	1802	low	15	control_8w_3	1	70.69755554199219	-1.4268878698349
1	1802	low	16	20	1	70.72586059570312	-1.4267644882202148
1	1802	low	17	EU181	1	70.7469482421875	-1.4266724586486816
1	1802	low	18	EU228	1	72.10932159423828	-1.420733094215393
1	1802	low	19	MHU4_PG1	1	72.68646240234375	-1.4182169437408447
1	1802	low	20	MMS_1d_3	1	72.8579330444336	-1.4174692630767822
2	1954	high	1	RR-10_BL-13	1	5.577277183532715	6.324830532073975
2	1954	high	2	MHU-8_FLT07	2	4.8753838539123535	5.373008728027344
2	1954	high	3	28Si Irradiated_4 months [A12_S47]	1	4.83469820022583	5.317835807800293
2	1954	high	4	MHU-8_FLT09	2	4.7111053466796875	5.150234222412109
2	1954	high	5	LAR Baseline 3 	1	4.537359237670898	4.914620876312256
2	1954	high	6	MHU-8_FLT05	2	4.47594690322876	4.83134126663208
2	1954	high	7	MMS_1d_1	1	4.473387718200684	4.827870845794678
2	1954	high	8	MHU-8_FLT11	2	4.346980571746826	4.6564531326293945
2	1954	high	9	RR-4_NSG3-W	1	4.32395076751709	4.625222682952881
2	1954	high	10	MHU-8_HGC10	2	4.256908893585205	4.534308910369873
2	1954	high	11	MHU-8_HGC09	2	4.232855796813965	4.501690864562988
2	1954	high	12	MHU-8_FLT20	2	4.161207675933838	4.4045305252075195
2	1954	high	13	MHU-8_FLT10	2	4.14841365814209	4.387180805206299
2	1954	high	14	MHU-8_FLT13	2	4.119498252868652	4.3479695320129395
2	1954	high	15	MHU-8_HGC04	2	4.085721492767334	4.302165508270264
2	1954	high	16	MHU-8_FLT12	2	4.051433086395264	4.255667686462402
2	1954	high	17	MHU-8_FLT24	2	4.015097141265869	4.206393241882324
2	1954	high	18	MHU-8_FLT17	2	3.9762024879455566	4.15364933013916
2	1954	high	19	MHU-8_HGC03	2	3.9657111167907715	4.1394219398498535
2	1954	high	20	28Si Irradiated_2 months [A7_S44]	1	3.902763605117798	4.054060459136963
2	1954	low	1	A1402_2JR - CAPE17	1	0.00870010256767273	-1.226590633392334
2	1954	low	2	A1402_4PR- CAPEg7	1	0.07778915017843246	-1.132900595664978
2	1954	low	3	A1402_1DL - SHAM20	1	0.08137154579162598	-1.1280425786972046
2	1954	low	4	A1402_4NR - CAPEg8	1	0.08137154579162598	-1.1280425786972046
2	1954	low	5	A1402_2OL - CAPE18	1	0.08290685713291168	-1.1259605884552002
2	1954	low	6	A1402_4OL - CAPEg9	1	0.10593654215335846	-1.0947306156158447
2	1954	low	7	A1402_1OL - SHAM23	1	0.11207778751850128	-1.0864026546478271
2	1954	low	8	A1402_1CR - SHAM19	1	0.11310133337974548	-1.0850145816802979
2	1954	low	9	A1402_4GL - CAPEg4	1	0.116683728992939	-1.0801565647125244
