gene_cluster	n_genes	direction	rank	id.accession	mean_expression	z_score_across_studies
0	2574	high	1	OSD-758	3653.0212	2.8909007469744896
0	2574	high	2	OSD-162	3509.9644	2.7134807058900567
0	2574	high	3	OSD-163	3311.5386	2.467391644844294
0	2574	high	4	OSD-161	3035.0146	2.124444651476404
0	2574	high	5	OSD-771	2961.0457	2.032707905813351
0	2574	high	6	OSD-253	2821.5076	1.8596517810094706
0	2574	high	7	OSD-194	2715.881	1.7286529350153692
0	2574	high	8	OSD-512	2708.154	1.7190698557247701
0	2574	high	9	OSD-273	2618.8025	1.6082555022584846
0	2574	high	10	OSD-759	2611.4546	1.5991425854318517
0	2574	high	11	OSD-464	2435.4543	1.3808657858887856
0	2574	high	12	OSD-274	2350.563	1.2755830035693791
0	2574	high	13	OSD-99	2349.2778	1.273989089565978
0	2574	high	14	OSD-900	2348.9346	1.2735634505323903
0	2574	high	15	OSD-247	2255.514	1.1577025708668844
0	2574	high	16	OSD-236	2234.7632	1.1319672839840877
0	2574	high	17	OSD-100	2125.5698	0.996544867753969
0	2574	high	18	OSD-463	2104.5159	0.9704336741372546
0	2574	high	19	OSD-168	2059.0166	0.9140051249504078
0	2574	high	20	OSD-270	2035.3099	0.8846039102722077
0	2574	low	1	OSD-420	209.01492	-1.3803798610961795
0	2574	low	2	OSD-426	223.1602	-1.362836786186418
0	2574	low	3	OSD-719	229.85237	-1.3545371102790578
0	2574	low	4	OSD-289	237.20337	-1.3454203488108043
0	2574	low	5	OSD-955	241.17326	-1.3404968635455063
0	2574	low	6	OSD-288	247.60321	-1.3325223947109537
0	2574	low	7	OSD-141	281.2833	-1.290752112197103
0	2574	low	8	OSD-421	306.5392	-1.259429568874281
0	2574	low	9	OSD-202	312.55768	-1.2519654080034532
0	2574	low	10	OSD-318	338.72845	-1.2195082365260312
0	2574	low	11	OSD-419	380.57858	-1.1676054134236773
0	2574	low	12	OSD-201	402.70416	-1.14016511479672
