gene_cluster	n_genes	id.accession	tissue_inferred	flight	ground_control	n_flight_samples	n_ground_samples	flight_minus_ground	log2_flight_ground_ratio
0	2574	OSD-100	eye	2175.0898	2076.0498	6	6	99.04004	0.06720226
0	2574	OSD-101	skeletal_muscle	1288.3712	1333.6161	6	6	-45.244873	-0.04975711
0	2574	OSD-102	kidney	1998.6748	1896.7075	6	6	101.967285	0.075507715
0	2574	OSD-103	skeletal_muscle	1268.253	1367.7445	6	6	-99.491455	-0.10887343
0	2574	OSD-104	skeletal_muscle	1793.7194	2094.1736	6	6	-300.45422	-0.22331145
0	2574	OSD-105	skeletal_muscle	1520.1382	1426.7184	6	6	93.4198	0.09143975
0	2574	OSD-137	liver	1489.0812	1808.9297	6	6	-319.8485	-0.28054276
0	2574	OSD-161	adrenal_gland	2980.8066	3109.5366	5	5	-128.72998	-0.06097675
0	2574	OSD-162	eye	3315.2188	3431.3406	5	5	-116.121826	-0.04965351
0	2574	OSD-163	kidney	3349.0283	3029.5818	6	6	319.44653	0.14457859
0	2574	OSD-164	liver	621.7774	676.17914	1	3	-54.401733	-0.12082091
0	2574	OSD-164	spleen	529.5374	499.4899	3	3	30.047516	0.08411351
0	2574	OSD-168	liver	1890.1722	2186.201	14	14	-296.0287	-0.20980495
0	2574	OSD-173	liver	1080.8597	1120.3123	2	2	-39.452515	-0.051674657
0	2574	OSD-194	retina	2663.9246	2811.5713	5	4	-147.64673	-0.077795
0	2574	OSD-238	skin	1422.0356	1458.4999	12	6	-36.464233	-0.036502294
0	2574	OSD-239	skin	1532.0359	1427.5352	11	6	104.50073	0.101855
0	2574	OSD-240	skin	1501.2085	1667.4336	10	10	-166.2251	-0.15140924
0	2574	OSD-241	skin	1662.3334	1592.7795	9	10	69.55383	0.061625324
0	2574	OSD-242	liver	1080.0385	1041.0173	5	4	39.02112	0.053038597
0	2574	OSD-243	skin	1701.9657	1780.2139	18	19	-78.24817	-0.064811386
0	2574	OSD-244	thymus	1538.4705	1154.4119	19	19	384.0586	0.41402698
0	2574	OSD-245	liver	1755.3484	1635.6865	20	19	119.661865	0.10180099
0	2574	OSD-246	spleen	1007.65906	1019.7024	15	16	-12.043335	-0.017123634
0	2574	OSD-247	colon	2198.3784	2244.9001	19	17	-46.52173	-0.030197902
0	2574	OSD-248	lung	2015.9427	2017.6885	20	19	-1.7457275	-0.001248188
