gene_cluster	n_paired_strata	mean_log2_flight_ground_ratio	median_log2_flight_ground_ratio	mean_flight_minus_ground	positive_strata	negative_strata	wilcoxon_p_value	sign_test_p_value	wilcoxon_fdr_bh	sign_test_fdr_bh
0	62	-0.0037421440544177687	-0.03616352938115597	14.644905090332031	25	37	0.7128125861059	0.16188140552559763	0.9692404747631654	0.6070552707209911
1	62	-0.01534920713053115	-0.039735790342092514	-1.428477168083191	25	37	0.5349418378891201	0.16188140552559763	0.9692404747631654	0.6070552707209911
2	62	0.028275688644498587	0.01893249899148941	0.037966419011354446	38	24	0.10161259177864337	0.09795444051950736	0.7620944383398253	0.6070552707209911
3	62	0.020086148319082456	0.011293247109279037	1.026063084602356	33	29	0.4180672372998593	0.7035366713552733	0.9692404747631654	0.7537892907377929
4	62	-0.0024016171979207184	-0.02822921797633171	2.1767637729644775	26	36	0.8801823396256103	0.25285439418811073	0.9692404747631654	0.7537892907377929
5	62	0.016828572937107135	-0.005859215860255063	101.04054260253906	30	32	0.6612470577779092	0.8990763136528589	0.9692404747631654	0.8990763136528589
6	62	0.003822181351302612	-0.024953055195510387	79.135986328125	29	33	0.9413157266790951	0.7035366713552733	0.9692404747631654	0.7537892907377929
7	62	-0.01730991691170681	-0.02126673236489296	-90.20414733886719	28	34	0.3751323397844224	0.52577336017565	0.9692404747631654	0.7537892907377929
8	62	-0.008077945548950905	-0.010895975399762392	-15.896780014038086	29	33	0.9692404747631654	0.7035366713552733	0.9692404747631654	0.7537892907377929
9	62	0.01427047350819433	-0.01266408758237958	2.061462879180908	28	34	0.6714418946485285	0.52577336017565	0.9692404747631654	0.7537892907377929
10	62	0.04820821724546653	0.0203013364225626	0.2730299234390259	40	22	0.05341499355045047	0.030015864349067285	0.7620944383398253	0.4502379652360093
11	62	-0.002596647726492055	-0.029506749473512173	12.314138412475586	27	35	0.9413157266790951	0.37415171240479483	0.9692404747631654	0.7537892907377929
12	62	0.055220056505453204	0.022807123139500618	-241.99334716796875	33	29	0.18865237146170322	0.7035366713552733	0.943261857308516	0.7537892907377929
13	62	0.0038341506714782408	-0.016552335117012262	10.957563400268555	27	35	0.874654473479206	0.37415171240479483	0.9692404747631654	0.7537892907377929
14	62	-0.016224624168488286	-0.022027216851711273	-5.028141975402832	28	34	0.8252101627630231	0.52577336017565	0.9692404747631654	0.7537892907377929
