gene_cluster	tissue_inferred	n_paired_strata	mean_log2_flight_ground_ratio	median_log2_flight_ground_ratio	mean_flight_minus_ground	positive_strata	negative_strata	wilcoxon_p_value	sign_test_p_value	wilcoxon_fdr_bh	sign_test_fdr_bh
0	adrenal_gland	3	0.010041208316882452	-0.035824764519929886	-6.863443851470947	1	2	1.0	1.0	1.0	1.0
0	brain	3	-0.17162598421176276	-0.09428156167268753	-151.54664611816406	1	2	0.75	1.0	1.0	1.0
0	cecum	1	1.1705715656280518	1.1705715656280518	446.147705078125	1	0				
0	cerebellum	3	0.10424737570186456	0.0785137340426445	63.71834182739258	2	1	0.5	1.0	1.0	1.0
0	colon	2	0.07101438287645578	0.07101438287645578	68.29718017578125	1	1				
0	eye	2	0.008774375542998314	0.008774375542998314	-8.5408935546875	1	1				
0	heart	2	0.3876546900719404	0.3876546900719404	509.81494140625	1	1				
0	hippocampus	2	0.3812878131866455	0.3812878131866455	310.44488525390625	2	0				
0	kidney	5	0.08287494061514736	0.07550771534442902	162.2522735595703	4	1	0.125	0.375	0.9375	1.0
0	liver	10	-0.10719814337790012	-0.08624778315424919	-95.75138854980469	2	8	0.064453125	0.109375	0.7436899038461539	1.0
0	lung	3	-0.0499522933193172	-0.0687454342842102	-85.68990325927734	0	3	0.25	0.25	0.9375	1.0
0	mammary_gland	1	0.45888766646385193	0.45888766646385193	509.3511962890625	1	0				
0	retina	1	-0.07779499888420105	-0.07779499888420105	-147.646728515625	0	1				
0	skeletal_muscle	10	-0.030308053269982337	-0.050789372995495796	-48.591712951660156	4	6	0.375	0.75390625	1.0	1.0
0	skin	6	-0.03999143342177073	-0.050656840205192566	-44.04762649536133	2	4	0.4375	0.6875	1.0	1.0
0	spleen	5	0.014144067093729973	-0.0171236339956522	21.28236961364746	2	3	1.0	1.0	1.0	1.0
0	thymus	4	-0.4942593388259411	-0.2820839509367943	-79.45719146728516	1	3	0.625	0.625	1.0	1.0
1	adrenal_gland	3	0.027594923973083496	-0.007877375930547714	5.506856441497803	1	2	1.0	1.0	1.0	1.0
1	brain	3	-0.17442949364582697	-0.10624437779188156	-63.73866653442383	1	2	0.75	1.0	1.0	1.0
1	cecum	1	1.0005416870117188	1.0005416870117188	119.43801879882812	1	0				
1	cerebellum	3	0.12635082627336183	0.10487128794193268	33.845001220703125	2	1	0.5	1.0	1.0	1.0
1	colon	2	0.01787664368748665	0.01787664368748665	3.9611663818359375	1	1				
1	eye	2	-0.04268403723835945	-0.04268403723835945	-41.939178466796875	1	1				
1	heart	2	0.38581447675824165	0.38581447675824165	124.46771240234375	1	1				
1	hippocampus	2	0.4063211753964424	0.4063211753964424	145.81410217285156	2	0				
1	kidney	5	0.07046411614865064	0.0536014586687088	29.67070960998535	5	0	0.0625	0.0625	0.7436899038461539	1.0
1	liver	10	-0.11531026419252158	-0.1004256010055542	-29.247711181640625	1	9	0.01953125	0.021484375	0.7436899038461539	0.8056640625
1	lung	3	-0.053455040169258915	-0.039349645376205444	-25.46195411682129	0	3	0.25	0.25	0.9375	1.0
1	mammary_gland	1	0.3739061951637268	0.3739061951637268	131.21075439453125	1	0				
1	retina	1	-0.08974604308605194	-0.08974604308605194	-67.6708984375	0	1				
1	skeletal_muscle	10	-0.03738540625199675	-0.05904567614197731	-12.704864501953125	3	7	0.232421875	0.34375	0.9375	1.0
1	skin	6	-0.041935733829935394	-0.08029942587018013	-17.7633056640625	2	4	0.4375	0.6875	1.0	1.0
1	spleen	5	-0.007470732927322388	-0.041000351309776306	5.708641052246094	2	3	1.0	1.0	1.0	1.0
1	thymus	4	-0.5830944273620844	-0.34132450446486473	-69.72816467285156	1	3	0.375	0.625	1.0	1.0
2	adrenal_gland	3	0.01621057263885935	0.004796867724508047	0.0188104510307312	2	1	0.75	1.0	1.0	1.0
2	brain	3	-0.009226761758327484	0.07355894148349762	-0.01726754568517208	2	1	1.0	1.0	1.0	1.0
2	cecum	1	0.3898483216762543	0.3898483216762543	0.5655577778816223	1	0				
2	cerebellum	3	0.045382613937060036	0.05501990020275116	0.07087337970733643	3	0	0.25	0.25	0.9375	1.0
2	colon	2	0.005320089869201183	0.005320089869201183	0.006428778171539307	1	1				
2	eye	2	0.03698498010635376	0.03698498010635376	0.02836066484451294	1	1				
2	heart	2	0.15216147527098656	0.15216147527098656	0.14898927509784698	2	0				
2	hippocampus	2	0.13422013446688652	0.13422013446688652	0.22475269436836243	2	0				
2	kidney	5	-0.17495557814836502	0.03148600086569786	-0.5003005266189575	3	2	0.8125	1.0	1.0	1.0
2	liver	10	0.006479089800268412	-0.03194356430321932	0.039759546518325806	2	8	0.275390625	0.109375	0.9835379464285714	1.0
2	lung	3	-0.014006263886888822	0.01756148971617222	-0.044659573584795	2	1	1.0	1.0	1.0	1.0
2	mammary_gland	1	0.040534716099500656	0.040534716099500656	0.0479699969291687	1	0				
2	retina	1	0.04765547439455986	0.04765547439455986	0.11432957649230957	1	0				
2	skeletal_muscle	10	0.027911615185439588	0.02198956161737442	0.056306593120098114	7	3	0.4921875	0.34375	1.0	1.0
2	skin	6	-0.007410075670729081	-0.002819185610860586	-0.01156123448163271	3	3	0.84375	1.0	1.0	1.0
2	spleen	5	0.04476863178424537	0.002301526954397559	0.10040658712387085	3	2	0.625	1.0	1.0	1.0
