gene_cluster	n_genes		OSD-100	OSD-101	OSD-102	OSD-103	OSD-104	OSD-105	OSD-137	OSD-141	OSD-161	OSD-162	OSD-163	OSD-164	OSD-168	OSD-173	OSD-194	OSD-201	OSD-202	OSD-203	OSD-211	OSD-214	OSD-235	OSD-236	OSD-237	OSD-238	OSD-239	OSD-240	OSD-241	OSD-242	OSD-243	OSD-244	OSD-245	OSD-246	OSD-247	OSD-248	OSD-253	OSD-254	OSD-255	OSD-270	OSD-272	OSD-273	OSD-274	OSD-288	OSD-289	OSD-294	OSD-295	OSD-308	OSD-318	OSD-322	OSD-326	OSD-352	OSD-379	OSD-397	OSD-401	OSD-419	OSD-420	OSD-421	OSD-426	OSD-457	OSD-463	OSD-464	OSD-467	OSD-47	OSD-48	OSD-49	OSD-506	OSD-511	OSD-512	OSD-513	OSD-515	OSD-525	OSD-561	OSD-562	OSD-563	OSD-564	OSD-566	OSD-576	OSD-580	OSD-599	OSD-612	OSD-613	OSD-665	OSD-666	OSD-667	OSD-686	OSD-690	OSD-714	OSD-719	OSD-720	OSD-758	OSD-759	OSD-770	OSD-771	OSD-792	OSD-813	OSD-825	OSD-876	OSD-880	OSD-881	OSD-899	OSD-900	OSD-901	OSD-935	OSD-949	OSD-955	OSD-98	OSD-99
0	2574	209.20729	2125.5698	1310.9937	1947.691	1317.9988	1943.9464	1473.4282	1687.1255	281.2833	3035.0146	3509.9644	3311.5386	573.7396	2059.0166	1114.6055	2715.881	402.70416	312.55768	547.81866	930.2942	576.83093	1182.2683	2234.7632	1771.4646	1425.0433	1501.4215	1584.321	1625.7261	1010.925	1732.2045	1337.6119	1726.0819	1013.66	2255.514	2022.3578	2821.5076	1482.0854	442.97592	2035.3099	565.5558	2618.8025	2350.563	247.60321	237.20337	577.6004	1115.7698	1324.8445	338.72845	582.8323	1434.7148	1005.4722	1122.1008	1072.4658	571.52936	380.57858	209.01492	306.5392	223.1602	475.55313	2104.5159	2435.4543	706.5	980.67346	823.10065	1089.7622	798.4742	1620.321	2708.154	1879.202	1400.8185	1408.7102	769.9042	734.8472	1313.5459	1274.8888	728.8767	1782.5166	1504.5779	517.90936	1536.6392	1692.623	1525.3514	1792.1188	1647.9902	686.3454	772.2956	425.90503	229.85237	623.6393	3653.0212	2611.4546	1279.1896	2961.0457	870.2864	1607.5114	597.72595	464.88205	872.409	615.4322	641.8366	2348.9346	733.19336	978.721	666.6768	241.17326	1983.941	2349.2778
1	1802	113.49691	675.611	350.2965	459.6931	328.4014	380.1619	369.4564	509.7173	208.2626	979.115	1137.239	742.40076	298.47272	629.3306	296.07788	1093.6736	235.7106	151.814	209.89172	608.9255	332.4243	354.8843	525.8111	668.12	532.46967	571.09076	596.3561	614.1396	283.92526	666.60693	631.7568	490.5504	669.86224	668.4858	591.83435	585.587	557.7101	165.95651	499.40567	364.35715	707.09625	454.50952	181.08539	135.21205	176.44798	271.20837	1079.0996	144.68309	186.61673	477.63367	481.18033	329.4104	392.1303	160.71745	84.96786	99.253105	113.037315	82.62304	180.51404	553.19763	709.1831	319.08435	297.98883	269.5959	287.74387	488.02835	513.07465	785.3092	357.99603	639.31384	595.9591	329.30243	328.66922	597.05786	566.5784	268.245	458.1762	383.65677	148.06049	665.8395	774.3134	381.35046	426.14877	517.02045	178.89574	302.59296	104.09601	70.7368	171.06795	1356.2809	794.1798	295.87152	640.64026	379.61368	468.24326	163.99023	120.20236	231.75081	179.34087	208.92113	629.4089	800.3672	239.70552	170.6044	74.29113	592.75446	510.72018
2	1954	0.1549386	1.5089134	2.4029768	0.7415131	0.9911719	0.8685176	1.5814142	0.7065564	0.24114637	1.0785738	2.2571478	2.523968	0.22824974	1.1437978	0.3271068	2.484135	0.28086227	0.24850306	0.3364849	1.0918506	0.31235072	1.1978301	0.8958425	1.4675878	1.2184621	1.1880424	1.1515865	1.2191186	0.46255174	1.4501072	1.5023882	0.6519525	1.9619428	1.0334926	1.5423357	0.6865633	1.2405642	0.21449591	0.44053227	0.7150143	0.55182916	1.0057918	0.3234391	0.28124645	1.0445411	0.8853065	1.5058852	0.15244092	1.3225008	1.4197799	1.2514501	0.42827588	0.9545164	0.30390653	0.22219379	0.114457525	0.18006653	0.7862504	0.18374169	0.6868293	2.254149	0.4158777	0.3621941	0.22956572	0.21875355	2.2136827	0.7083621	0.9117878	0.5822245	1.788758	1.078142	0.8298165	0.8496342	1.4488229	1.4735415	0.4797211	1.3768529	0.68869907	0.20641418	1.4961333	1.6314397	1.5323098	1.3184272	1.1395559	0.1263505	0.72372913	0.4499927	0.12553005	0.21154682	3.2653604	4.195043	2.4224327	1.0554503	0.62964857	1.0379564	0.20788126	0.19333561	0.43924144	0.228876	0.79309267	1.4833674	0.9418287	1.4835465	1.2173831	2.2790725	0.7348097	1.1119498
3	1721	7.863112	66.33904	100.92776	38.410034	50.05428	53.294018	65.97637	42.693527	12.05613	59.667324	104.57327	69.940796	17.447065	59.12915	23.889696	96.15988	18.436644	11.344683	18.93246	70.88711	19.975718	40.47752	52.494255	84.057274	67.147514	70.532326	71.7025	72.82122	31.126392	96.99753	81.080154	47.441784	95.27036	55.510963	90.08562	37.2304	82.042534	13.975559	32.205345	49.658882	54.522064	59.31322	20.660532	14.185002	23.662695	41.17585	44.459324	8.999949	26.19418	51.50196	37.949543	30.182817	41.422718	25.045952	11.374055	11.412522	10.057322	9.327813	13.010541	50.302563	118.86516	24.485691	20.314457	20.07417	18.019175	77.85656	47.433388	49.023746	31.112047	65.23746	41.848465	24.285835	24.626316	42.40831	43.458805	22.710924	64.76532	29.47959	9.656982	48.036545	50.960712	66.981544	61.95544	59.882404	12.595971	33.706226	15.128331	11.766416	10.751067	133.96297	162.99088	66.663994	48.581276	23.633255	32.66033	10.680303	11.785137	24.738266	10.987798	27.902891	89.66469	27.843115	49.586433	32.792446	22.872972	36.65591	64.853035
4	2310	75.73946	457.4441	297.7678	296.7971	271.48712	288.64514	304.45862	279.1846	112.30381	645.7448	774.46606	481.34875	165.44905	344.52264	173.15051	701.37933	136.79062	95.94506	131.66003	358.42828	178.10896	198.56578	412.5622	482.3843	378.58347	397.0432	413.59848	425.38702	171.87325	456.8376	362.8287	281.0227	404.1846	433.39108	410.4885	366.55008	385.99374	102.60449	353.91446	210.59299	400.83536	326.52768	105.408226	75.828766	108.4091	208.21465	351.93088	98.61505	116.06129	406.76303	296.79517	185.17097	252.06517	126.61209	73.827415	65.57102	71.66247	78.99981	119.2265	335.52933	525.29504	191.48944	167.55663	156.93709	164.224	303.91525	353.59973	526.0779	225.45483	367.71448	343.60672	221.48892	217.23112	382.52798	364.70923	184.37689	362.33548	268.5489	99.926476	429.02942	494.23822	319.28662	339.877	357.26047	110.41794	178.6098	80.80427	41.911194	122.00211	822.85754	620.2353	218.80202	412.30997	224.66125	318.63568	116.78239	96.64113	184.51578	131.42705	139.37476	473.09995	377.89865	192.68654	141.96454	63.301296	407.046	412.52377
5	1347	2064.3096	3874.3235	1356.8657	1177.8757	1317.7072	1802.9546	1495.642	637.92395	249.9899	3257.1052	3781.149	1599.919	358.5888	835.33453	393.9265	6580.7075	465.31363	3436.0645	1644.2231	848.6776	352.42163	461.97293	2104.2383	1350.5557	1036.1945	1052.6783	1110.9172	1087.486	398.99655	1385.54	1226.0479	728.7206	900.37463	1322.7986	1721.7308	1434.1514	1202.5597	1284.9607	1554.4266	544.5301	1071.7845	2138.708	256.06763	194.43166	244.43326	1054.044	589.7879	233.30467	245.23581	956.3894	11038.886	462.79324	2747.8547	583.64667	267.92532	140.42606	156.18631	344.3051	948.23	806.7962	1951.9657	476.59735	526.6353	828.5646	686.2512	714.3973	1298.1577	2710.1929	816.45435	1219.4208	9133.805	4363.4224	4980.6406	8363.777	9026.054	1054.9595	1484.2303	1098.9521	391.5724	11903.18	14379.012	1437.7417	1731.2335	1064.6503	244.47192	332.66202	360.29776	126.64704	475.35944	8497.74	3863.603	1125.9741	1342.7007	761.5112	910.2149	459.1053	417.6294	834.74445	404.5206	349.8385	1991.3661	847.16284	1007.4601	616.53516	231.49039	2418.1033	2347.4583
6	1496	916.57	5886.688	4496.6646	5215.095	4523.7505	6511.306	5181.6157	4421.037	1407.9358	13255.128	9125.7	8022.113	2196.889	5609.04	2957.7722	7462.6284	1889.4204	1454.823	1508.8777	3958.9604	2168.0498	3118.8108	7850.849	5095.407	4001.8206	4196.714	4497.7446	4452.044	2782.0857	5332.4395	5062.718	4835.5884	4037.953	6514.2383	6354.799	7107.422	4525.624	1207.9968	7457.5977	2436.0498	7238.8545	8036.42	1149.1733	830.73047	1635.6914	3819.1958	1841.0062	1214.7413	1622.8242	4043.3384	4781.988	3068.262	2796.1245	2018.2179	1113.0148	724.9902	879.8717	1021.3383	1771.6066	6015.959	7242.173	2435.4216	2704.8564	2097.8953	2908.4797	3050.6794	5837.4614	10613.6045	4431.722	5119.2515	5694.4233	2877.428	2889.2925	5285.189	5283.78	3095.7136	6316.532	5423.5635	1955.0068	6544.798	7441.407	5428.1265	6846.0776	4539.673	1886.5762	1917.7721	1352.8396	886.79285	2224.8699	9183.861	8567.104	4195.7236	6998.1025	3263.8037	4064.7288	2148.3691	1636.0483	3078.232	2054.1382	1685.5476	7224.101	3496.9402	3358.6074	2119.6135	740.0731	8621.939	8367.581
7	857	1136.8572	13956.625	31624.182	10379.751	31466.014	32793.03	32867.01	21627.164	2901.3892	23777.334	23585.66	17643.525	6320.3516	28070.99	16432.396	13514.839	4415.343	1478.8514	2834.5225	9010.448	6889.135	16723.672	52644.98	15263.982	12093.313	10892.606	11415.443	10313.252	16833.428	13941.573	10723.519	24720.531	10070.687	14733.621	13698.1	18692.396	11152.869	2517.825	25971.307	6350.043	34335.734	42982.3	2168.3513	1523.0703	7616.617	24001.533	5106.3745	2320.041	7951.314	27633.334	4755.1567	16549.451	6257.9536	17278.162	5356.521	2629.1675	2412.426	7623.3794	3948.9636	41988.7	21689.582	5723.881	12771.687	11878.359	15965.823	12619.708	17152.873	27176.455	12577.08	12285.186	5082.0215	6161.9316	5616.7866	7176.475	7561.961	4889.082	34981.58	20882.258	5102.248	8440.206	9806.288	34477.664	41644.434	9858.231	8983.7	9102.832	5400.4775	7914.262	5993.7266	21726.295	26283.553	22037.0	19103.7	5518.86	13471.818	5789.2144	7747.117	13537.269	6172.3813	3743.7136	18968.71	3282.2412	18274.684	10927.268	3498.1658	15589.485	46812.566
8	1000	403.813	3794.5012	2288.2288	2534.6667	2179.2305	2550.521	2586.029	2070.3442	1187.3279	6972.8716	5555.272	4245.3457	1439.5701	2853.047	1226.5079	5904.8535	1483.3875	809.48083	1189.1498	3854.4495	1732.9844	1489.5155	3187.0566	3816.3103	3060.998	3291.571	3527.5989	3561.7532	1384.4597	4931.649	5755.923	2489.6702	4152.1284	3981.3088	4716.0938	3322.8774	4182.2705	919.1537	2595.7007	2883.0386	3107.6536	3010.7017	1292.5526	1108.5737	884.26117	1966.5625	1740.4293	607.76013	869.3634	1382.4744	2786.0176	1421.8761	2081.062	1132.6854	372.9401	636.118	749.438	663.2186	993.91974	2652.6987	4733.536	1756.0254	1069.962	839.5257	990.06683	2733.7976	3230.1587	4709.296	2253.9543	4902.147	4939.2637	1537.6381	1400.3468	3381.6587	2930.5747	1759.7007	2759.6333	1895.3932	715.54266	3645.4548	3582.9817	2825.4563	3396.4236	2975.155	729.54266	1740.4282	696.72235	683.0977	650.69275	7458.322	5291.1523	2218.0515	2892.2974	2301.8179	2017.5988	642.4703	588.46	1246.2241	547.12024	1246.426	4314.006	2621.608	1759.7664	1064.7064	356.4403	4107.1772	3316.8596
9	1631	38.106937	202.19124	130.17964	116.00225	95.742546	111.33149	115.185005	84.77032	39.45739	209.34024	312.1431	186.72478	57.316246	110.39503	47.583996	311.08017	52.389553	49.118347	61.340282	147.52986	65.76464	69.41156	131.25026	200.21384	155.8832	166.20073	166.80711	172.75291	54.273827	195.12218	153.81631	85.77506	171.23004	147.00134	196.74628	130.18709	166.43385	47.077446	110.21373	86.01678	126.020454	116.55709	43.94196	31.183254	39.411526	79.835175	215.71318	33.75774	43.280357	134.30167	146.47844	57.810158	120.37305	47.476242	23.57715	27.267414	28.901012	21.570951	45.995197	101.88246	253.72423	70.604614	51.595787	51.31663	51.183525	135.18881	131.30806	180.42645	79.38191	144.74261	147.17474	96.69374	102.88964	165.83807	171.91612	71.481224	122.83905	86.904976	32.94758	190.04987	235.67776	113.92093	113.941734	132.70702	34.46679	75.50767	31.601473	18.044582	40.59213	371.24173	272.03745	91.61878	153.014	73.644745	122.01972	39.126305	30.219156	60.15941	45.033836	55.010117	219.68274	146.47496	81.08694	59.3205	35.14045	132.68318	140.08104
