gene	gene_cluster
ENSMUSG00000029422	8
ENSMUSG00000076126	2
ENSMUSG00000049036	9
ENSMUSG00000029577	6
ENSMUSG00000040746	8
ENSMUSG00000020590	6
ENSMUSG00000030263	14
ENSMUSG00000038914	8
ENSMUSG00000026878	6
ENSMUSG00000093241	2
ENSMUSG00000030098	7
ENSMUSG00000078908	11
ENSMUSG00000025056	3
ENSMUSG00000090129	1
ENSMUSG00000026407	0
ENSMUSG00000034239	1
ENSMUSG00000020818	1
ENSMUSG00000060038	4
ENSMUSG00000020029	7
ENSMUSG00000085958	3
ENSMUSG00000024292	0
ENSMUSG00000111356	10
ENSMUSG00000016831	8
ENSMUSG00000024791	1
ENSMUSG00000028398	1
ENSMUSG00000113338	10
ENSMUSG00000022586	3
ENSMUSG00000091034	3
ENSMUSG00000056204	0
ENSMUSG00000065472	2
ENSMUSG00000056197	2
ENSMUSG00000031986	1
ENSMUSG00000086259	10
ENSMUSG00000000244	14
ENSMUSG00000027519	8
ENSMUSG00000061086	7
ENSMUSG00000056290	14
ENSMUSG00000068206	13
ENSMUSG00000077815	2
ENSMUSG00000021208	1
ENSMUSG00000088054	10
ENSMUSG00000024998	0
ENSMUSG00000047248	8
ENSMUSG00000027981	0
ENSMUSG00000039683	4
ENSMUSG00000047117	3
ENSMUSG00000030278	7
ENSMUSG00000037419	6
ENSMUSG00000099616	3
ENSMUSG00000022208	5
ENSMUSG00000055197	10
ENSMUSG00000059632	0
ENSMUSG00000064823	10
ENSMUSG00000095629	3
ENSMUSG00000034829	0
ENSMUSG00000029380	4
ENSMUSG00000073001	2
ENSMUSG00000031073	3
ENSMUSG00000028047	4
ENSMUSG00000039196	12
ENSMUSG00000032673	4
ENSMUSG00000096584	2
ENSMUSG00000022773	9
ENSMUSG00000078597	4
ENSMUSG00000021494	11
ENSMUSG00000050248	4
ENSMUSG00000003752	1
ENSMUSG00000037353	0
ENSMUSG00000022096	0
ENSMUSG00000091311	10
ENSMUSG00000096436	3
ENSMUSG00000021661	1
ENSMUSG00000039620	1
ENSMUSG00000033765	0
ENSMUSG00000032584	1
ENSMUSG00000072884	10
ENSMUSG00000066896	10
ENSMUSG00000094606	10
ENSMUSG00000032783	4
ENSMUSG00000029093	13
ENSMUSG00000030254	1
ENSMUSG00000077991	2
ENSMUSG00000021090	3
ENSMUSG00000094687	2
ENSMUSG00000055013	6
ENSMUSG00000038204	1
ENSMUSG00000020629	13
ENSMUSG00000030881	11
ENSMUSG00000030662	6
ENSMUSG00000020570	6
ENSMUSG00000024401	9
ENSMUSG00000108885	2
ENSMUSG00000029015	10
ENSMUSG00000045179	4
ENSMUSG00000063779	3
ENSMUSG00000070531	2
ENSMUSG00000074183	9
ENSMUSG00000042849	10
ENSMUSG00000069939	3
ENSMUSG00000025873	8
ENSMUSG00000034456	12
ENSMUSG00000070817	4
ENSMUSG00000024294	6
ENSMUSG00000066463	0
ENSMUSG00000035376	0
ENSMUSG00000044252	5
ENSMUSG00000055917	13
ENSMUSG00000071815	1
ENSMUSG00000068882	6
ENSMUSG00000022685	13
ENSMUSG00000036292	4
ENSMUSG00000041202	14
ENSMUSG00000116360	10
ENSMUSG00000024528	4
ENSMUSG00000029861	5
ENSMUSG00000077221	10
ENSMUSG00000070469	4
ENSMUSG00000115791	3
ENSMUSG00000097665	3
ENSMUSG00000046650	3
ENSMUSG00000046667	4
ENSMUSG00000106902	2
ENSMUSG00000037169	4
ENSMUSG00000049565	9
ENSMUSG00000033862	1
ENSMUSG00000033774	3
ENSMUSG00000084592	10
ENSMUSG00000077998	2
ENSMUSG00000021278	1
ENSMUSG00000027971	4
ENSMUSG00000024758	5
ENSMUSG00000044921	1
ENSMUSG00000054387	7
ENSMUSG00000062822	14
ENSMUSG00000028013	0
ENSMUSG00000042846	5
ENSMUSG00000025403	11
ENSMUSG00000031831	3
ENSMUSG00000087045	2
ENSMUSG00000030739	7
ENSMUSG00000037235	8
ENSMUSG00000021559	6
ENSMUSG00000049252	5
ENSMUSG00000035805	5
ENSMUSG00000050870	2
ENSMUSG00000022931	0
ENSMUSG00000067360	9
ENSMUSG00000035262	10
ENSMUSG00000087223	3
ENSMUSG00000046791	4
ENSMUSG00000086745	2
ENSMUSG00000055826	2
ENSMUSG00000022451	6
ENSMUSG00000092734	2
ENSMUSG00000026700	10
ENSMUSG00000041852	7
ENSMUSG00000075086	10
ENSMUSG00000024776	1
ENSMUSG00000056035	7
ENSMUSG00000020000	13
ENSMUSG00000037946	14
ENSMUSG00000001656	3
ENSMUSG00000053146	3
ENSMUSG00000073982	14
ENSMUSG00000024393	7
ENSMUSG00000025433	3
ENSMUSG00000086552	3
ENSMUSG00000070972	4
ENSMUSG00000036139	4
ENSMUSG00000073768	9
ENSMUSG00000003573	13
ENSMUSG00000115744	9
ENSMUSG00000019920	8
ENSMUSG00000094892	9
ENSMUSG00000027495	13
ENSMUSG00000045989	3
ENSMUSG00000087424	3
ENSMUSG00000050328	10
ENSMUSG00000022705	10
ENSMUSG00000034543	11
ENSMUSG00000094734	2
ENSMUSG00000071753	5
ENSMUSG00000020919	8
ENSMUSG00000036214	9
ENSMUSG00000079069	10
ENSMUSG00000103116	2
ENSMUSG00000097368	9
ENSMUSG00000039230	11
ENSMUSG00000035713	4
ENSMUSG00000059995	0
ENSMUSG00000033831	7
ENSMUSG00000029730	11
ENSMUSG00000019841	8
ENSMUSG00000040543	0
ENSMUSG00000091537	0
ENSMUSG00000026420	3
ENSMUSG00000027550	1
ENSMUSG00000073971	3
ENSMUSG00000028607	0
ENSMUSG00000039210	13
ENSMUSG00000032231	7
ENSMUSG00000078593	2
ENSMUSG00000028165	8
ENSMUSG00000075273	4
ENSMUSG00000049618	10
ENSMUSG00000002496	6
ENSMUSG00000055692	1
ENSMUSG00000031160	10
ENSMUSG00000030983	0
ENSMUSG00000078640	3
ENSMUSG00000046675	4
ENSMUSG00000051811	9
ENSMUSG00000028651	4
ENSMUSG00000024425	5
ENSMUSG00000046613	4
ENSMUSG00000070501	1
ENSMUSG00000049612	5
ENSMUSG00000091996	3
ENSMUSG00000078038	2
ENSMUSG00000042216	5
ENSMUSG00000069036	2
ENSMUSG00000079407	3
ENSMUSG00000021823	6
ENSMUSG00000033808	8
ENSMUSG00000051098	1
ENSMUSG00000061633	3
ENSMUSG00000056870	4
ENSMUSG00000030093	9
ENSMUSG00000000194	8
ENSMUSG00000043207	8
ENSMUSG00000005667	1
ENSMUSG00000073830	7
ENSMUSG00000039703	11
ENSMUSG00000031068	6
ENSMUSG00000051154	0
ENSMUSG00000025487	11
ENSMUSG00000005354	6
ENSMUSG00000025892	5
ENSMUSG00000074071	14
ENSMUSG00000057182	5
ENSMUSG00000020390	6
ENSMUSG00000031131	3
ENSMUSG00000094612	10
ENSMUSG00000031283	0
ENSMUSG00000109219	2
ENSMUSG00000038429	6
ENSMUSG00000034810	0
ENSMUSG00000018733	4
ENSMUSG00000022037	7
ENSMUSG00000085260	10
ENSMUSG00000029610	1
ENSMUSG00000042185	11
ENSMUSG00000067525	10
ENSMUSG00000006021	4
ENSMUSG00000046408	3
ENSMUSG00000020599	0
ENSMUSG00000030775	0
ENSMUSG00000015149	0
ENSMUSG00000046434	6
ENSMUSG00000031377	3
ENSMUSG00000031774	11
ENSMUSG00000096840	2
ENSMUSG00000050627	6
ENSMUSG00000031878	0
ENSMUSG00000030322	1
ENSMUSG00000029541	9
ENSMUSG00000020696	13
ENSMUSG00000097162	9
ENSMUSG00000113189	3
ENSMUSG00000045201	4
ENSMUSG00000058513	3
ENSMUSG00000059479	4
ENSMUSG00000077239	2
ENSMUSG00000031755	1
ENSMUSG00000076253	2
ENSMUSG00000038379	1
ENSMUSG00000002109	1
ENSMUSG00000041840	1
ENSMUSG00000049691	3
ENSMUSG00000021555	11
ENSMUSG00000022814	13
ENSMUSG00000028782	5
ENSMUSG00000095028	9
ENSMUSG00000057223	10
ENSMUSG00000034413	0
ENSMUSG00000087579	1
ENSMUSG00000025127	1
ENSMUSG00000030222	1
ENSMUSG00000040133	9
ENSMUSG00000027845	1
ENSMUSG00000028003	13
ENSMUSG00000030054	3
ENSMUSG00000093980	2
ENSMUSG00000034227	4
ENSMUSG00000003435	6
ENSMUSG00000049280	4
ENSMUSG00000022309	0
ENSMUSG00000093460	4
ENSMUSG00000075064	10
ENSMUSG00000029684	6
ENSMUSG00000027531	8
ENSMUSG00000091541	3
ENSMUSG00000031565	6
ENSMUSG00000101078	10
ENSMUSG00000070047	7
ENSMUSG00000030057	6
ENSMUSG00000050121	4
ENSMUSG00000024353	14
ENSMUSG00000060002	7
ENSMUSG00000054406	2
ENSMUSG00000065569	2
ENSMUSG00000034471	0
ENSMUSG00000028246	5
ENSMUSG00000092815	2
ENSMUSG00000022749	8
ENSMUSG00000029919	13
ENSMUSG00000000739	4
ENSMUSG00000037020	4
ENSMUSG00000035933	8
ENSMUSG00000116611	2
ENSMUSG00000059639	3
ENSMUSG00000028359	3
ENSMUSG00000021464	9
ENSMUSG00000044338	4
ENSMUSG00000002633	9
ENSMUSG00000069722	1
ENSMUSG00000067713	11
ENSMUSG00000021591	0
ENSMUSG00000069184	9
ENSMUSG00000027171	4
ENSMUSG00000031539	5
ENSMUSG00000075145	2
ENSMUSG00000022221	4
ENSMUSG00000063386	3
ENSMUSG00000056782	4
ENSMUSG00000025410	6
ENSMUSG00000027332	6
ENSMUSG00000025268	0
ENSMUSG00000026519	0
ENSMUSG00000043323	11
ENSMUSG00000060803	6
ENSMUSG00000026117	0
ENSMUSG00000073906	2
ENSMUSG00000098912	5
ENSMUSG00000062175	1
ENSMUSG00000028035	6
ENSMUSG00000039656	11
ENSMUSG00000024955	6
ENSMUSG00000018921	1
ENSMUSG00000047751	1
ENSMUSG00000032257	3
ENSMUSG00000015342	1
ENSMUSG00000059623	3
ENSMUSG00000047904	9
ENSMUSG00000001348	14
ENSMUSG00000027965	5
ENSMUSG00000031891	0
ENSMUSG00000069089	1
ENSMUSG00000027186	4
ENSMUSG00000030934	6
ENSMUSG00000040037	5
ENSMUSG00000055720	11
ENSMUSG00000060688	10
ENSMUSG00000050213	4
ENSMUSG00000054423	5
ENSMUSG00000053914	10
ENSMUSG00000017211	3
ENSMUSG00000097520	3
ENSMUSG00000019944	13
ENSMUSG00000034893	8
ENSMUSG00000034269	8
ENSMUSG00000044339	9
ENSMUSG00000027575	11
ENSMUSG00000085162	3
ENSMUSG00000040247	14
ENSMUSG00000090862	6
ENSMUSG00000023106	11
ENSMUSG00000075201	10
ENSMUSG00000054598	3
ENSMUSG00000006276	8
ENSMUSG00000038199	10
ENSMUSG00000060187	1
ENSMUSG00000047502	3
ENSMUSG00000059689	4
ENSMUSG00000036737	8
ENSMUSG00000033379	6
ENSMUSG00000040749	1
ENSMUSG00000096714	3
ENSMUSG00000112223	9
ENSMUSG00000039936	14
