tissue_inferred	condition_inferred	n_samples
adrenal_gland	baseline_control	5
adrenal_gland	flight	21
adrenal_gland	ground_control	20
adrenal_gland	unknown	8
adrenal_gland	vivarium_control	10
blood	unknown	7
bone	unknown	52
bone_marrow	unknown	48
brain	flight	16
brain	ground_control	17
brain	unknown	64
brown_adipose_tissue	unknown	24
cecum	baseline_control	20
cecum	flight	10
cecum	ground_control	10
cecum	vivarium_control	24
cells	unknown	30
cerebellum	flight	29
cerebellum	ground_control	27
cerebellum	vivarium_control	9
colon	baseline_control	28
colon	flight	28
colon	ground_control	27
colon	vivarium_control	10
cultured_cells	unknown	6
eye	baseline_control	5
eye	flight	11
eye	ground_control	11
heart	baseline_control	20
heart	flight	23
heart	ground_control	22
heart	unknown	182
heart	vivarium_control	18
hippocampus	flight	20
hippocampus	ground_control	17
hippocampus	unknown	12
kidney	baseline_control	44
kidney	flight	62
kidney	ground_control	61
kidney	unknown	47
kidney	vivarium_control	50
liver	baseline_control	85
liver	flight	107
liver	ground_control	103
liver	unknown	278
liver	vivarium_control	55
lung	baseline_control	31
lung	flight	40
lung	ground_control	38
lung	vivarium_control	19
mammary_gland	flight	10
mammary_gland	ground_control	15
mammary_gland	vivarium_control	18
mammary_tumor	unknown	23
optic_nerve	flight	23
optic_nerve	unknown	12
placenta	unknown	30
retina	baseline_control	4
retina	flight	28
retina	ground_control	4
retina	unknown	103
skeletal_muscle	flight	73
skeletal_muscle	ground_control	77
skeletal_muscle	unknown	271
skeletal_muscle	vivarium_control	38
skin	baseline_control	36
skin	flight	80
skin	ground_control	71
skin	unknown	21
skin	vivarium_control	32
spleen	baseline_control	13
spleen	flight	43
spleen	ground_control	42
spleen	unknown	149
spleen	vivarium_control	9
thymus	baseline_control	19
thymus	flight	51
thymus	ground_control	45
thymus	unknown	24
thymus	vivarium_control	10
white_adipose_tissue	unknown	24
zygote	unknown	6
