algorithm	cluster	n_genes	is_noise
gmm	0	971	False
gmm	1	1586	False
gmm	2	3572	False
gmm	3	1545	False
gmm	4	560	False
gmm	5	1886	False
gmm	6	652	False
gmm	7	2382	False
gmm	8	958	False
gmm	9	1000	False
gmm	10	522	False
gmm	11	1890	False
gmm	12	2312	False
gmm	13	577	False
gmm	14	597	False
hdbscan	-1	8926	True
hdbscan	0	131	False
hdbscan	1	11953	False
spectral	0	6593	False
spectral	1	46	False
spectral	2	6551	False
spectral	3	1688	False
spectral	4	16	False
spectral	5	52	False
spectral	6	57	False
spectral	7	266	False
spectral	8	296	False
spectral	9	1347	False
spectral	10	396	False
spectral	11	3288	False
spectral	12	106	False
spectral	13	59	False
spectral	14	249	False
