consensus_cluster	n_genes	latent_centroid_norm	pc1_mean	pc2_mean
0	2574	3.212672233581543	-2.578495010235276	0.16118312649980576
1	1802	2.533600091934204	2.3612214985220867	0.6564233869846283
2	1954	4.809819221496582	4.717679588178096	-0.4643443213613101
3	1721	4.703478813171387	4.637690008251017	-0.34060455041553744
4	2310	3.7195985317230225	3.7135474582251082	0.060154506174489177
5	1347	7.402074337005615	-4.413463693421158	-4.456179005966592
6	1496	8.300029754638672	-8.165230388770054	-0.114443855504746
7	857	11.134342193603516	-9.429852259813302	-1.4114219905852976
8	1000	7.580574989318848	-6.6318490271	2.627486905983
9	1631	4.453551769256592	4.417894833231147	-0.27996710309859724
10	1618	4.7930803298950195	4.70704750210136	-0.4420576344066749
11	964	5.452475070953369	-3.6771859041782156	2.461764723060062
12	183	8.692508697509766	-2.496085360420765	0.6001207858737704
13	976	1.7531168460845947	1.1441337411726433	0.4722661090943443
14	577	7.811855316162109	-4.262219774036049	4.749662936221837
