gene	raw_pca_2d_kmeans_cluster	ftsae_pca_2d_kmeans_cluster	ftsae_latent_kmeans_cluster	raw_pca_10d_kmeans_cluster	ftsae_pca_10d_kmeans_cluster
ENSMUSG00000020590	11	0	0	6	6
ENSMUSG00000038914	11	4	6	6	3
ENSMUSG00000025056	3	2	1	0	0
ENSMUSG00000060038	3	8	1	0	0
ENSMUSG00000016831	0	10	6	6	3
ENSMUSG00000091034	3	2	1	0	0
ENSMUSG00000031986	13	3	2	0	14
ENSMUSG00000077815	3	2	1	0	0
ENSMUSG00000099616	3	2	1	0	0
ENSMUSG00000095629	3	2	1	0	0
ENSMUSG00000073001	3	2	1	0	0
ENSMUSG00000050248	3	2	1	0	4
ENSMUSG00000091311	3	2	1	0	0
ENSMUSG00000096436	3	2	1	0	0
ENSMUSG00000066896	3	2	1	0	0
ENSMUSG00000094606	3	2	1	0	0
ENSMUSG00000030254	3	8	2	0	0
ENSMUSG00000021090	3	2	1	0	0
ENSMUSG00000055013	0	0	9	6	11
ENSMUSG00000030881	13	7	12	0	1
ENSMUSG00000042849	3	2	1	0	0
ENSMUSG00000069939	3	2	1	0	0
ENSMUSG00000066463	3	12	8	0	9
ENSMUSG00000044252	0	5	0	6	6
ENSMUSG00000071815	3	2	1	0	0
ENSMUSG00000097665	3	2	1	0	0
ENSMUSG00000037169	3	2	1	0	0
ENSMUSG00000049565	3	2	1	0	0
ENSMUSG00000077998	3	2	1	0	0
ENSMUSG00000021278	3	2	1	0	4
ENSMUSG00000028013	0	13	13	0	8
ENSMUSG00000042846	3	1	0	0	1
ENSMUSG00000025403	13	11	5	0	2
ENSMUSG00000031831	3	2	1	0	0
ENSMUSG00000037235	11	10	6	6	3
ENSMUSG00000035805	13	13	0	0	1
ENSMUSG00000035262	3	2	1	0	0
ENSMUSG00000056035	12	14	11	10	5
ENSMUSG00000001656	3	2	1	0	0
ENSMUSG00000053146	3	2	1	0	0
ENSMUSG00000050328	3	2	1	0	0
ENSMUSG00000034543	13	4	5	0	9
ENSMUSG00000020919	0	4	3	6	12
ENSMUSG00000036214	3	2	1	0	0
ENSMUSG00000103116	3	2	1	0	0
ENSMUSG00000035713	3	8	1	0	0
ENSMUSG00000029730	13	4	5	0	9
ENSMUSG00000028607	0	7	12	6	13
ENSMUSG00000032231	9	9	4	6	13
ENSMUSG00000028165	0	7	6	0	6
ENSMUSG00000049618	3	2	1	0	0
ENSMUSG00000055692	3	2	1	0	0
ENSMUSG00000030983	13	12	2	0	4
ENSMUSG00000078640	3	2	1	0	0
ENSMUSG00000051811	3	2	1	0	0
ENSMUSG00000049612	3	13	0	0	1
ENSMUSG00000078038	3	2	1	0	0
ENSMUSG00000043207	0	10	6	0	6
ENSMUSG00000074071	13	3	5	0	14
ENSMUSG00000031283	13	12	2	0	4
ENSMUSG00000018733	3	2	1	0	0
ENSMUSG00000067525	3	2	1	0	0
ENSMUSG00000096840	3	2	1	0	0
ENSMUSG00000097162	3	2	1	0	0
ENSMUSG00000045201	3	2	1	0	0
ENSMUSG00000059479	3	8	1	0	0
ENSMUSG00000049691	3	2	1	0	0
ENSMUSG00000021555	13	7	5	0	9
