representation	component	explained_variance_ratio
raw_pca	1	0.3653426170349121
raw_pca	2	0.13854801654815674
raw_pca	3	0.10033473372459412
raw_pca	4	0.06897517293691635
raw_pca	5	0.03821627050638199
raw_pca	6	0.03783900663256645
raw_pca	7	0.02752741053700447
raw_pca	8	0.02333052083849907
raw_pca	9	0.016547970473766327
raw_pca	10	0.012369878590106964
ftsae_pca	1	0.4021988809108734
ftsae_pca	2	0.07516316324472427
ftsae_pca	3	0.06149490922689438
ftsae_pca	4	0.05679382383823395
ftsae_pca	5	0.043498147279024124
ftsae_pca	6	0.034624312072992325
ftsae_pca	7	0.03163571655750275
ftsae_pca	8	0.02660372667014599
ftsae_pca	9	0.025743447244167328
ftsae_pca	10	0.022840190678834915
